r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1695,1917.88,2216.07,2252.52,2333.49,2420.86,2490.97,2682.5,2788.18,2886.57,2966.28,2996.17,3108.52,3201.89,3274.12
p2,1731.93,1960.62,2061.77,2083.35,2131.53,2261.17,2413.62,2513.35,2574.87,2614.87,2692.64,2826.74,2935.02,3067.07,3214.58
p3,1895.78,2176.33,2324.91,2424.14,2526.92,2616.21,2700.88,2789.17,2851.59,2931.24,2991.89,3089.12,3167.94,3257.69,3311.94
p4,2127.68,2216.04,2266.34,2379.42,2470.29,2539.74,2616.55,2726.99,2818.05,2858.23,2878.7,2959.49,3015.98,3097.75,3201.51
p5,1762.38,2007.64,2152.96,2274.83,2360.59,2461.02,2559.29,2670.76,2759.17,2837.07,2931.65,3025.92,3136.95,3216.54,3322.3
p6,1591.54,1815.46,1945.04,2129.94,2256.49,2373.95,2489.37,2598.76,2674.31,2758.67,2868.05,3013.04,3108.26,3182.74,3286.52
p7,1632.64,1863.55,2004.18,2107.24,2226.06,2333.4,2430.07,2533.85,2633.18,2728.17,2829.24,2950.74,3062.17,3163.51,3281.17
p8,1322.64,1624.28,1837.3,1967.98,2072.11,2166.39,2271.34,2394.17,2500.41,2603.92,2689.44,2810.69,2950.58,3105.39,3261.42
p9,1527.22,1763.83,1909.86,2026.02,2130.94,2238.54,2330.43,2432.27,2539.8,2634.86,2738.45,2849.41,2966.55,3105.58,3256
p10,1280.86,1474.83,1606.35,1723.13,1821.51,1919.03,2010.39,2098.14,2192.21,2301.41,2430.82,2570.36,2747.75,2967.29,3213.91
p11,1410.95,1562.75,1742.69,1867.88,1956.4,2036.42,2151.91,2259.09,2378.12,2517.67,2627.68,2739.77,2901.11,3083.33,3241.41
p12,1363.08,1558.69,1686.63,1815.94,1924.11,2027.46,2130.21,2249.14,2361.23,2477.79,2610.64,2752.39,2906.05,3060.5,3247.68
p13,1437.09,1644.01,1764.23,1860.84,1954.9,2046.64,2152.55,2250.27,2327.81,2413.55,2536.21,2711.31,2892.22,3045,3232.67
p14,1847.38,2066.32,2155.6,2299.51,2384.58,2475.15,2538.11,2605.94,2684.3,2777.38,2866.18,2968.76,3049.51,3193.61,3327.49
p15,1644.62,1849.98,1980.52,2106.4,2212.58,2301.85,2373.31,2453.84,2540.53,2628.46,2727.75,2836.83,2974.28,3130.61,3280.56
p16,1299.59,1536.92,1692.77,1819.55,1952.17,2074.58,2200.53,2314.98,2430.65,2562.61,2667.85,2797.42,2943.14,3092.65,3250.47
p17,1690.2,1913.8,2055.7,2173.22,2275.08,2356.15,2441.01,2522.69,2608.46,2701.15,2792.73,2896.16,3005.95,3126.13,3273.51
p18,1698.46,1958.52,2074.56,2166.59,2273.45,2386.71,2498.83,2584.76,2684.3,2764.47,2881.36,2996,3085.53,3184.99,3284.9
p20,1895.14,2076.1,2195.47,2267.08,2367.19,2399.04,2449.21,2511.24,2536.7,2658.02,2770.96,2869.08,2955.58,3152.74,3239.46
p21,1642.7,1843.68,1957.59,2068.64,2165.67,2256.42,2332.68,2408.83,2481.07,2565.65,2668.28,2785.53,2931.96,3082.44,3259.55
p22,1666.61,1824.37,1943,2008.73,2102.7,2181.83,2253.99,2343.43,2440.23,2514.68,2597.91,2701.82,2849.35,2997.51,3199.14
p23,2055.35,2097.27,2112.16,2225.73,2386.54,0,2508.59,2512.53,2622.38,2759.63,2860.26,2959.86,3117.95,3198.1,3240.13
