sc_point_gid,class,capacity,capital_adder_per_mw,cf
36432,7,85.08,3423626.3,0.2927
36433,7,67.2,3107238.57,0.2866
37116,7,56.96,3381887.7,0.2901
37117,7,310.07,290552.5,0.2864
37118,1,318.39,553854.29,0.2685
37119,1,176.84,1078465.27,0.2513
37787,8,20.9,3448488.62,0.3774
37801,7,106.27,3293410.9,0.2872
37802,7,522.48,67247.79,0.2808
37803,1,297.37,511783.57,0.2776
38463,9,15.33,6188383.29,0.4316
38464,9,83.69,6148840.9,0.4279
38465,8,183.71,3637138.25,0.4207
38466,8,285.38,1611648.8,0.4133
38467,8,308.45,1003514.87,0.4065
38474,7,42.09,2222799.52,0.3293
38475,7,20.02,3184983.04,0.3137
38484,7,155.94,2273120.86,0.2445
38485,7,259.95,292414.94,0.2792
38486,7,340.91,199705.08,0.2817
38487,1,348.07,650231.68,0.2884
39144,9,60.07,7053258.09,0.4469
39145,9,210.05,4043833.97,0.4428
39146,9,355.07,2600520.82,0.4382
39147,9,510.11,2285476.88,0.4328
39148,8,468.86,2180799.6,0.4263
39149,8,475.66,1701446.18,0.419
39150,8,529.48,1089995.82,0.4115
39151,8,359.32,730474.99,0.4037
39159,2,163.52,1920632.73,0.3042
39160,7,24.4,3102161.73,0.2857
39168,7,258.84,245626.05,0.2307
39171,1,338.94,857147.31,0.2837
39172,1,192.07,924752.2,0.2836
39824,9,93.93,7554856.25,0.4587
39825,9,221.23,4110677.81,0.4567
39826,9,338.03,3105437.63,0.4537
39827,9,433.54,2886006.18,0.4501
39828,9,507.77,2680997.25,0.4462
39829,9,530.84,2574257.82,0.4414
39830,9,530.84,2248171.64,0.4361
39831,9,523.88,2129804.95,0.4302
39832,8,432.35,2241169.29,0.4238
39833,8,514.06,1921102.12,0.4165
39834,8,490.18,1442310.52,0.4089
39835,8,513.25,529583.84,0.4
39836,8,15.03,3408674.8,0.3942
39844,7,197.54,1039062.07,0.2734
39845,7,41.57,3328839.95,0.2803
39851,7,29.78,3550569.24,0.2246
39853,7,254.96,-64223.95,0.2466
39855,1,343.05,903993.72,0.258
39856,1,381.54,360571.89,0.2485
40504,9,37.39,7734402.33,0.4664
40505,9,181.99,5378684.85,0.4644
40506,9,322.35,3300319.33,0.4621
40507,9,496.92,3014573.46,0.4601
40508,9,530.84,2854965.18,0.4578
40509,9,530.84,2822603.87,0.4552
40510,9,530.84,2784822.13,0.4517
40511,9,530.84,2707165.58,0.4479
40512,9,530.84,2632904.56,0.4439
40513,9,530.84,2611775.48,0.4389
40514,9,520.31,2298442.92,0.4337
40515,9,426.77,2250149.74,0.4283
40516,8,482.4,2104706.56,0.4212
40517,8,530.84,1846716.85,0.4139
40518,8,530.84,1373070.09,0.4061
40519,8,530.84,726386.2,0.3974
40520,8,292.09,1173948.48,0.3896
40529,7,206.49,894741.48,0.2612
40530,7,189.38,1178256.48,0.2664
