*tech,trans adder (2004$/kW)
Hydro,53
hydD,53
hydND,53
hydSD,53
hydSND,53
hydUD,53
hydUND,53
hydNPD,53
hydNPND,53
hydED,53
hydEND,53
pumped-hydro,53
pumped-hydro-flex,53
geothermal,53
egs_allkm_1*egs_allkm_10,53
geohydro_allkm_1*geohydro_allkm_10,53
egs_nearfield_1*egs_nearfield_10,53
