r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3655.64,2634.09,2561.17,4260.77,2445.28,2267.8,3963.9,2954.93,2849.1,3028.99,2922.16,2570.95,2545.51,3049.57,3463.65
p2,8317.53,7858.35,7746.29,8069.13,8178.87,7723.53,8804.27,8091.25,7341.44,7655.51,9003.11,7905.76,7168.57,8838.43,8073.38
p3,15395.01,15308.08,14524.77,15591.83,15357.68,14482.77,14989.78,15181.05,14488.04,15357.14,15561.17,14651.08,15116.24,15148.25,15151.36
p4,4738.59,3851.69,3776.58,4157.24,3821.02,4194.42,3969.07,3780.52,4209.22,3376.91,4074.74,3735.81,3386.19,4965.84,3980.93
p5,34040.93,34025.92,33437.16,33804.12,33675.67,33107.8,33853,33833.49,34021.02,33602.88,32899.31,34055.04,33198.04,33995.56,33882.78
p6,17813.11,16343.68,17756.9,15354.15,17426.81,17436.23,16305.58,16356.29,16948.85,16725.27,16479.13,17067.38,17102.08,16819.95,16886.91
p7,52797.08,51301.88,52417.5,49207.43,53813.4,51003.58,52193.25,51384.09,51361.28,51478.06,51876.6,51884.96,50558.13,52160.3,52021.82
p8,56364.92,57126.06,56335.64,56899.04,55782.78,56416.2,56614.88,55380.19,56710.95,56118.66,56636.2,56510.27,56460.35,55759.06,56829.68
p9,168280.57,165929.37,166212.22,166186.68,165351.75,167046.58,165551.63,166561.7,165383.46,165749.57,166475.94,166141.51,166228.93,165613.21,166574.84
p10,204574.35,202470.53,202897.69,202532.48,201901.15,202987.55,202525.81,201915.67,202240.17,202069.08,203408.77,202301.6,202830.24,202208.33,202672.19
p11,16887.88,16253.17,15235.06,15852.71,16564.65,14811.99,15785.36,15290.43,16939.72,14295.24,16630.58,15998.22,15819.06,15506.74,16099.03
p12,514215.69,512016.65,512863.21,513034.15,512796.05,512458.3,513160.21,512033.95,512850.54,513172.01,512997.7,512757.85,512438.23,512598.3,513159.2
p13,20666.41,20167.83,19347.64,19807.72,19996.32,20116.48,19772.55,19826.38,19505.04,20177.83,20087.07,19511.67,20223.65,19461.15,20539.83
p14,14625.36,13181.05,12917.31,14308.62,12749.74,14126.85,13615.34,13115.05,13648.94,13645.96,13593.32,13636.38,12752.58,13806.82,14061.69
p15,118577.41,117479.92,117096.89,116902.82,117882.17,117784.05,117017.97,118262.48,117004.05,117824.79,117068.36,117661.67,117257.1,117734.45,117757.81
p16,64382.2,65166.78,63676.89,64975.09,63994.87,64348.8,63102.04,65665.5,63722.73,64337.17,64287.05,64419.15,64564.34,64355.58,64316.05
p17,80688.34,81105.53,80027.24,80126.55,79695.18,79499.09,80548.42,79003.5,80478.68,79933.02,79926.08,79675.22,80494.82,79461.47,80545.68
p18,29701.72,28302.69,29832.35,29632,29066.25,28733.35,29739.06,28752.94,29508.63,29141.22,28946.55,29557.52,29363.29,28490.9,29845.05
p19,0,0,0,0,0,0,0,812.93,0,0,0,0,0,0,0
p20,2452.44,2619.17,1605.94,2469.54,2596.36,2638.55,1093.45,2230.66,3088.14,1913.22,2274.31,1816.76,2003.68,2008.99,3053.9
p21,67727.7,67431.74,66815.53,67196,67732.87,66654.55,67542.47,66406.98,67699.38,67220.01,66833.44,66885.36,67355.29,67230.81,67439.92
p22,13704.21,14124.13,13948.03,14062.1,13327.05,13924.35,14429.66,13660.25,13124.49,13731.49,14262.88,14120.69,13683.47,13908.77,13799.29
p23,2211.3,2009.86,1716.89,1153.99,2089.76,1349.07,2218.1,1870.1,2140.11,1918.85,1419.64,2318.61,1553.91,1867.73,2171.67
p24,16134.87,14145.15,16194.63,14465.79,16458.88,14212.31,15790.84,14319.92,15783.58,14497.29,15807.92,14890.3,15348.25,15341.68,15306.55
p25,320144.62,316779.98,317571.52,317632.81,318119.27,316767.87,317979.77,317211.07,317926.76,318492.73,316760.81,318152.28,317546.61,317606.85,318012.47
p26,57598.1,56991.09,56742.62,57860.1,56700.44,56894.48,57703.15,56969.16,56662.62,57309.06,56849.93,56883.38,57409.13,56205.45,57899.52
p27,97711.96,94281.37,96235.9,93535.51,95338.81,94787.05,95184.15,95858.46,94164.71,96051.64,94568.09,95299.35,94580.01,95461.45,95118.2
p28,151403.47,150278.85,148478.18,150806.76,149141.75,149315.86,149288.29,149610.94,149684.05,149721.72,149009.44,149831.5,149996.96,148433.6,150719.52
p29,13211.13,12217.96,11241.42,12196.49,12827.23,11260.57,12655.36,11938.92,11153.62,12460.67,11494.37,13302.04,11336.9,12077.93,12724.59
p30,1420.49,737.37,695.8,891.35,1012.36,719,653.36,0,1108.55,887.86,637.39,678.25,796.84,416.29,964.04
p31,119677.96,116711.89,117677.45,117212.11,117229.5,117615.16,117236.95,116971.81,116544.2,118017.72,116858.11,116485.82,118497.53,116916.36,117835.95
p32,1495.8,0,922.02,456.65,0,964.23,0,793.06,0,878.2,0,781.23,0,917.69,625.19
p33,63952.49,62649,63251.45,62201.08,62978.02,62508.66,62929.13,62385.23,62466.68,63464.86,62568.97,62060.94,63212.99,62162.93,63697.47
p34,55861.09,54225.76,54483.74,55117.08,55813.03,55517.64,54424.45,54798.5,54636.38,55255.65,55334.25,55222.62,54740.52,54956.94,55275.7
p38,687.95,0,0,0,0,0,0,0,0,0,0,0,0,0,612.36
p47,2598.34,4511.64,3524.46,2758.68,3758.5,2495.77,4169.99,3352.51,3566.45,2111.97,3996.56,3817.73,3242.36,2992,3758.02
p56,712.93,0,0,0,526.25,0,0,0,0,0,0,912.71,0,0,423.9
p59,877.4,0,0,0,0,0,877.95,0,0,0,624.51,0,0,0,651.53
p61,70557.47,69470.04,70117.73,70230.66,68956.93,70455.47,69441.23,68820.46,69031.9,70524.44,69386.42,69583.17,70183.74,69133.27,70290.51
p85,1487.16,0,0,1004.1,0,0,0,1154.57,0,0,0,1147.56,0,0,880.72
p89,623.17,0,0,0,0,0,677.04,0,0,0,0,0,0,0,806.91
p90,884.22,0,0,0,0,0,418.61,0,0,0,0,0,0,0,522
p92,5166.12,4564.59,4207.25,3851.54,4953.31,4570.61,4331.68,4563.89,4209.22,4551.77,4320.53,4070.93,4295.49,4547.68,4841.17
p94,4944.27,3281.84,4077.87,4355.29,4128.22,3867.59,4241.16,4325.86,3695.61,4209.86,3739.57,3621.71,4712.46,4116.53,4217.04
p95,4039.27,3139.75,2812.77,2515.8,3421.11,3292.23,2678.71,2836.37,2794.93,3154.63,2420.46,3281.89,2943.95,3416.7,3053.52
p97,22663.25,21258,22131.7,21466.51,21563,20386.95,22147.74,21610.29,21640.21,20814.49,21872.35,21307.78,21489.99,21274.56,21892.45
p99,4538.93,3873.02,4559.9,3912.29,4066.56,4266.35,3536.41,4409.86,4478.79,3950.86,4522.23,4128.98,4057.38,3842.24,4549.14
p109,1444.82,0,1010.41,501.26,621.94,770.99,1045.15,742.78,607.71,499.24,923.04,373.94,658.04,655.68,1203.24
p110,703.76,994.2,689.44,1031.15,751.53,1392.88,631.11,647.97,734.47,897.63,1408.29,635.02,1039.82,749.53,998.11
p116,4063.42,2354.59,4058.62,3140.16,2556.85,3995.29,3183.17,3205.58,3447.44,2955.31,2570.06,3607.61,3014.01,3365.38,3821.68
p117,0,0,0,0,0,0,0,499.94,0,0,0,0,0,0,0
p118,9486.76,10514.04,9379.06,9606.45,8566.09,10567.09,9910.17,8440.65,10567.11,9659.18,9572.1,9431.5,9721.42,9620.38,9619.24
p119,718.31,1172.56,0,1733.82,0,1765.36,0,1452.06,550.54,964.49,823.22,664.09,0,1072.43,1509.27
p120,1384.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1038
p121,1066.26,0,0,0,0,0,0,0,0,0,1346.01,0,0,0,618.13
p122,5055.01,3747.29,3757.71,2979.24,3089.64,3298.76,3685.21,2899.24,3772.85,3033.76,3213.9,3169.65,2913.93,4017.95,3711.22
p127,6268.59,4659.44,5180.64,6151.88,5691.35,4941.01,5434.2,5456.4,5463.74,5911.39,5051.5,5505.21,5524.58,5749.79,5525.71
p129,2038.09,898.15,711.72,626.79,1731.23,672.3,783.64,632.7,1090.1,1385.66,662.95,1090.85,645.55,1056.55,1293.56
p130,4333.47,2653.09,3148.3,3308.77,2511.51,4226.07,2860.73,2836.38,3745.05,3254.19,3051.06,3164.62,2493.38,3688.93,3431.64
p134,2635.65,3700.29,1791.79,2793.63,2624.48,2575.61,2719.43,1814.19,3300.81,3374.83,2371.38,2357.33,2862.95,1806.21,3740.1
