region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_export_km,dist_reinforcement_km
p1,2,4855,861.9372,1702012.9785,1426711.7612,275301.2173,207.3925,49.3592,1.8282
p1,2,5176,729.972,1595411.4234,1296177.6812,299233.7421,207.3925,33.5192,1.8282
p1,2,5497,673.3044,1494108.842,1167974.8142,326134.0278,207.3925,17.5301,1.8282
p1,2,5818,535.7664,1543930.584,1149056.9375,394873.6464,207.3925,13.6553,1.8282
p1,2,6459,985.122,1805332.8223,1402286.0448,403046.7775,164.8708,43.1069,43.6001
p1,2,6780,620.2656,1890935.6932,1329058.5748,561877.1184,196.8519,8.2414,61.646
p1,9,3248,798.498,3051356.2697,2879959.2738,171396.9959,105.2757,253.3194,136.9151
p1,9,3568,760.8816,3571597.1263,2953488.8105,618108.3158,104.5982,230.8346,138.6906
p1,9,3569,766.5192,3283321.1465,2909230.5696,374090.5769,115.9111,247.2056,124.2447
p1,9,3889,533.5956,4108459.309,3005505.0737,1102954.2353,108.6738,235.2938,133.3768
p1,9,3890,234.4788,4604825.8142,2611584.5213,1993241.2929,126.7958,113.0285,109.8399
p1,9,4210,867.5424,3119206.8788,2521553.3013,597653.5775,115.9111,109.4743,124.2447
p1,9,4211,221.292,3936492.074,2319032.8252,1617459.2488,124.6166,97.9665,107.1643
p1,9,4530,18.306,7992834.4012,2665659.1683,5327175.2329,108.6738,109.0217,133.3768
p1,9,4531,670.9392,2937934.2146,2320188.2735,617745.9411,126.7958,92.6545,109.8399
p1,9,4532,517.428,2052500.5668,1994404.3727,58096.1941,157.5553,83.0446,54.675
p1,9,4533,192.294,3130829.4522,1804481.5254,1326347.9268,207.3925,71.6858,1.8282
p1,9,4851,596.322,3265708.8967,2417971.7169,847737.1798,108.6738,92.958,133.3768
p1,9,4852,961.2432,2235208.0152,2144200.8705,91007.1447,124.6166,81.1248,107.1643
p1,9,4853,1003.6224,1442560.9838,1860130.6684,-417569.6846,151.4708,67.2046,74.4244
p1,9,4854,1003.6224,1141318.4267,1666624.5915,-525306.1649,207.3925,55.8458,1.8282
p1,9,5171,199.746,5334892.4514,2580868.5035,2754023.9479,104.5982,100.1408,138.6906
p1,9,5172,1000.6092,2726252.6727,2323819.4804,402433.1923,109.0892,84.0771,129.1144
p1,9,5173,1003.6224,2001483.2265,2026037.8887,-24554.6622,124.6166,68.2371,107.1643
p1,9,5174,1003.6224,1308727.5291,1735218.8978,-426491.3687,160.3389,52.3971,55.5968
p1,9,5175,1003.6224,1000331.8668,1536625.1759,-536293.3091,207.3925,40.0058,1.8282
p1,9,5492,109.836,7464489.8358,2596729.2897,4867760.5461,102.7519,99.5097,141.6206
p1,9,5493,960.7896,2948351.6174,2368395.605,579956.0124,109.0892,83.4061,129.1144
p1,9,5494,1003.6224,2029220.1944,2033178.7979,-3958.6035,124.6166,61.676,107.1643
p1,9,5495,1003.6224,1297579.8403,1730879.7957,-433299.9554,158.0611,45.836,65.0106
p1,9,5496,1002.456,949614.0607,1496817.1802,-547203.1194,198.2178,29.996,5.5374
p1,9,5814,484.5744,3712053.5061,2405496.1506,1306557.3555,109.0892,77.2178,129.1144
p1,9,5815,967.2372,2554605.9148,2199199.9242,355405.9906,120.7338,66.2729,107.1643
p1,9,5816,1003.6224,1498697.5672,1805590.6053,-306893.0381,147.588,46.8547,74.4244
p1,9,5817,1002.3912,915586.8325,1506968.1935,-591381.361,175.6501,27.1628,36.4145
p1,9,6135,432.702,3875065.4049,2438212.3485,1436853.0564,147.2377,72.2013,118.7547
p1,9,6136,883.71,2817936.6339,2219699.5667,598237.0672,120.7338,65.4534,107.1643
p1,9,6137,1003.6224,1709138.5455,1859388.1821,-150249.6366,147.588,49.1442,74.4244
p1,9,6138,1003.6224,737391.3569,1501833.1177,-764441.7608,168.0453,33.155,41.6909
p1,9,6456,1003.6224,2751801.0688,2303685.5389,448115.5299,147.2377,63.9064,118.7547
p1,9,6457,1003.6224,2202755.0439,2061268.8588,141486.1851,156.6425,47.915,107.1643
p1,9,6458,1003.6224,1312926.8868,1761799.8984,-448873.0116,145.2789,55.5562,76.8518
p1,9,6777,977.7348,2826220.7038,2358319.0651,467901.6387,134.8192,62.5791,131.7904
p1,9,6778,1003.6224,1839410.7006,1955796.4499,-116385.7493,156.8161,39.9587,107.1643
p1,9,6779,1003.104,1376345.4263,1745694.3499,-369348.9236,156.8533,24.0814,107.1643
p1,9,7098,926.8992,2020769.4361,2120516.7158,-99747.2797,134.8192,60.6269,131.7904
p10,6,36309,805.2372,2348684.836,1951995.1773,396689.6587,97.7029,52.2968,25.3551
p10,6,36310,917.1144,1709858.7092,1722916.6997,-13057.9905,97.7029,36.4568,25.3551
p10,6,36631,405.0972,2513631.967,1764836.9328,748795.0342,92.8806,34.8655,25.3551
p10,6,36632,863.4924,1199947.4456,1536491.6024,-336544.1568,92.8806,18.5781,25.3551
p10,6,36954,98.982,5041522.6379,1515116.0223,3526406.6156,82.758,6.9968,33.7464
p10,6,37273,450.8784,4086183.2995,2184732.6855,1901450.614,75.8552,47.4364,39.7584
p10,6,37274,454.7664,3446486.1914,1946841.6054,1499644.586,75.8552,31.8871,39.7584
p10,6,37275,676.8684,2844332.8688,1836755.4105,1007577.4583,24.058,68.8872,3.9547
p10,6,37276,429.7536,2699852.0644,1591180.1796,1108671.8848,24.058,52.1307,3.9547
p10,6,37594,80.5464,8376690.431,2237769.0226,6138921.4083,24.058,94.9754,3.9547
p10,6,37595,987.9084,2724907.439,1970075.5771,754831.8619,24.058,79.5081,3.9547
p10,6,37596,1003.6224,2739254.7106,1869506.647,869748.0636,24.058,63.2954,3.9547
p10,6,37597,708.0048,2881285.1396,1743373.7119,1137911.4277,24.058,47.4554,3.9547
p10,6,37598,759.9096,2327325.4717,1526468.5145,800856.9572,24.0953,30.4597,3.9547
p10,6,37599,922.4928,1162505.1825,1187852.7323,-25347.5499,24.058,14.2842,3.9547
p10,6,37916,1002.7476,2507838.5577,1917029.3652,590809.1925,24.0953,83.497,3.9547
p10,6,37917,1003.6224,2203855.1273,1748207.3257,455647.8015,24.0953,67.657,3.9547
p10,6,37918,1003.6224,2620589.4648,1749427.5702,871161.8945,24.0953,51.817,3.9547
p10,6,37919,635.364,2775213.0646,1605810.4795,1169402.5851,24.0953,35.977,3.9547
p10,6,37920,581.4504,2015542.3813,1328487.5503,687054.831,24.0953,21.3496,3.9547
p10,6,38238,372.5676,2576772.0897,1694279.5205,882492.5692,24.0953,76.6433,3.9547
p10,6,38239,972.5508,2304865.1011,1664543.6021,640321.4989,24.0953,58.3782,3.9547
p10,6,38240,846.8064,2414997.6846,1594916.7422,820080.9424,24.0953,45.0688,3.9547
p10,6,38241,623.2788,2659074.4821,1596430.5529,1062643.9292,24.0953,38.0534,3.9547
p10,6,38560,610.5456,3050794.9562,1851871.6766,1198923.2796,22.7517,70.8968,5.7675
p10,6,38562,596.484,2893004.7493,1689068.673,1203936.0762,33.7674,40.4051,3.9547
p10,6,38563,853.1892,2099284.4773,1468766.8597,630517.6176,33.7674,25.7995,3.9547
p10,6,38564,663.1632,753937.8471,1199442.8648,-445505.0178,33.6247,21.1615,3.9547
p10,6,38565,130.41,3713186.0869,1217828.257,2495357.8299,33.6247,27.8281,3.9547
p10,6,38880,710.3376,3297668.555,2060650.2272,1237018.3278,22.7517,95.2523,5.7675
p10,6,38881,66.1608,8201843.1271,2068517.5938,6133325.5332,22.7517,83.3626,5.7675
p10,6,38882,509.3604,3720723.763,2078230.5614,1642493.2016,22.7517,93.0517,5.7675
p10,6,38884,775.6236,2519061.0085,1653892.2675,865168.7409,33.7674,41.4068,3.9547
p10,6,38885,548.9208,2334393.9965,1549611.4808,784782.5157,33.6247,37.0015,3.9547
p10,6,38886,845.64,2050269.6129,1503947.8674,546321.7455,39.6595,15.2045,23.9124
p10,6,39201,635.6556,3753755.316,2293576.411,1460178.905,22.7517,119.5907,5.7675
p10,6,39202,368.1288,3850457.7876,2124941.3599,1725516.4277,22.7517,102.7212,5.7675
p10,6,39203,626.8428,3810963.6218,2154069.8215,1656893.8003,33.7674,82.9694,3.9547
p10,6,39204,496.6272,3897508.6228,1975159.9867,1922348.6361,33.7674,67.1294,3.9547
p10,6,39205,803.7144,2405620.7036,1735356.0603,670264.6432,33.7674,57.9178,3.9547
p10,6,39206,783.7236,2656732.9634,1785324.49,871408.4733,33.6247,53.2888,3.9547
p10,6,39207,1003.6224,2216240.8095,1690111.0816,526129.7279,31.1995,31.0445,33.9035
p10,6,39208,515.1276,2706286.3739,1656859.4193,1049426.9546,39.6595,34.3778,23.9124
p10,6,39522,73.9368,8332036.9904,2336715.0255,5995321.9649,22.7517,126.9676,5.7675
p10,6,39524,802.6128,3608465.3606,2142422.5862,1466042.7743,33.7674,89.5305,3.9547
p10,6,39525,1003.6224,3287224.3467,2097456.0958,1189768.2509,33.7674,85.0991,3.9547
p10,7,35987,842.6916,2610675.4071,2121637.7868,489037.6202,24.058,159.3678,3.9547
p10,7,37271,694.3644,2657454.5337,2079782.0386,577672.4951,24.058,136.7691,3.9547
p10,7,37272,16.1676,8464039.3233,2309629.3821,6154409.9411,24.058,117.2274,3.9547
p10,7,37593,18.63,8291271.6139,2286310.7591,6004960.8548,24.058,113.7977,3.9547
p10,7,37915,83.4624,8166422.1029,2228508.4369,5937913.666,24.0953,99.337,3.9547
p10,7,38236,164.106,6538921.2337,2227334.8471,4311586.3866,24.0953,105.8982,3.9547
p10,7,38237,757.2528,2590779.6119,1898264.9179,692514.694,24.0953,90.4799,3.9547
p10,7,38557,911.9304,3113594.2581,2164558.9834,949035.2747,24.0953,116.4352,3.9547
p10,7,38558,692.3232,3121446.2944,2083954.6314,1037491.6629,24.0953,104.6675,3.9547
p10,7,38878,888.6024,2461669.0947,2034775.9515,426893.1432,24.0953,127.1922,3.9547
