sc_point_gid|old,sc_point_gid
416,37804
796,37804
797,37805
798,37806
799,37807
800,37808
801,38493
802,38493
1176,38488
1177,38489
1178,38490
1179,38491
1180,38492
1181,38493
1182,39178
1183,39179
1184,39180
1185,39181
1186,39182
1543,39158
1557,39173
1558,39174
1559,39175
1560,39176
1561,39177
1562,39178
1565,39865
1566,39866
1567,39867
1568,39868
1569,39869
1923,39842
1924,39843
1937,39857
1938,39858
1939,39859
1940,39860
1941,39861
1942,39862
1949,39870
1950,39871
1951,40556
1952,40557
1953,40558
1954,40558
2303,40526
2304,40527
2305,40528
2315,40539
2316,40540
2317,40541
2318,40542
2319,40543
2320,40544
2321,40545
2322,40546
2323,40547
2325,40549
2326,41234
2327,40552
2332,41241
2333,41242
2334,41243
2335,41244
2336,41245
2337,41246
2682,41209
2683,41210
2684,41211
2685,41212
2686,41213
2695,40539
2696,41224
2697,41225
2698,41226
2699,41227
2700,41228
2701,41229
2702,41230
2703,41231
2705,41233
2706,41234
2707,41236
2708,41237
2709,41238
2710,41239
2711,41240
2712,41241
2713,41926
2714,41927
2715,41928
2716,41929
2717,41930
2718,41931
2719,41932
2720,41933
2721,41934
3062,41209
3063,41894
3064,41895
3065,41896
3066,41897
3067,41898
3068,41899
3074,41906
3075,41907
3076,41908
3077,41909
3078,41910
3079,41911
3080,41912
3081,41913
3082,41914
3083,41915
3084,41916
3085,41917
3086,41919
3087,41920
3088,41921
3089,41922
3090,41923
3091,41924
3092,41925
3093,41926
3094,42611
3095,42612
3096,42613
3097,42614
3098,42615
3099,42616
3100,42617
3101,42618
3102,42619
3103,42621
3104,42622
3105,42623
3106,42623
3443,41894
3444,42579
3445,42580
3446,42581
3448,42583
3449,42584
3450,42586
3451,42587
3454,42590
3455,42591
3456,42592
3457,42593
3458,42594
3459,42595
3460,42596
3461,42597
3462,42598
3463,42599
3464,42600
3466,42603
3467,42604
3468,42605
3469,42606
3470,42607
3471,42608
3472,42609
3473,42610
3474,42611
3475,43296
3476,43297
3477,43298
3478,43299
3479,43300
3480,43301
3481,43302
3482,43303
3483,43305
3484,43306
3485,43307
3486,43308
3487,43309
3488,43310
3489,43311
3490,43996
3823,42578
3824,42579
3825,43264
3830,43270
3831,43271
3832,43272
3833,43272
3836,43276
3837,43277
3838,43278
3839,43279
3840,43280
3841,43281
3842,43282
3843,43283
3847,43288
3848,43289
3849,43290
3850,43291
3851,43292
3852,43293
3853,43294
3854,43295
3855,43296
3856,43981
3857,43982
3858,43983
3859,43984
3860,43985
3861,43986
3862,43988
3863,43989
3864,43990
3865,43991
3866,43992
3867,43993
3868,43994
3869,43995
3870,43996
3871,43997
3872,43998
3873,43999
3874,44000
3875,44685
4203,43262
4204,43263
4205,43264
4206,43949
4211,43955
4212,43956
4213,43957
4215,43959
4216,43276
4217,43961
4218,43962
4219,43963
4220,43964
4221,43965
4222,43966
4223,43967
4227,43972
4228,43973
4229,43974
4230,43975
4231,43976
4232,43977
4233,43978
4234,43979
4235,43980
4236,43981
4237,44666
4238,44667
4239,44668
4240,44669
4241,44670
4242,44672
4243,44673
4244,44674
4245,44675
4246,44676
4247,44677
4248,44678
4249,44679
4250,44680
4251,44681
4252,44682
4253,44683
4254,44684
4255,44685
4256,44686
4257,44688
4258,44688
4259,45374
4583,43946
4584,43947
4585,43948
4591,43955
4592,43956
4593,43957
4594,44642
4595,43959
4596,44644
4597,44645
4598,44646
4599,44647
4600,44648
4601,44649
4602,44650
4605,44654
4606,44655
4607,44656
4608,44657
4609,44658
4610,44659
4611,44660
4612,44661
4613,44662
4614,44663
4615,44664
4616,44665
4617,44666
4618,45351
4619,45352
4620,45353
4621,44671
4622,44672
4623,45357
4624,45358
4625,45359
4626,45360
4627,45361
4628,45362
4629,45363
4630,45364
4631,45365
4632,45366
4633,45367
4634,45368
4635,45369
4636,45370
4637,45372
4638,45373
4639,45374
4640,45375
4641,45376
4642,45377
4643,46062
4644,46063
4963,44630
4964,44631
4965,44632
4966,44634
4971,44639
4973,45325
4974,44642
4975,45327
4976,45328
4977,45329
4978,45330
4979,45331
4980,45332
4981,45333
4982,45334
4984,45337
4985,45338
4986,45339
4987,45340
4988,45341
4989,45342
4990,45343
4991,45344
4992,45345
4993,45346
4994,45347
4995,45348
4996,45349
4997,45350
4998,45351
4999,46036
5000,45354
5001,45355
5002,45356
5003,45357
5004,46042
5005,46043
5006,46044
5007,46045
5008,46046
5009,46047
5010,46048
5011,46049
5012,46050
5013,46051
5014,46052
5015,46053
5016,46055
5017,46056
5018,46057
5019,46058
5020,46059
5021,46060
5022,46061
5023,46062
5024,46063
5025,46064
5026,46065
5027,46066
5028,46751
5029,46752
5030,46753
5342,45314
5343,45314
5344,45315
5345,45316
5346,45318
5347,45319
5348,45320
5349,45321
5350,45322
5351,45323
5352,46008
5353,45325
5355,46011
5356,46012
5357,46013
5358,46014
5359,46015
5360,46016
5361,46017
5362,46018
5363,46019
5364,46021
5365,46022
5366,46023
5367,46024
5368,46025
5369,46026
5370,46027
5371,46028
