tech,access_switch,access_case,sc_path,rev_case,original_sc_file,original_rev_folder,cf_path
upv,GSw_SitingUPV,reference,UPV/2023_06_06_Update,01_reference,post_processed_supply_curves/01_reference_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/generation/generation_multi-year.h5
upv,GSw_SitingUPV,open,UPV/2023_06_06_Update,00_open,post_processed_supply_curves/00_open_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/generation/generation_multi-year.h5
upv,GSw_SitingUPV,limited,UPV/2023_06_06_Update,02_limited,post_processed_supply_curves/02_limited_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/generation/generation_multi-year.h5
wind-ofs,GSw_SitingWindOfs,open,OFFSHORE/2023_03_31_Update,0_open_moderate,0_open_moderate/0_open_moderate_supply-curve.csv,,/shared-projects/rev/projects/weto/fy22/standard_scenarios/rev/generation/4_moderate_offshore/4_moderate_offshore_multi-year.h5
wind-ofs,GSw_SitingWindOfs,limited,OFFSHORE/2023_03_31_Update,1_limited_moderate,1_limited_moderate/1_limited_moderate_supply-curve.csv,,/shared-projects/rev/projects/weto/fy22/standard_scenarios/rev/generation/4_moderate_offshore/4_moderate_offshore_multi-year.h5
wind-ons,GSw_SitingWindOns,open,ONSHORE/2023_07_28_Update,open_2030_moderate_115hh_170rd,processed_tables/open_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/open_2030_moderate_115hh_170rd/open_2030_moderate_115hh_170rd_bespoke.h5
wind-ons,GSw_SitingWindOns,reference,ONSHORE/2023_07_28_Update,reference_2030_moderate_115hh_170rd,processed_tables/reference_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/reference_2030_moderate_115hh_170rd/reference_2030_moderate_115hh_170rd_bespoke.h5
wind-ons,GSw_SitingWindOns,limited,ONSHORE/2023_07_28_Update,limited_2030_moderate_115hh_170rd,processed_tables/limited_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/limited_2030_moderate_115hh_170rd/limited_2030_moderate_115hh_170rd_bespoke.h5
dupv,none,none,DUPV/2018_Update,DUPV/2018_Update,,,
csp,none,none,CSP/2019_Existing,CSP/2019_Existing,,,
