sc_point_gid,class,capacity,capital_adder_per_mw,cf
799,7,266.57,0,0.9949
800,7,499.12,0,0.995
801,6,247.31,0,0.9951
802,6,54.11,0,0.9951
1179,7,308.5,0,0.9949
1180,7,945.49,0,0.995
1181,6,791.91,0,0.9951
1182,6,317.74,0,0.9951
1183,6,139.17,0,0.9951
1184,6,156.1,0,0.9951
1185,6,92.65,0,0.9951
1186,6,4.92,0,0.9951
1559,7,281.27,0,0.9949
1560,7,646.76,0,0.995
1561,6,32.55,0,0.9951
1562,6,209.96,0,0.9951
1565,6,17.15,0,0.9951
1566,6,129.01,0,0.9951
1567,6,161.66,0,0.9951
1568,6,112.41,0,0.9951
1569,6,88.31,0,0.9951
1939,7,293.74,0,0.9949
1940,7,229.98,0,0.995
1941,6,106.33,0,0.9951
1942,6,212.1,0,0.9951
1949,6,39.14,0,0.9951
1950,6,150.75,0,0.9951
1951,6,164.58,0,0.9951
1952,6,181.18,0,0.9951
1953,6,103.27,0,0.9951
1954,6,3.54,0,0.9951
2319,7,271.76,0,0.9949
2320,7,765.33,0,0.995
2321,6,694.19,0,0.9951
2322,6,304.25,0,0.9951
2323,6,57.59,0,0.9951
2326,6,1.74,0,0.9951
2327,6,125.41,0,0.9951
2332,6,70.99,0,0.9951
2333,6,760.89,0,0.9951
2334,6,778.6,0,0.9951
2335,7,500.55,0,0.995
2336,7,272.16,0,0.995
2337,7,60.48,0,0.995
2699,7,179.18,0,0.9949
2700,7,940.9,0,0.995
2701,6,1037.95,0,0.9951
2702,6,736.09,0,0.9951
2703,6,373.03,0,0.9951
2705,6,7.82,0,0.9951
2706,6,899.98,0,0.9951
2707,6,826.71,0,0.9951
2708,6,1.56,0,0.9951
2709,6,255.07,0,0.9951
2710,6,443.82,0,0.9951
2711,6,476.56,0,0.9951
2712,6,983.11,0,0.9951
2713,6,995.33,0,0.9951
2714,6,969.84,0,0.995
2715,7,943.06,0,0.995
2716,7,952.03,0,0.995
2717,7,944.1,0,0.995
2718,6,778.54,0,0.9951
2719,6,525.77,0,0.9951
2720,6,269.92,0,0.995
2721,6,88.29,0,0.9951
3079,7,179.92,0,0.9949
3080,7,929.0,0,0.995
3081,6,1005.3,0,0.9951
3082,6,984.88,0,0.9951
3083,6,841.74,0,0.9951
3084,6,63.01,0,0.9951
3085,6,1.5,0,0.9951
3086,6,786.33,0,0.9951
3087,6,1021.91,0,0.9951
