region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_cap_cost_per_mw,reinforcement_cost_per_mw,dist_km,reinforcement_dist_km
p1,9,4982,77.127,1453261.182,1169287.564,283973.618,56.306,88.653
p1,9,5361,12.053,4247891.078,3964711.44,283179.638,30.825,88.345
p1,9,5362,12.761,4856934.156,4287056.61,569877.545,35.985,235.782
p1,9,5742,27.465,2827624.174,2257746.629,569877.545,38.777,235.782
p1,9,6122,189.615,629882.407,60004.862,569877.545,2.766,235.782
p1,10,4601,32.626,1964968.974,1680995.355,283973.618,36.42,88.653
p1,10,4602,37.065,2310453.725,2026480.106,283973.618,47.641,88.653
p1,10,4980,1.267,23848078.252,23564104.633,283973.618,18.28,88.653
p1,10,4981,91.67,831958.108,547984.49,283973.618,31.26,88.653
p1,10,5360,15.734,2268741.579,1985561.941,283179.638,21.138,88.345
p1,10,5363,18.102,3080337.634,2510460.088,569877.545,31.797,235.782
p1,10,5740,4.427,6577482.125,6294302.488,283179.638,21.278,88.345
p1,10,5741,50.747,1494156.958,1210977.321,283179.638,44.679,88.345
p1,10,5743,119.349,997429.102,427551.557,569877.545,16.799,235.782
p1,10,6121,138.764,782289.34,539784.173,242505.167,56.775,82.52
p1,10,6123,47.896,1041889.941,472012.396,569877.545,11.277,235.782
p1,10,6501,17.602,2633215.157,2063337.612,569877.545,24.068,235.782
p1,10,9157,11.924,8075226.399,7875271.317,199955.082,74.995,62.483
p1,10,9161,21.462,1560245.335,1406797.924,153447.411,29.665,56.501
p1,10,98255,22.7,1964968.973,1680995.355,283973.618,36.42,88.653
p10,2,98342,2209.87,2211078.46,861740.659,1349337.801,63.741,183.061
p10,3,98339,518.53,2020710.157,231253.288,1789456.869,11.457,324.523
p10,3,98340,358.52,1877938.741,528600.94,1349337.801,57.695,183.061
p10,4,98332,42.3,1431117.884,1369575.406,61542.478,167.693,8.725
p10,4,98334,138.05,1447673.644,1386131.166,61542.478,175.537,8.725
p10,6,98322,34.51,1475227.62,1086286.336,388941.284,154.485,40.638
p10,6,98324,47.53,2454046.508,73378.459,2380668.049,5.05,548.655
p10,7,63123,167.282,1900619.624,271404.335,1629215.289,31.665,217.674
p10,7,63124,19.513,3658847.926,1935229.696,1723618.23,33.694,239.453
p10,7,63502,535.625,1648833.709,1587291.231,61542.478,138.153,8.725
p10,7,63503,541.87,1972651.022,1911108.544,61542.478,174.351,8.725
p10,7,63504,121.428,2186168.37,556953.081,1629215.289,48.431,217.674
p10,7,63883,676.063,1557593.532,1496051.054,61542.478,144.154,8.725
p10,7,63884,508.078,2183071.591,833733.79,1349337.801,82.87,183.061
p10,7,63885,48.631,2253266.243,361260.897,1892005.346,14.001,283.545
p10,7,64263,147.966,2186356.795,2128622.849,57733.947,140.859,9.743
p10,7,64264,230.184,2211078.46,861740.659,1349337.801,63.741,183.061
p10,7,64265,321.868,1486573.102,1425030.624,61542.478,179.669,8.725
p10,7,64644,625.194,1419995.197,1358452.719,61542.478,162.903,8.725
p10,7,64645,620.971,1499088.782,1437546.304,61542.478,174.317,8.725
p10,7,64646,165.279,1903170.73,553832.929,1349337.801,67.977,183.061
p10,7,65024,692.841,1286506.496,1224964.018,61542.478,162.574,8.725
p10,7,65025,647.96,1447673.644,1386131.166,61542.478,175.537,8.725
p10,7,65026,357.952,1379611.64,1318069.162,61542.478,186.583,8.725
p10,7,65405,642.295,1484646.188,1423103.71,61542.478,179.16,8.725
p10,7,65406,428.922,1877938.74,528600.94,1349337.801,57.695,183.061
p10,7,65786,398.929,1288532.853,1226990.375,61542.478,195.504,8.725
p10,7,66166,348.909,1492716.248,1431173.77,61542.478,191.923,8.725
p10,7,66545,258.138,1735103.459,385765.659,1349337.801,50.027,183.061
p10,7,66546,160.6,1860414.412,511076.611,1349337.801,61.02,183.061
p10,7,98319,60.26,1492716.248,1431173.77,61542.478,191.923,8.725
p10,8,45631,274.658,2400241.09,279679.897,2120561.193,26.692,514.02
p10,8,50577,1.165,68046190.053,66260147.127,1786042.926,55.052,358.985
p10,8,51714,22.485,2662287.21,942917.93,1719369.28,10.396,318.5
p10,8,51715,313.032,1855155.272,565711.582,1289443.691,72.969,281.91
p10,8,52094,13.307,2933497.263,1214127.983,1719369.28,8.039,318.5
p10,8,52095,92.579,2020710.157,231253.288,1789456.869,11.457,324.523
p10,8,52474,3.698,4442976.154,2673165.884,1769810.27,4.677,319.929
p10,8,54766,0.201,314608880.767,312675221.297,1933659.47,58.981,302.198
p10,8,55527,6.612,8301972.023,6210259.343,2091712.68,32.782,357.323
p10,8,55906,5.997,7735977.459,5802317.99,1933659.47,26.606,302.198
p10,8,55907,3.571,11149229.444,9215569.975,1933659.47,23.808,302.198
p10,8,56285,21.235,2324942.387,391282.917,1933659.47,4.736,302.198
p10,8,56286,4.029,5746439.191,3812779.721,1933659.47,9.666,302.198
p10,8,56287,0.582,72712834.324,70779174.854,1933659.47,29.964,302.198
p10,8,56665,1.358,18198330.324,16264670.854,1933659.47,16.868,302.198
p10,8,56666,0.318,54152319.429,52203101.2,1949218.229,12.51,305.197
p10,8,58195,120.761,2854915.365,487703.866,2367211.498,41.357,435.3
p10,8,58565,11.189,6518340.888,4794907.433,1723433.455,43.449,243.779
p10,8,58566,15.436,6303428.52,4579995.065,1723433.455,55.202,243.779
p10,8,58945,11.658,7110508.275,5387074.82,1723433.455,51.63,243.779
p10,8,58946,21.215,5184596.609,3285056.213,1899540.396,57.307,254.166
p10,8,58947,22.554,5475606.583,3576066.188,1899540.396,64.266,254.166
p10,8,60089,4.596,20938154.953,18570943.454,2367211.498,78.351,435.3
