r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1765.13,2126.27,2250.22,2291.37,2384.49,2475.94,2655.9,2734.73,2851.32,2881.63,2933.63,2990.33,3148.57,3201.89,3274.12
p2,1731.93,1949.44,2051.96,2077.13,2121.04,2248.82,2408.54,2495.34,2561.59,2607.12,2678.59,2797.22,2921.81,3046.19,3208.61
p3,1895.78,2176.33,2324.91,2420.78,2523.26,2616.21,2700.88,2786.49,2846.15,2928.45,2991.89,3087.05,3167.11,3257.69,3311.94
p4,2127.68,2216.04,2266.34,2379.42,2470.29,2539.74,2616.55,2726.99,2818.05,2858.23,2878.7,2959.49,3015.98,3097.75,3201.51
p5,1784.3,2026.83,2154.25,2275.88,2367.98,2471.44,2574.67,2679.63,2770.81,2850.78,2938.57,3021.97,3116.13,3204.59,3313.99
p6,1566.7,1822.55,1975.76,2193.81,2343.25,2418.66,2518.95,2630.92,2718.14,2794.44,2916.63,3008.96,3089.06,3179.33,3279.55
p7,1691.19,1943.11,2076.8,2187.23,2298.57,2390.85,2485.25,2574.92,2673.15,2769.75,2865.39,2980.22,3080.96,3177.62,3288.93
p8,1418.85,1770.21,1978.52,2124.5,2220.7,2307.07,2404.86,2499.66,2604.4,2687.89,2785.74,2927.59,3049.26,3192.94,3305.08
p9,1631.89,1906.91,2002.39,2095.46,2222.47,2331.97,2438.13,2535.68,2660.65,2749.57,2839.83,2952.21,3075.66,3193.19,3296.56
p10,1668.47,1850.01,1993.34,2093.9,2167.35,2242.36,2320.19,2398.1,2480.59,2583.03,2718.43,2820.36,2927.99,3063.35,3248.74
p11,1671.04,1863.69,2002.88,2039.64,2165.09,2300.4,2449.84,2503.57,2547.56,2626.4,2733.84,2870.18,2993.25,3129.02,3289.35
p12,1605.78,1810.89,1961.08,2074.94,2175.27,2276.73,2364.88,2453.7,2555.5,2670.59,2766.63,2875.99,3010.85,3143.04,3282.64
p13,1775.43,2004.4,2103.14,2170.43,2277.51,2388.4,2472.09,2527.76,2630.68,2721.49,2800.02,2913.06,2989.75,3138.15,3261.37
p14,1836.16,2067.22,2159.37,2307.93,2390.83,2481.34,2542.04,2609.45,2692.38,2782.22,2873.02,2972.13,3053.88,3197.98,3327.49
p15,1652.06,1854.24,1986.13,2110.83,2215.78,2304.5,2374.85,2454.82,2542.89,2632.74,2731.75,2839.9,2976.89,3131.45,3280.43
p16,1505.99,1751.11,1899.36,2022.14,2136.07,2244.65,2345.8,2437.63,2546.16,2625.84,2732.63,2856.14,2969.66,3118.99,3261.36
p17,1690.2,1913.8,2055.7,2173.22,2275.08,2355.6,2439.94,2521.54,2607.31,2699.96,2791.79,2895.49,3005.56,3126.15,3274.38
p18,1689.76,1953.59,2074.62,2166.59,2273.45,2386.71,2497.33,2586.09,2686.72,2764.47,2881.36,2996.64,3084.13,3186.47,3285.9
p20,2015.23,2195.47,2248.05,2326.65,2395.36,2424.09,2452.25,2520.18,2575.03,2706.99,2780.09,2869.08,2955.58,3160.43,3260.68
p21,1632.07,1842.65,1950.06,2062.39,2166.92,2255.56,2335.13,2414.71,2488.16,2576.49,2692.82,2794.37,2930.76,3083.81,3268.45
p22,1662.68,1823.66,1933.11,1984.45,2090.31,2180.32,2293.94,2377.68,2475.14,2560.35,2676.6,2812.2,2901,3021.03,3245.09
p23,2088.69,2334.48,0,0,2530.02,0,0,2790.76,2898.01,2943.42,2952.53,3127.37,3169.61,3180.44,3212.65
p24,1620.42,1791.81,1970.71,2136.61,2291.36,2353.27,2479.64,2563.07,2694.89,2836.82,2897.24,2978.49,3079.46,3193.25,3283.34
p25,1570.99,1796.05,1924.4,2037.24,2124.6,2217.34,2307.98,2400.21,2493.47,2590.86,2692.52,2809.68,2943.46,3113.13,3293.8
p26,1535.59,1774.03,1903.62,2030.03,2154.38,2247.04,2359.52,2459.2,2529.5,2617.49,2756,2875.64,2974.84,3119.01,3272.05
p27,1576.15,1749.16,1831.71,1924.49,2014.72,2093.77,2178.09,2260.53,2355.69,2469.23,2601.44,2733.87,2878.09,3039.2,3235.58
p28,1521.53,1691.99,1850.05,1984.82,2118.91,2241.12,2345.88,2443.04,2544.8,2644.89,2749.7,2865.07,3004.15,3146.12,3296.09
p29,1597.16,1699.6,1896.75,1964.23,2061.62,2211.78,2306.5,2392.43,2522.07,2602.55,2643.33,2718.99,2897.63,3125.16,3289.28
p30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p31,1685.08,1919.17,2048.99,2147.53,2248.24,2343.08,2438.47,2533.75,2649.04,2765.24,2854.82,2933.53,3040.23,3158.15,3283.63
p32,2942.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3149.27
p33,1657.26,1923,2063.15,2153.64,2256.46,2337.61,2421.14,2513.26,2614.41,2693.88,2804.38,2907.36,3019.77,3140.68,3278.02
p34,1769.86,2008.57,2144.22,2254.17,2329.81,2410.57,2514.99,2596.9,2676.56,2773.51,2852.94,2935.82,3027.92,3146.37,3274.47
p38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p47,2157.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2477.15
p59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p61,1759.21,1935.18,2073.99,2152.75,2216.25,2324.57,2416.99,2503.86,2616.01,2716.04,2824.75,2979.55,3113.86,3238.17,3360.37
