region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_export_km,dist_reinforcement_km
p1,8,4851,61.884,6699053.8095,2341469.2657,4357584.5438,108.6738,92.958,133.3768
p1,8,5172,598.6548,2846587.8089,2286543.3714,560044.4375,109.0892,84.0771,129.1144
p1,8,5173,589.8744,2361559.4925,2042009.4257,319550.0668,124.6166,68.2371,107.1643
p1,8,5493,605.1024,3179471.2531,2361761.1804,817710.0727,109.0892,83.4061,129.1144
p1,8,5494,539.9784,2479646.8059,2036088.2664,443558.5395,124.6166,61.676,107.1643
p1,8,5814,335.826,3795094.285,2388372.9673,1406721.3177,109.0892,77.2178,129.1144
p1,8,5815,426.9672,3098591.7409,2177099.2111,921492.5298,120.7338,66.2729,107.1643
p1,8,6135,299.9916,3996997.9338,2432089.1174,1564908.8164,147.2377,72.2013,118.7547
p1,8,6136,306.6984,3377754.8318,2183044.6829,1194710.1489,120.7338,65.4534,107.1643
p1,8,6456,288.4896,3721045.9848,2330652.0345,1390393.9503,147.2377,63.9064,118.7547
p1,8,6457,168.5448,4605603.4573,2037709.284,2567894.1733,156.6425,47.915,107.1643
p1,8,6777,78.9912,6146559.1226,2226353.4731,3920205.6495,134.8192,62.5791,131.7904
p1,8,6778,115.8948,4824347.003,1872626.1977,2951720.8053,156.8161,39.9587,107.1643
p1,8,7098,819.4932,2078303.3158,2117813.1277,-39509.8119,134.8192,60.6269,131.7904
p10,6,36954,37.3572,5621925.6204,1578895.689,4043029.9314,82.758,6.9968,33.7464
p10,6,37273,53.4276,7422716.4732,2099870.1748,5322846.2984,75.8552,47.4364,39.7584
p10,6,37274,55.6308,7182965.3597,1944191.7762,5238773.5835,75.8552,31.8871,39.7584
p10,6,37276,34.7004,5907049.0227,1546291.8117,4360757.211,24.058,52.1307,3.9547
p10,6,38237,78.2136,6387982.1826,1860172.2343,4527809.9483,24.0953,90.4799,3.9547
p10,6,38238,20.9304,5928251.6355,1703906.0647,4224345.5707,24.0953,76.6433,3.9547
p10,6,38558,45.7812,6534972.2473,1968594.0482,4566378.1991,24.0953,104.6675,3.9547
p10,6,38562,15.4872,6980151.8271,1676208.9349,5303942.8921,33.7674,40.4051,3.9547
