r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1373.08,1773.8,2354.03,2517.93,2671.04,2773.57,2829.55,2900.71,3010.62,3073.83,3145.64,3212.42,3234.71,3257.85,3304.84
p2,1623.99,2122.85,2414.69,2660.43,2752.89,2851.08,2911.66,2975.45,3017.73,3078.42,3133.08,3177.33,3228.5,3279.76,3365.49
p3,2205.05,2623.94,2817.22,2891.69,2946.99,3002.24,3041.6,3098.05,3156.96,3195.05,3244.4,3284.72,3309.33,3341.61,3395.57
p4,1935.73,2453.65,2687.2,2765.48,2803.99,2888.44,2993.95,3022.6,3041.57,3065.45,3103.21,3157.25,3224.53,3266.96,3320.15
p5,1839.5,2430.78,2608.93,2726.91,2819.38,2913.52,2985.16,3066.56,3130.14,3174.59,3218.85,3268.04,3305.4,3348.76,3426.38
p6,1651.46,2335.06,2553.71,2672.28,2828.11,2932.35,3032.4,3075.73,3128.27,3161.23,3205.91,3254.07,3284.81,3315.87,3364.67
p7,2048.53,2490.43,2629.13,2769.16,2864.31,2931.13,3001.9,3062.15,3119.4,3174.35,3220.41,3258.58,3298.56,3334.5,3397.86
p8,1908,2375.4,2577.91,2688,2802.81,2886.11,2966.07,3024.69,3092.82,3139.35,3191.52,3244.22,3288.14,3333.74,3372.45
p9,1590.14,2182.33,2440.42,2608.78,2718.43,2809.78,2916,2992.4,3054.66,3118.97,3181.31,3230.61,3274.96,3310.25,3354.32
p10,1929.11,2342,2492.38,2613.82,2743.51,2836.04,2927.45,3003.34,3076.25,3137.95,3195.4,3244.95,3284.53,3320.84,3410
p11,1364.23,1848.67,2380.99,2572.96,2676.6,2738.17,2770.82,2816.98,2923.83,3014.87,3070.64,3109.32,3140.93,3203.63,3325.01
p12,2187.1,2494.3,2665.56,2773.84,2869.85,2942.6,3007.4,3074.65,3130.47,3183.81,3233.41,3271.24,3313.23,3348.62,3427.44
p13,2177.54,2568.46,2675.78,2761.51,2863.21,2956.01,3027.11,3068.65,3106.83,3172.9,3211.66,3248.45,3282.26,3306.85,3399.18
p14,1991.5,2398.21,2569.02,2728.77,2829.94,2922.96,2986.95,3043.04,3091.76,3143.75,3204.01,3249.87,3300.86,3334.36,3404.67
p15,2073.32,2467.84,2631.26,2743.56,2839.77,2916.85,2989.55,3056.83,3121.53,3170.21,3219.55,3264.7,3305.46,3345.51,3428.32
p16,2088.57,2428.16,2574.5,2707.43,2820.11,2896.67,2972.47,3041.56,3092.49,3130.91,3172.28,3220.01,3269.2,3308,3346.8
p17,2116.19,2463.5,2663.53,2754.47,2845.47,2935.64,2997.47,3055.26,3113.52,3164.14,3205.94,3243.7,3280.47,3319.4,3373.7
p18,2095.01,2486.66,2633.76,2754.48,2837.16,2924.83,2996.39,3063.29,3117.93,3165.46,3214.17,3253.74,3291.6,3324.47,3373.09
p19,0,0,0,0,0,0,0,2270.28,0,0,0,0,0,0,0
p20,2221.82,2476.51,2655.22,2675.64,2851.14,2945.85,2992.86,3012.35,3036.52,3106.47,3158.44,3210.44,3301.45,3310.69,3361.27
p21,1997.4,2424.16,2579.25,2727.78,2819.57,2896.81,2982.62,3053.07,3127.7,3174.67,3220.04,3262.79,3303.28,3344.94,3406.62
p22,2064.33,2285.4,2472.42,2590.8,2698.84,2817.45,2890.43,2938.04,3006.52,3087.39,3146.13,3202.98,3278.78,3333.15,3392.92
p23,2626.57,2720.51,0,2996.02,3078.7,3106.66,3151.43,3253.27,3288.31,3293.12,3295.65,3298.9,3316.57,3334.62,3336.14
p24,1992.32,2609.64,2806.43,2846.44,2913.52,2988.36,3038.11,3095.32,3146.94,3190.27,3223.08,3249.83,3290.82,3319.49,3371.56
p25,2039.24,2419.48,2582.48,2704.46,2806.55,2889.83,2976.58,3046.91,3111.32,3171.83,3225.42,3275.15,3319.13,3365.09,3480.29
p26,1862.03,2381.8,2544.21,2649.97,2756.01,2850.89,2922.71,3002.69,3080.58,3152.15,3208.54,3252.07,3294.05,3343.61,3418.85
p27,2094.09,2357.86,2513.62,2644.18,2726.97,2812.68,2904.14,2988.8,3071.84,3140.93,3188.73,3235.46,3273.9,3311.98,3364.03
p28,2283.81,2494.89,2631.34,2741.48,2824.36,2915.32,2981.16,3054.86,3129.98,3182.5,3231.18,3276.11,3316.64,3365.34,3467.05
p29,2131.75,2472.37,2637.7,2743.36,2811.56,2894.25,2945.01,3009.6,3087.92,3125.78,3172.71,3227.06,3281.4,3325.69,3381.54
p30,2996.56,0,0,0,0,0,0,0,0,0,3114.89,0,0,0,3341.24
p31,2059.33,2468.02,2662.94,2788.65,2869.55,2941.15,2996.27,3048.33,3111.09,3153.31,3199.37,3246.84,3288.67,3325.31,3385.27
p32,2861.99,0,0,2983.15,0,3172.23,0,0,0,0,3268.27,0,0,0,3334.05
p33,2078.66,2468.39,2638.2,2742.88,2815.15,2908.55,2981.63,3043.12,3103.51,3160.97,3217.03,3263.17,3296.9,3340,3407.21
