r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1658.53,1809.17,1842.46,1953.08,2009.31,2038.95,2093.41,2128.97,2165.41,2195.82,2284.2,2362.74,2411.22,2446.51,2586.1
p2,1479.14,1640.68,1710.03,1760.47,1846.26,1907.6,1989.23,2054.83,2090.78,2146.68,2197.56,2263.54,2319.94,2408.61,2662.46
p3,1597.29,1715.75,1823.32,1899.65,1973.51,2035.14,2072.72,2129.81,2187.31,2223.09,2273.59,2324.47,2366.81,2432.38,2599.65
p4,1587.12,1715.54,1781.36,1846.92,1946.4,1986.27,2032.43,2076.73,2126.29,2142.9,2195.59,2271.02,2360.87,2458.97,2647.73
p5,1557.36,1725.79,1798.17,1859.41,1929.12,1987.03,2045.79,2089.38,2141.44,2184.28,2234.45,2311.33,2382.47,2456.15,2633.35
p6,1426.74,1593.93,1683.19,1775.16,1865.38,1916.58,1976.13,2020.27,2085.52,2138.86,2194.83,2256.76,2323.03,2389.84,2605.17
p7,1479.65,1650.75,1762.54,1832.26,1900.5,1952.31,2008.29,2069.3,2131.12,2181.34,2229.41,2285.98,2367.65,2441.33,2606.54
p8,1450.93,1624.67,1739.12,1823.81,1886.88,1933.46,1991.34,2048.12,2093.8,2146.32,2213.04,2294.34,2361.97,2421.54,2564.57
p9,1463.38,1656.35,1741.4,1799.17,1852.39,1911.96,1969.76,2051.24,2103.68,2148.11,2211.4,2268.87,2335.93,2398.61,2565.38
p10,1478.3,1614.75,1695.97,1755.47,1815.12,1878.22,1940.59,1998.04,2051.87,2112.54,2171.03,2236.13,2305.48,2391.27,2526.59
p11,1387.97,1504.11,1629.33,1732.17,1806.48,1896.49,1932.29,2018.4,2059.64,2074.7,2097.31,2116.57,2234.18,2306.9,2463.89
p12,1467.11,1632.21,1720.95,1793.47,1863.34,1917.58,1973.32,2034.5,2094.25,2153.26,2214.77,2279.86,2355.57,2426.93,2551.26
p13,1502.31,1654.81,1746.74,1817.53,1863.75,1904.23,1928.48,1988.5,2047.93,2094.09,2135.48,2198.58,2293.39,2413.1,2505.29
p14,1565.79,1700.9,1784.46,1834.6,1908.87,1968.28,2023.63,2086.74,2141.86,2194.21,2231.96,2287.48,2330.17,2395.22,2564.92
p15,1471.56,1622.56,1715.84,1785.37,1849.6,1906.34,1961.6,2021.76,2082.63,2136.99,2193.01,2262.6,2334.4,2412.4,2527.46
p16,1441.72,1606.01,1686.25,1746.64,1813.67,1882.77,1956.54,2006.27,2066.6,2119.5,2181.83,2242.46,2310.87,2385.62,2514.99
p17,1509.13,1657.88,1736.43,1801.39,1859.58,1919.5,1978.25,2036.61,2094.77,2151.87,2208.83,2270.19,2326.81,2398.3,2549.98
p18,1300.63,1304.46,1304.46,1304.46,1304.46,1304.46,1304.46,1304.46,1304.46,1304.46,1651.9,1919.12,2077.52,2236.83,2467.99
p20,1623.88,1732.13,1783.79,1862.71,1905.82,1916.26,1981.31,2033.15,2091.09,2179.9,2232.18,2293.12,2350.85,2403.22,2574.3
p21,1501.13,1630.57,1711.54,1774.53,1832.95,1886.12,1942.88,2001.83,2050.89,2113.79,2179.28,2247.03,2319.02,2397.03,2531.82
p22,1474.27,1601.93,1667.25,1736.28,1795.46,1884.5,1932.85,1990.8,2056.48,2128.79,2176.66,2224.05,2295.51,2402.38,2515.17
p23,1596.85,1749.25,1798.78,1810.12,2030.64,2061.4,2070.74,2078.03,2187.67,2221.75,2287.85,2297.38,2310,2354.11,2431.12
p24,1589.76,1677.51,1742.8,1831.85,1915.3,1983.58,2055.67,2124.62,2171.84,2245.36,2295.71,2341.41,2400.06,2461.12,2599.75
p25,1457.01,1601.81,1692.31,1765.11,1827.26,1879.48,1936.37,1993.66,2051.96,2112.5,2178.9,2250.42,2325.67,2412.16,2569.04
p26,1457.18,1593.41,1662.72,1745.3,1817.7,1878.68,1948.23,2007.34,2057.27,2132.03,2199.23,2260.27,2334.27,2419.47,2573.88
p27,1436.4,1570.17,1629.85,1693.92,1757.27,1817.38,1870.15,1921.85,1988.09,2066.69,2143.88,2217.59,2295.08,2369.03,2490.44
p28,1421.92,1577.19,1660.93,1736.05,1809.02,1879.15,1948.72,2009.81,2079.58,2157.75,2225.28,2298.25,2358.71,2427.94,2559.53
p29,1469.05,1564.52,1666.17,1735.92,1824.86,1867.46,1934.41,1969.47,2023.7,2107.18,2181.68,2225.01,2312.99,2404.56,2536.32
p30,1513.51,0,0,0,1839.81,0,0,0,0,2056.16,0,0,2175.17,0,2593.73
p31,1517.57,1690.85,1753.16,1808.51,1870.43,1927.13,1978.52,2034.77,2093.13,2151.03,2212.13,2296.04,2373.1,2441.74,2571.71
p32,2073.53,0,0,0,0,2240.23,0,0,0,0,2281.2,0,0,0,2433.07
