r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1936.6,2250.08,2263.98,2278.17,2431.77,2545.45,2600.22,2674.13,2740.2,2753.28,2825.85,2866.64,3017.55,3119.17,3279.12
p2,1766.57,1944.69,2130.78,2197.63,2322.34,2444.64,2525.73,2617.44,2678.69,2725.25,2802.09,2910.63,3038.12,3154.52,3304.84
p3,1942.42,2082.94,2231.08,2374.47,2486.41,2599.68,2678.17,2761.7,2830.56,2894.52,2965.83,3042.23,3116.43,3207.19,3333.67
p4,1915.99,2001.32,2143.54,2255.23,2358.62,2469.99,2541.93,2626.34,2707.16,2741.58,2815.43,2946.08,3065.59,3141.76,3270.37
p5,1738.98,2015.87,2141.25,2238.49,2344.83,2435.79,2533.5,2622.38,2712.41,2815.58,2899.46,3012.2,3122.71,3232.91,3378.35
p6,1659.71,1895.78,2004.71,2140.44,2289.55,2409.09,2471.22,2552.26,2612.17,2701.5,2789.65,2920.03,3072.52,3189.46,3301.13
p7,1706.18,1907.53,2040.61,2195.14,2300.84,2384.86,2470.38,2575.23,2684.65,2791.21,2893.02,2984.56,3091.67,3196.27,3312.62
p8,1578.39,1795.9,1934.52,2035.01,2140.43,2232.29,2321.51,2436.27,2526.44,2630.71,2738.75,2864.71,2999.01,3137.9,3285.79
p9,1593.11,1802.59,1936.66,2062.6,2165.18,2269.34,2370.07,2476.88,2578.92,2673.89,2782.25,2886.1,3007.63,3147.97,3294.41
p10,1461.49,1630.1,1730.88,1820.26,1918.14,2000.26,2088.3,2181.26,2292.12,2403.78,2528.52,2663.08,2816.57,3012.82,3259.3
p11,1519.53,1661.88,1755.29,1859.77,1960.93,2056.08,2148.67,2235.66,2349.21,2481.5,2590.23,2731.77,2873.16,3017.26,3204.49
p12,1502.16,1673.48,1785,1880.32,1984.25,2088.09,2195.59,2298.81,2407.62,2533.11,2653.34,2784.52,2933.44,3103.82,3307.14
p13,1503.73,1638.07,1724.42,1856.79,1968.42,2056.91,2122.95,2227.63,2331.19,2427.56,2516.05,2679.43,2830.37,3025.22,3245.81
p14,1844.72,2054.46,2204.73,2312.06,2416.54,2505.62,2578.21,2664.29,2756.89,2838.04,2920.99,3012.27,3100.76,3203.95,3340.01
p15,1726.33,1943.24,2074.14,2186.73,2293.33,2387.72,2482.99,2581.49,2674.35,2767.76,2866.58,2968.26,3079.67,3191.31,3341.67
