"usda_region","bioclass","price","cap"
"appalachia","bioclass1",0,0
"appalachia","bioclass2",10,1.2671247
"appalachia","bioclass3",20,1.2671247
"appalachia","bioclass4",30,1.2671247
"appalachia","bioclass5",40,0.25342494
"appalachia","bioclass6",50,1.01369976
"appalachia","bioclass7",60,8.9828741
"appalachia","bioclass8",70,0.0691497999999999
"appalachia","bioclass9",80,0
"appalachia","bioclass10",90,0
"appalachia","bioclass11",100,0
"appalachia","bioclass12",110,0
"appalachia","bioclass13",120,0
"appalachia","bioclass14",130,0
"appalachia","bioclass15",140,0
"appalachia","bioclass16",150,0
"appalachia","bioclass17",160,0
"appalachia","bioclass18",170,0
"appalachia","bioclass19",180,0
"appalachia","bioclass20",190,0
"appalachia","bioclass21",200,0
"corn-belt","bioclass1",0,0
"corn-belt","bioclass2",10,0.141927575
"corn-belt","bioclass3",20,0.141927575
"corn-belt","bioclass4",30,0.141927575
"corn-belt","bioclass5",40,0.028385515
"corn-belt","bioclass6",50,0.11354206
"corn-belt","bioclass7",60,0.3107512
"corn-belt","bioclass8",70,2.0423255
"corn-belt","bioclass9",80,0
"corn-belt","bioclass10",90,0
"corn-belt","bioclass11",100,0
"corn-belt","bioclass12",110,0
"corn-belt","bioclass13",120,0
"corn-belt","bioclass14",130,0
"corn-belt","bioclass15",140,0
"corn-belt","bioclass16",150,0
"corn-belt","bioclass17",160,0
"corn-belt","bioclass18",170,0
"corn-belt","bioclass19",180,0
"corn-belt","bioclass20",190,0
"corn-belt","bioclass21",200,0
"delta-states","bioclass1",0,0
"delta-states","bioclass2",10,1.666046675
"delta-states","bioclass3",20,1.666046675
"delta-states","bioclass4",30,1.666046675
"delta-states","bioclass5",40,0.333209335
"delta-states","bioclass6",50,1.33283734
"delta-states","bioclass7",60,5.8236707
"delta-states","bioclass8",70,0
"delta-states","bioclass9",80,0
"delta-states","bioclass10",90,0
"delta-states","bioclass11",100,0
"delta-states","bioclass12",110,0
"delta-states","bioclass13",120,0
"delta-states","bioclass14",130,0
"delta-states","bioclass15",140,0
"delta-states","bioclass16",150,0
"delta-states","bioclass17",160,0
"delta-states","bioclass18",170,0
"delta-states","bioclass19",180,0
"delta-states","bioclass20",190,0
"delta-states","bioclass21",200,0
"lake-states","bioclass1",0,0
"lake-states","bioclass2",10,0.6496882
"lake-states","bioclass3",20,0.6496882
"lake-states","bioclass4",30,0.6496882
"lake-states","bioclass5",40,0.12993764
"lake-states","bioclass6",50,0.51975056
"lake-states","bioclass7",60,1.8998563
"lake-states","bioclass8",70,11.2601767
"lake-states","bioclass9",80,0
"lake-states","bioclass10",90,0
"lake-states","bioclass11",100,0
"lake-states","bioclass12",110,0
"lake-states","bioclass13",120,0
"lake-states","bioclass14",130,0
"lake-states","bioclass15",140,0
"lake-states","bioclass16",150,0
"lake-states","bioclass17",160,0
"lake-states","bioclass18",170,0
"lake-states","bioclass19",180,0
"lake-states","bioclass20",190,0
"lake-states","bioclass21",200,0
"mountain","bioclass1",0,0
"mountain","bioclass2",10,1.331064825
"mountain","bioclass3",20,1.331064825
"mountain","bioclass4",30,1.331064825
"mountain","bioclass5",40,0.266212965
"mountain","bioclass6",50,1.06485186
"mountain","bioclass7",60,5.4704631
"mountain","bioclass8",70,0.204973900000001
"mountain","bioclass9",80,0
"mountain","bioclass10",90,0
"mountain","bioclass11",100,0
"mountain","bioclass12",110,0
"mountain","bioclass13",120,0
"mountain","bioclass14",130,0
"mountain","bioclass15",140,0
"mountain","bioclass16",150,0
"mountain","bioclass17",160,0
"mountain","bioclass18",170,0
"mountain","bioclass19",180,0
"mountain","bioclass20",190,0
"mountain","bioclass21",200,0
"northeast","bioclass1",0,0
"northeast","bioclass2",10,0.3437304
"northeast","bioclass3",20,0.3437304
"northeast","bioclass4",30,0.3437304
"northeast","bioclass5",40,0.0687460799999999
"northeast","bioclass6",50,0.27498432
"northeast","bioclass7",60,3.2833443
"northeast","bioclass8",70,20.9208909
"northeast","bioclass9",80,0
"northeast","bioclass10",90,0
"northeast","bioclass11",100,0
"northeast","bioclass12",110,0
"northeast","bioclass13",120,0
"northeast","bioclass14",130,0
"northeast","bioclass15",140,0
"northeast","bioclass16",150,0
"northeast","bioclass17",160,0
"northeast","bioclass18",170,0
"northeast","bioclass19",180,0
"northeast","bioclass20",190,0
"northeast","bioclass21",200,0
"pacific","bioclass1",0,0
"pacific","bioclass2",10,1.3653925
"pacific","bioclass3",20,1.3653925
"pacific","bioclass4",30,1.3653925
"pacific","bioclass5",40,0.2730785
"pacific","bioclass6",50,1.092314
"pacific","bioclass7",60,3.0906191
"pacific","bioclass8",70,0
"pacific","bioclass9",80,0
"pacific","bioclass10",90,0
"pacific","bioclass11",100,0
"pacific","bioclass12",110,0
"pacific","bioclass13",120,0
"pacific","bioclass14",130,0
"pacific","bioclass15",140,0
"pacific","bioclass16",150,0
"pacific","bioclass17",160,0
"pacific","bioclass18",170,0
"pacific","bioclass19",180,0
"pacific","bioclass20",190,0
"pacific","bioclass21",200,0
"southeast","bioclass1",0,0
"southeast","bioclass2",10,2.31725985
"southeast","bioclass3",20,2.31725985
"southeast","bioclass4",30,2.31725985
"southeast","bioclass5",40,0.463451969999999
"southeast","bioclass6",50,1.85380788
"southeast","bioclass7",60,12.198965
"southeast","bioclass8",70,0
"southeast","bioclass9",80,0
"southeast","bioclass10",90,0
"southeast","bioclass11",100,0
"southeast","bioclass12",110,0
"southeast","bioclass13",120,0
"southeast","bioclass14",130,0
"southeast","bioclass15",140,0
"southeast","bioclass16",150,0
"southeast","bioclass17",160,0
"southeast","bioclass18",170,0
"southeast","bioclass19",180,0
"southeast","bioclass20",190,0
"southeast","bioclass21",200,0
"southern-plains","bioclass1",0,0
"southern-plains","bioclass2",10,0.479144125
"southern-plains","bioclass3",20,0.479144125
"southern-plains","bioclass4",30,0.479144125
"southern-plains","bioclass5",40,0.0958288250000001
"southern-plains","bioclass6",50,0.3833153
"southern-plains","bioclass7",60,1.5261456
"southern-plains","bioclass8",70,0
"southern-plains","bioclass9",80,0
"southern-plains","bioclass10",90,0
"southern-plains","bioclass11",100,0
"southern-plains","bioclass12",110,0
"southern-plains","bioclass13",120,0
"southern-plains","bioclass14",130,0
"southern-plains","bioclass15",140,0
"southern-plains","bioclass16",150,0
"southern-plains","bioclass17",160,0
"southern-plains","bioclass18",170,0
"southern-plains","bioclass19",180,0
"southern-plains","bioclass20",190,0
"southern-plains","bioclass21",200,0
