r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1891.33,2050.27,2119.54,2214.82,2274.68,2314.44,2371.91,2434.02,2473.57,2527.33,2575.55,2640.28,2728.15,2779.44,2874.51
p2,1631.51,1802.01,1923.64,1980.23,2089.36,2194.27,2245.86,2325.35,2364.12,2442.56,2493.4,2577.64,2693.82,2771.19,2885.22
p3,1756.86,1881.77,2031.16,2137.85,2225.1,2305.47,2370.58,2443.41,2502.15,2555.75,2620.19,2677.99,2746.17,2822.16,2926.72
p4,1737.71,1829.13,1960.64,2059.78,2145.44,2216.94,2259.81,2314.12,2402.26,2432.61,2496.56,2611.09,2724.4,2830.95,2914.5
p5,1659.9,1864.78,1962.73,2052.94,2144.69,2216.14,2301.01,2355.82,2425.41,2499.36,2557.53,2653.48,2757.18,2846.25,2948.11
p6,1518.04,1726.22,1836.16,1976.67,2108.95,2174.15,2229.4,2283.15,2354.65,2433.56,2512,2592.17,2675.75,2790.47,2891.07
p7,1632.09,1817.92,1960.7,2056.72,2130.5,2198.32,2281.48,2358.26,2439.61,2509.73,2567.15,2638.97,2737.06,2819.07,2917.58
p8,1555.08,1761.86,1887.18,1997.82,2078.31,2139.99,2207.42,2284.69,2354.14,2416.97,2493.51,2597.31,2700.21,2793.94,2896.61
p9,1576.18,1783,1922.13,1997.2,2065.78,2124.9,2222.48,2315.57,2390.46,2443.79,2535.92,2619.26,2702.8,2792.05,2903.98
p10,1633.9,1802.26,1877.9,1961.04,2040.53,2127.06,2192.02,2264.24,2329.07,2406.87,2482.42,2561.18,2668.53,2775.85,2921.42
p11,1532.56,1703.23,1879.43,1950.94,2030.37,2142.27,2211.44,2317.61,2381.6,2402.92,2439.25,2470.32,2555.32,2762.22,2906.44
p12,1587.16,1782.97,1897.08,1988.12,2076.95,2155.63,2226.09,2309.71,2387.62,2462.11,2542.88,2629.37,2726.47,2822.62,2941.09
