r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,2561.18,2626.88,3750.18,2495.99,2620.53,1802.3,2655.5,2605.51,3072.77,2411.54,2636.84,1624.11,2701.97,2869.17,2933.19
p2,10471.75,9070.97,9038.12,9302.33,9291.07,9171.58,9377.97,9778.55,9538.62,8404.93,9807.36,9466.57,9381.32,9232.85,9576.07
p3,15428.84,16306.65,15820.86,16689.83,16140.37,15479.16,16477.77,15972.11,15344.28,16475.65,16056.89,15389.28,16566.47,15893.92,16191.28
p4,4891.94,4894.24,3800.04,5246.16,4145.11,3714.85,4765.01,5037.33,4488.54,4888.11,4074.75,5030.06,4303.79,4367.94,5019.24
p5,37767.71,36569.67,35542.38,37206.19,35694.68,36484.37,35900.61,36475.61,35334.76,36362.48,36143.77,36479.77,35773.17,36559.64,36149.8
p6,20263.21,18556.56,19252.24,18503.42,18508.69,19081.2,18782.44,17965.21,18889.23,18496.66,18854.16,17799.97,19246.66,18148.07,19257.07
p7,57074.83,54393.05,55897.35,53303.46,57743.51,55037.67,55236.24,55093.4,55123.45,55965.62,55191.6,55408.33,55341.62,55426.27,55878.89
p8,61117.9,59731.46,59822.23,59854.36,60756.45,60057.36,59922,59668.53,59908.17,60888.37,58449.77,61329.33,60135.54,60183.76,60188.73
p9,170474.97,169222.12,169501.4,169845.74,169822.04,169586.64,169259.07,169840.28,168995.51,169880.21,169913.14,169135.11,169921.85,169281.26,169891.45
p10,212447,209956.81,211802.9,210430.81,209481.62,211388.11,210419.38,210151.8,210575.42,210676.29,211031.79,210487.67,210509.69,210185.88,210903.97
p11,17023.56,18143.18,16258.06,16644.17,16678.68,16168.64,15700.86,17079.36,16939.72,15270.77,17949.86,16094.98,16699.18,16276.41,17129.73
p12,535538.93,535531.34,533692.11,535648.63,533613.47,534372.39,534960.83,535215.6,534525.02,535138.57,534935.37,534345.82,535075.8,534773.34,535139.83
p13,22011.84,21822.12,22086.73,21604.3,22221.59,20629.14,21657.49,22238.99,21129.36,22261.14,21159.25,21857.35,21598.02,21537.91,21939.9
p14,14989.88,13832.81,13226.73,13548.23,14048.63,13249.97,13302.02,13781.02,13454.96,13525.24,13823,14074.44,13017.49,14017.03,13830.37
p15,121899.75,120625.64,120181.71,120803.73,121311.18,121129.29,120741.63,120675.94,120821.59,120988.26,120329.65,120933.68,120683.85,121290.74,120858.79
p16,71322.25,70196.2,69274.86,67798.77,69427.63,69820.77,69020.12,68934.59,68592.94,69825.56,69260.55,69314.13,69003.09,68164.71,70337.11
p17,85176.28,83390.15,84522.63,83531.98,84477.92,83322.72,85030.92,84128.91,83503.83,84545.56,83929.55,83938.64,84088.8,83712.19,84487.09
p18,31961.7,29479.37,32181.55,29901.47,30774.14,30959.73,31249.3,30698.72,30215.89,31072.56,31042.83,30287.33,30805.68,31070.15,30921.15
p20,2452.45,2619.17,2938.11,1137.37,2596.37,2638.55,2263.6,2173.88,1974.77,2718.08,1469.45,2679.61,2535.45,2240.73,2476.09
p21,71037.87,69428.18,70303.28,69656.28,69789.39,69179.47,70097.56,70234.09,69936.43,70129.69,70097.27,69286.88,70021.92,69875.53,70518.67
p22,13704.2,14124.14,13948.03,13541.5,14820.72,13924.37,13794.98,13919.13,14203.45,13731.49,13576.37,13951.79,13605.09,13952.11,14689.75
p23,2211.3,2009.86,1716.88,2330.04,913.71,2646.03,1974.27,1470.29,2140.11,1918.85,1419.65,2318.61,1553.91,1867.73,2171.67
p24,16763.15,16499.99,16567.53,16794.37,16038.19,16774.72,16052.04,16646.84,16070.18,16181.04,16393.23,15580.36,16946.43,17072.37,16421.42
p25,336796.7,334099.75,334943.59,334570.48,334316.35,334336,334796.08,334527.19,334851.37,334773.7,334092.28,334821.26,334492.46,334659.38,334731.02
p26,61377.92,59550.35,59842.94,59278.18,59427.17,59677.68,59813.52,59473.86,60113.08,60123.07,58955.04,60526.38,59891.04,59392.76,60150.66
p27,102212.97,99474.54,99333.11,99067.19,99361.4,98509.69,100718.79,99111.36,99976.49,99055.3,98953.15,99716.17,99643.53,99132.2,99870.09
p28,163596.83,161982.47,160724.59,161183.09,161734.14,161850.52,159741.44,163210.93,161191.54,160262.68,162046.38,161193.13,160613.96,162627.14,161714.26
p29,13634.13,13539.12,12476.53,13134.84,12672.05,12926.41,13756.41,13431.39,12569.4,13199.17,13122.54,12760.2,13112.54,13547.35,13443.15
