r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1770.43,2033.07,2084.36,2155.03,2231.95,2274.68,2328.32,2395.1,2438.21,2475.47,2539.75,2591.81,2705.96,2760.27,2864.62
p2,1653.4,1857.91,1953.21,2030.97,2160.31,2229.06,2293.16,2353.7,2411.61,2472.67,2535.37,2630.71,2722.11,2786.05,2900.68
p3,1756.86,1898.31,2050.37,2150.67,2243.41,2317.89,2380.84,2454.41,2514.23,2564.91,2633.41,2682.62,2749.33,2825.07,2926.72
p4,1781.26,1927.03,2015.71,2103.88,2197.4,2235.9,2294.06,2337.99,2413,2460.98,2529.74,2651.26,2749.31,2831.33,2915.01
p5,1692.12,1896.86,1985.52,2069.31,2156.55,2226.67,2305.67,2364.27,2450.61,2520.98,2589.97,2685.22,2775.04,2855.4,2965.74
p6,1539.72,1735.5,1833.56,1948.21,2061.01,2149.46,2211.93,2275.12,2343.82,2413.8,2506.02,2604.73,2692.08,2801.63,2903
p7,1595.71,1776.12,1913.96,2016.76,2095.93,2170.01,2230.19,2313.89,2403.88,2482.46,2549.84,2620.58,2725.65,2811.3,2911.52
p8,1474.84,1662.39,1775.79,1869.23,1955.87,2034.86,2123.92,2202.62,2283.21,2364.14,2448.62,2543,2650.06,2749.52,2873.48
p9,1497.45,1675.49,1785.29,1879.41,1965.01,2047.24,2130.71,2218.07,2303.09,2379.83,2456.43,2542.24,2645.97,2758.96,2886.21
p10,1378.63,1530.49,1621.3,1697.02,1765.9,1833.05,1902.03,1982.03,2066.97,2159.3,2257.26,2368.75,2496.46,2654.14,2860.49
p11,1429.6,1560.56,1642.84,1719.02,1820.42,1893.64,1968.47,2047.02,2158.45,2249.88,2340.29,2449.94,2554.89,2678.09,2855.68
p12,1426.71,1580.66,1676.16,1760.97,1843.36,1926.48,2009.14,2090.14,2176.83,2271.51,2367.03,2474.68,2593.36,2734.75,2905.14
p13,1425.51,1559.17,1662.88,1759.26,1810.98,1884.46,1947.26,2027.1,2104.62,2188.33,2280.17,2417.68,2526.42,2662.19,2854.66
p14,1691.08,1878.05,1984.13,2076.19,2153.99,2212.43,2292.76,2368.85,2434.18,2497.86,2559.04,2636.1,2709.86,2788.5,2899.82
p15,1608.97,1786.75,1898.41,1986.39,2064.85,2135.9,2210.8,2289.35,2367.64,2441.82,2521.73,2613.87,2702.01,2808.57,2935.08
p16,1405,1584.96,1683.73,1772.26,1875.11,1971.89,2051.18,2143.99,2231.04,2312.66,2397.42,2483.14,2593.66,2705.43,2859.23
p17,1662.76,1834.65,1929.66,2016.91,2104.98,2186.97,2261.34,2329.63,2405.46,2470.89,2548.51,2623.77,2702.72,2796.9,2895.1
p18,1614.62,1857.94,1971.41,2085.71,2171.06,2236.39,2286.99,2353.74,2409.74,2471.67,2544.19,2622.72,2700.34,2807.69,2911.84
p20,1863.7,1928.16,1947.72,2069.38,2122.87,2147.08,2220.64,2325.12,2435.79,2529.67,2599.42,2646.39,2737.72,2817.05,2912.27
p21,1644.49,1781.02,1876.21,1949.25,2030.5,2100.4,2181.2,2255.19,2324.63,2403.68,2489.41,2577.04,2674.4,2774.62,2907.65
p22,1640.94,1796.22,1874.12,1970.75,2047.37,2119.4,2159.67,2223.41,2313.37,2397.28,2479.44,2560.66,2647.33,2749,2896.59
p23,1667.53,1835.37,1860.95,1978.47,2050.35,2088.62,2198.38,2252.46,2310.49,2474.69,2629.55,2703.32,2773.06,2824.05,2896.45
p24,1688.15,1822.63,1879.44,1972.72,2095.27,2239.79,2334.59,2429.93,2516.24,2603.74,2659.59,2729.81,2796.44,2859.08,2922.04
p25,1428.09,1591.94,1700.1,1789.57,1875.64,1950.56,2029.75,2109.65,2196.81,2276.29,2372.55,2488.33,2610.04,2745.95,2913.11
p26,1495.05,1673.49,1770.08,1846.86,1942.11,2029.84,2117.61,2199.44,2288.41,2383.79,2480.09,2575.41,2662.76,2763.31,2900.61
p27,1286.7,1454.7,1539,1609.07,1687.8,1765.66,1836.39,1912.03,2000.09,2093.3,2224.57,2341.93,2469.09,2621.13,2826.84
p28,1300.22,1482.93,1596.18,1694.11,1781.02,1860.7,1942.35,2026.38,2113.89,2211.63,2313.22,2433.82,2569.72,2716.24,2891.99
