sc_point_gid,class,capacity,capital_adder_per_mw,cf
36432,6,42.83,3430434.01,0.2931
37116,6,27.64,3383571.48,0.2899
37787,7,20.9,3448488.62,0.3774
38464,8,48.89,6116382.47,0.4281
38466,8,19.83,4602587.49,0.4141
39144,9,60.07,7053258.09,0.4469
39145,8,210.05,4043833.97,0.4428
39146,8,96.81,6659428.37,0.4395
39148,8,137.67,5098518.29,0.4236
39149,8,452.56,1720895.0,0.4189
39150,8,311.85,1289135.86,0.4122
39824,9,93.93,7554856.25,0.4587
39825,9,221.23,4110677.81,0.4567
39826,9,338.03,3105437.63,0.4537
39827,9,433.54,2886006.18,0.4501
39828,9,507.77,2680997.25,0.4462
39829,8,530.84,2574257.82,0.4414
39830,8,365.44,2568406.15,0.4367
39831,8,95.19,6165723.86,0.4284
39832,8,68.82,6087032.69,0.4228
39833,8,481.85,1999221.25,0.4166
39834,8,238.69,2141979.67,0.4104
40504,9,37.39,7734402.33,0.4664
40505,9,181.99,5378684.85,0.4644
40506,9,322.35,3300319.33,0.4621
40507,9,496.92,3014573.46,0.4601
40508,9,530.84,2854965.18,0.4578
40509,9,530.84,2822603.87,0.4552
40510,9,530.84,2784822.13,0.4517
40511,9,530.84,2707165.58,0.4479
40512,9,530.84,2632904.56,0.4439
40513,8,530.84,2611775.48,0.4389
40514,8,460.6,2450703.74,0.434
40515,8,127.07,5401015.82,0.4265
40516,8,249.03,2404426.08,0.4227
40517,8,478.48,1966607.06,0.4135
40518,8,169.87,4009449.94,0.4091
40535,6,25.86,2638876.89,0.3031
40536,1,21.06,2618381.2,0.2916
41185,9,22.94,7786429.57,0.4709
41186,9,166.89,5860244.7,0.4693
41187,9,361.42,3311876.64,0.4675
41188,9,514.74,3042108.85,0.4659
41189,9,530.84,2960615.83,0.4634
41190,9,503.17,3030472.59,0.461
41191,9,501.33,3002305.56,0.4582
41192,9,530.84,2876688.3,0.4559
41193,9,530.84,2839772.62,0.4529
41194,9,530.84,2776161.65,0.4494
41195,9,530.84,2719086.29,0.4459
41196,8,530.84,2673932.19,0.4415
41197,8,510.66,2712829.54,0.437
41198,8,463.74,2526853.01,0.4315
41199,8,410.41,2038544.15,0.4252
41200,8,288.39,2210348.29,0.4203
41201,8,344.61,1904300.64,0.411
41202,8,20.51,5607162.09,0.4083
41218,6,40.4,3012715.44,0.2862
41219,6,28.71,2675493.97,0.2983
41867,9,119.49,7252645.98,0.474
41868,9,324.03,3397855.69,0.4727
41869,9,493.39,3151763.75,0.471
41870,9,470.32,3173757.48,0.4687
41871,9,527.21,2998455.65,0.4665
41872,9,530.84,2965201.58,0.4639
41873,9,530.84,2938430.12,0.4615
41874,9,530.84,2933294.1,0.4591
41875,9,473.3,3075780.34,0.4566
41876,9,530.84,2876582.07,0.4538
41877,9,530.84,2844195.92,0.4509
41878,9,530.84,2818034.56,0.4475
41879,9,529.32,2763282.09,0.444
41880,8,470.9,2861441.02,0.4396
41881,8,489.82,2799799.41,0.4348
41882,8,509.46,2492155.37,0.4293
41883,8,484.7,2038648.99,0.4231
41884,8,343.31,2014242.12,0.4177
42548,9,87.03,7850255.81,0.4784
42549,9,266.98,3518103.97,0.4768
42550,9,470.48,3167136.56,0.4751
42551,9,467.47,3204100.5,0.4731
42552,9,525.56,3053653.41,0.4714
42553,9,530.84,3016629.34,0.4696
42554,9,530.78,3002015.53,0.4671
42555,9,466.62,3152488.18,0.4648
42556,9,530.84,2967516.47,0.4623
42557,9,530.84,2952000.52,0.4602
42558,9,530.84,2936122.59,0.4577
42559,9,497.11,3051695.11,0.4548
42560,9,507.22,2979131.59,0.4522
42561,9,530.84,2863926.17,0.4493
42562,9,491.35,2956931.32,0.4457
42563,8,471.03,2937072.48,0.4419
42564,8,529.35,2742903.02,0.4378
42565,8,530.84,2706757.66,0.433
42566,8,465.56,2450348.18,0.4271
42567,8,530.84,2052253.34,0.4213
42568,8,476.77,1824923.3,0.415
43229,9,15.45,7846143.68,0.4812
43230,9,189.9,5273908.44,0.4802
43231,9,419.97,3306776.16,0.4791
43232,9,528.06,3079491.2,0.4777
43233,9,530.84,3061345.07,0.4757
43234,9,530.84,2960612.51,0.4741
43235,9,530.81,3030526.59,0.4719
43236,9,471.23,3199834.54,0.4698
43237,9,530.84,3019669.32,0.4675
43238,9,530.84,3010394.25,0.4652
43239,9,516.13,3051709.53,0.4632
43240,9,481.08,3127792.04,0.4606
43241,9,530.84,2958256.9,0.4584
43242,9,530.84,2935666.97,0.4559
43243,9,530.84,2907396.84,0.4535
43244,9,466.2,3066319.49,0.451
43245,9,466.85,3030956.17,0.448
43246,9,507.35,2927027.32,0.444
43247,8,530.84,2815413.94,0.4401
43248,8,530.84,2776205.49,0.436
43249,8,481.33,2901611.44,0.4311
43250,8,521.28,2410847.59,0.4256
43251,8,530.84,2118621.24,0.4199
43252,8,396.64,2239101.15,0.4143
43912,9,24.98,7828605.15,0.4824
