region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_export_km,dist_reinforcement_km
p01003,6,54799,94.252,6475820.157,3021640.863,3454179.294,2.683,481.46,105.068
p01003,6,54800,204.25,4357046.821,3039857.51,1317189.311,8.379,496.41,107.759
p01003,6,55116,657.85,3460142.245,3019593.071,440549.174,6.976,407.833,112.107
p01003,6,55117,767.848,3346232.203,3041514.451,304717.751,6.976,423.673,112.107
p01003,6,55118,877.846,3150144.317,3021640.369,128503.948,2.683,439.476,105.068
p01003,6,55119,980.878,2991373.652,3029116.439,-37742.787,2.683,455.316,105.068
p01003,6,55120,1003.622,2896759.561,3037201.803,-140442.241,2.683,471.156,105.068
p01003,6,55121,1003.622,2820791.266,3055200.913,-234409.647,9.239,487.033,108.988
p01003,6,55436,145.93,6477051.038,2994823.311,3482227.727,2.683,388.675,105.068
p01003,6,55437,234.835,4570446.27,3036166.951,1534279.319,2.683,405.335,105.068
p01003,6,55438,418.414,4054384.796,3066262.988,988121.808,2.683,421.175,105.068
p01003,6,55439,840.812,3448324.22,3086747.303,361576.917,2.683,437.015,105.068
p01003,6,55440,1003.622,3274713.237,3116426.358,158286.878,8.379,456.657,107.759
p01003,6,55441,1003.622,3186045.764,3134249.675,51796.089,6.976,471.864,112.107
p01003,6,55442,1003.622,3034375.441,3105101.309,-70725.869,2.683,487.667,105.068
p01003,6,55443,1003.622,2899067.96,3094661.875,-195593.916,2.683,503.656,105.068
p01003,6,55761,406.426,4188563.249,3178173.59,1010389.658,2.683,459.416,105.068
p01003,6,55762,957.712,3443865.145,3187271.035,256594.111,2.683,480.497,105.068
p01003,6,55763,1003.622,3243052.395,3170749.081,72303.314,2.683,494.228,105.068
p01003,6,55764,961.438,3114422.278,3170933.66,-56511.382,8.379,510.105,107.759
p01003,6,55765,650.009,3550059.35,3153969.741,396089.609,6.976,526.094,112.107
p01003,6,56083,217.89,5166947.671,3266665.992,1900281.678,2.683,496.337,105.068
p01003,6,56084,958.878,3516651.772,3262254.603,254397.169,9.239,504.253,108.988
p01003,6,56085,951.037,3769053.599,3249221.744,519831.855,6.976,516.666,112.107
p01003,6,56086,233.474,4695917.836,3212196.827,1483721.009,2.683,539.908,105.068
p01003,6,56405,389.966,4377620.797,3325643.705,1051977.092,2.683,520.056,105.068
p01003,6,56406,1003.622,3943521.902,3297429.91,646091.992,2.683,526.617,105.068
p01003,6,56407,1003.622,3623121.856,3244303.416,378818.44,2.683,539.03,105.068
p01003,6,56408,1003.622,3365074.553,3217500.419,147574.134,9.239,554.907,108.988
p01003,6,56727,653.378,4436515.136,3391865.204,1044649.933,8.379,542.494,107.759
p01003,6,56728,1003.622,3904217.843,3352188.498,552029.345,6.976,549.055,112.107
p01003,6,56729,1003.622,3482513.871,3250739.074,231774.797,2.683,561.431,105.068
p01003,6,57048,48.827,8779086.534,3446713.471,5332373.063,2.683,558.508,105.068
p01003,6,57049,822.15,4288195.472,3421350.892,866844.58,2.683,564.858,105.068
p01003,6,57050,1003.622,3678597.089,3323812.552,354784.538,2.683,573.634,105.068
p01003,6,57051,1003.622,3346368.472,3278782.833,67585.639,8.379,590.406,107.759
p01003,6,57370,190.933,6657812.105,3507399.309,3150412.797,8.379,581.257,107.759
p01003,6,57371,977.67,4010074.271,3448467.979,561606.292,6.976,587.893,112.107
p01003,6,57372,1003.622,3438807.637,3322438.469,116369.168,6.976,596.072,112.107
p01003,6,57692,361.422,4990098.829,3513241.348,1476857.481,2.683,606.389,105.068
p01003,6,57693,1003.59,3591097.815,3364564.773,226533.042,2.683,609.66,105.068
p01003,6,57694,1003.622,3349175.988,3317707.268,31468.721,2.683,618.436,105.068
p01003,6,58014,719.474,4023010.798,3463726.837,559283.961,2.143,625.575,106.477
p01003,6,58015,1003.622,3507516.376,3454168.897,53347.478,367.218,450.582,110.502
p01003,6,58335,528.833,4540141.258,3531064.184,1009077.074,2.683,642.608,105.068
p01003,6,58336,1003.622,3535200.176,3442698.599,92501.577,350.277,463.365,110.198
p01003,6,58337,1003.622,3419383.784,3423513.032,-4129.248,365.914,455.38,107.759
p01003,6,58656,267.203,5247702.805,3653988.406,1593714.399,8.379,659.604,107.759
p01003,6,58657,1003.622,3701451.942,3502447.106,199004.836,2.181,663.794,106.387
p01003,6,58658,1003.622,3496055.984,3487683.337,8372.646,366.191,471.22,109.475
p01003,6,58659,1003.622,3457245.746,3476355.978,-19110.232,361.468,465.255,112.107
p01003,6,58978,905.71,4061179.083,3602016.088,459162.995,2.683,686.548,105.068
p01003,6,58979,1003.622,3510724.791,3483892.253,26832.538,350.277,489.018,110.198
p01003,6,58980,1003.622,3477124.82,3484965.352,-7840.532,365.914,480.499,107.759
p01003,6,59299,562.82,4625971.843,3694302.098,931669.745,8.379,701.349,107.759
p01003,6,59300,1003.622,3634346.978,3564186.785,70160.193,2.181,706.708,106.387
p01003,6,59301,1003.622,3546483.426,3546895.191,-411.765,366.064,496.339,109.475
p01003,6,59302,1003.622,3487054.346,3524001.376,-36947.03,367.488,489.778,110.772
p01003,6,59620,232.632,5731102.126,3768065.217,1963036.909,2.683,717.521,105.068
p01003,6,59621,1003.622,3816650.884,3618562.091,198088.793,2.683,719.016,105.068
p01003,6,59622,1003.622,3545245.584,3535613.291,9632.294,350.277,512.179,110.198
p01003,6,59623,1003.622,3508797.921,3539403.674,-30605.754,365.914,505.618,107.759
p01003,6,59941,57.316,9137299.294,3861175.832,5276123.462,2.683,732.992,105.068
p01003,6,59942,996.916,4159236.856,3731898.915,427337.941,2.683,734.856,105.068
p01003,6,59943,1003.622,3661727.345,3635749.39,25977.955,2.181,742.013,106.387
p01003,6,59944,1003.622,3563644.975,3597268.25,-33623.275,365.974,521.458,109.385
p01003,6,59945,1003.622,3504568.986,3576082.463,-71513.476,366.821,516.462,110.232
p01003,6,60263,772.578,4585929.372,3827341.345,758588.027,2.683,750.696,105.068
p01003,6,60264,1003.622,3783110.202,3681248.056,101862.146,2.683,757.853,105.068
p01003,6,60265,1003.622,3543626.487,3583027.102,-39400.615,350.277,538.352,110.198
p01003,6,60266,1003.622,3525013.057,3595601.458,-70588.401,365.914,534.139,107.759
p01003,6,60584,282.982,5573587.937,3924277.382,1649310.556,2.683,767.132,105.068
p01003,6,60585,1001.581,4088257.289,3786062.129,302195.161,2.683,773.693,105.068
p01003,6,60586,1003.622,3687683.129,3708587.012,-20903.883,2.181,778.465,106.387
p01003,6,60587,1003.622,3580085.626,3650080.157,-69994.531,365.936,548.142,109.295
p01003,6,60588,1003.622,3547375.227,3644806.409,-97431.182,366.731,548.291,110.142
p01003,6,60906,725.663,4569814.922,3885206.198,684608.725,2.683,789.533,105.068
