region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,dist_km,dist_to_coast,reinforcement_dist_km
p2,13,3405,17.369,9515457.736,101.334,34.751,436.053
p2,13,3877,32.314,6697920.4,101.883,88.098,336.953
p2,13,3878,89.64,3897298.15,101.883,78.303,336.953
p2,13,3879,196.135,3034418.037,101.334,69.073,436.053
p2,13,4355,293.818,2899568.999,101.883,86.693,336.953
p2,13,4356,397.119,2665151.751,101.883,77.183,336.953
p2,13,4357,276.535,2655774.27,101.883,68.13,336.953
p2,13,4834,340.05,2763801.497,101.883,76.508,336.953
p2,13,4835,335.829,2561004.897,101.883,65.205,336.953
p2,13,5312,382.83,2692831.732,101.883,74.986,336.953
p2,13,5313,397.119,2485220.151,101.883,64.41,336.953
p2,13,5314,77.119,3871881.345,101.883,57.299,336.953
p2,13,5790,397.119,2701250.634,101.883,73.789,336.953
p2,13,5791,397.119,2589079.251,101.883,63.201,336.953
p2,13,5792,354.766,2558799.935,101.883,53.017,336.953
p2,13,5793,59.18,4355998.913,101.883,45.137,336.953
p2,13,6267,397.119,2753055.71,103.109,83.766,336.953
p2,13,6268,397.119,2678109.644,103.109,73.159,336.953
p2,13,6269,397.119,2591976.427,103.109,62.553,336.953
p2,13,6270,397.119,2482773.344,103.109,51.949,336.953
p2,13,6271,356.306,2383828.047,103.109,41.744,336.953
p2,13,6272,33.825,5709576.557,103.109,34.95,336.953
p2,13,6746,397.119,2696995.477,103.109,73.476,336.953
p2,13,6747,397.119,2613279.76,103.109,62.929,336.953
p2,13,6748,397.119,2523187.644,103.109,52.402,336.953
p2,13,6749,387.85,2387641.89,103.109,41.997,336.953
p2,13,6750,16.428,9743006.349,103.109,35.621,336.953
p2,13,7224,397.119,2703342.777,103.109,75.128,336.953
p2,13,7225,397.119,2601845.827,103.109,64.753,336.953
p2,13,7226,397.119,2512677.727,103.109,54.456,336.953
p2,13,7227,330.809,2431616.761,103.109,45.135,336.953
p2,13,7703,397.119,2646609.46,103.109,67.848,336.953
p2,13,7704,397.119,2503604.127,103.109,57.972,336.953
p2,13,7705,372.05,2394833.306,103.109,48.403,336.953
p2,13,8181,397.119,2627207.618,92.788,68.961,336.953
p2,13,8182,397.119,2466541.168,92.788,58.521,336.953
p2,13,8183,287.943,2536206.243,92.788,49.515,336.953
p2,13,8659,397.119,2572647.42,78.019,67.124,336.953
p2,13,8661,179.736,2725439.73,78.019,49.07,336.953
p2,13,9137,397.119,2532834.915,64.843,65.481,336.953
p2,13,9138,397.119,2400215.115,64.843,54.953,336.953
p2,13,9139,71.444,3276270.46,64.843,48.764,336.953
p2,13,9615,397.119,2526922.215,64.843,65.053,336.953
p2,13,9616,359.073,2379688.115,64.843,54.919,336.953
p2,13,10094,346.895,2322759.117,52.624,56.251,336.953
p2,13,10095,140.15,2427829.107,52.624,46.415,336.953
p2,13,10096,24.898,4470969.386,52.624,38.4,336.953
p2,13,10571,397.119,2433274.344,41.068,65.378,336.953
p2,13,10572,397.119,2207972.594,41.068,55.197,336.953
p2,13,10573,397.119,2088599.411,41.068,44.876,336.953
p2,13,10574,283.522,2064868.1,41.068,35.972,336.953
p2,13,11048,397.119,2474543.803,28.007,72.285,370.683
p2,13,11049,397.119,2394105.786,28.007,62.03,370.683
p2,13,11050,397.119,2214809.153,28.007,51.897,370.683
p2,13,11051,397.119,2105777.72,28.007,41.866,370.683
p2,13,11052,184.67,2168849.711,27.244,34.631,370.683
p2,13,11526,397.119,2441950.703,28.007,70.525,370.683
p2,13,11527,397.119,2342872.57,28.007,59.97,370.683
p2,13,11528,397.119,2184873.47,28.007,49.444,370.683
p2,13,11529,397.119,2082231.953,28.007,38.968,370.683
p2,13,11530,60.663,2557057.075,28.007,33.093,370.683
p2,13,12003,397.119,2577279.87,28.007,80.927,370.683
p2,13,12004,397.119,2457570.003,28.007,70.333,370.683
p2,13,12005,397.119,2354359.753,28.007,59.747,370.683
p2,13,12006,397.119,2178737.103,28.007,49.174,370.683
p2,13,12007,397.119,2079367.703,28.007,38.626,370.683
p2,13,12008,44.777,2775115.435,28.007,32.843,370.683
p2,13,12482,397.119,2757283.747,19.262,69.97,441.986
p2,13,12483,397.119,2621132.18,19.262,59.471,441.986
p2,13,12484,397.119,2190407.42,28.007,48.952,370.683
p2,13,12485,397.119,2078839.736,28.007,38.449,370.683
p2,13,12486,39.472,2887080.215,28.007,32.841,370.683
p2,13,12960,397.119,2778840.647,19.262,67.934,441.986
p2,13,12961,397.119,2647215.847,19.262,57.63,441.986
p2,13,12962,397.119,2549721.697,19.262,47.294,441.986
p2,13,12963,375.757,2343931.821,19.262,37.226,441.986
p2,13,13439,397.119,2674789.58,19.262,54.826,441.986
p2,13,13440,397.119,2506603.814,19.262,44.646,441.986
p2,13,13441,286.802,2418985.292,19.262,35.926,441.986
p2,13,13916,397.119,2727312.88,19.262,61.467,441.986
p2,13,13917,397.119,2681746.58,19.262,51.619,441.986
