sc_point_gid,class,capacity,capital_adder_per_mw,cf
3105,10,19.95,0,0.9926
3106,10,2.64,0,0.9927
3485,10,162.14,0,0.9926
3486,10,288.12,0,0.9928
3487,9,228.73,0,0.9931
3488,9,164.98,0,0.9933
3489,9,56.24,0,0.9933
3490,9,7.83,0,0.9932
3865,10,21.5,0,0.9926
3866,10,295.75,0,0.9927
3867,9,326.66,0,0.9929
3868,9,196.9,0,0.9931
3869,9,98.65,0,0.9931
3870,9,288.5,0,0.993
3871,9,241.08,0,0.9929
3872,10,169.2,0,0.9928
3873,10,102.44,0,0.9927
3874,10,37.43,0,0.9927
3875,10,2.45,0,0.9926
4246,10,63.72,0,0.9926
4247,10,249.0,0,0.9927
4248,10,272.37,0,0.9928
4249,10,182.01,0,0.9928
4250,10,307.56,0,0.9928
4251,10,303.77,0,0.9927
4252,10,309.84,0,0.9927
4253,10,253.87,0,0.9927
4254,10,200.3,0,0.9926
4255,10,17.3,0,0.9926
4601,10,32.63,0,0.9926
4602,10,37.07,0,0.9926
4627,10,24.96,0,0.9926
4628,10,105.95,0,0.9926
4629,10,124.98,0,0.9926
4630,10,78.52,0,0.9926
4631,10,34.48,0,0.9926
4632,10,76.52,0,0.9926
4633,10,10.43,0,0.9926
4980,10,1.27,0,0.9926
4981,10,91.67,0,0.9927
4982,9,77.13,0,0.9929
5360,10,15.73,0,0.9926
5361,9,12.05,0,0.9929
5362,9,12.76,0,0.9928
5363,10,18.1,0,0.9928
5740,10,4.43,0,0.9926
5741,10,50.75,0,0.9928
5742,9,27.47,0,0.9929
5743,10,119.35,0,0.9927
6121,10,138.76,0,0.9928
6122,9,189.61,0,0.9929
6123,10,47.9,0,0.9926
6139,10,5.96,0,0.9926
6140,10,44.52,0,0.9926
6141,10,36.98,0,0.9926
6501,10,17.6,0,0.9928
6517,10,42.5,0,0.9926
6518,10,186.69,0,0.9926
6519,10,235.47,0,0.9926
6520,10,251.44,0,0.9926
6521,10,260.47,0,0.9927
6522,10,27.64,0,0.9926
6895,10,0.06,0,0.9926
6896,10,71.04,0,0.9926
6897,10,219.61,0,0.9927
6898,10,288.97,0,0.9927
6899,10,273.88,0,0.9927
6900,10,305.49,0,0.9928
6901,10,321.4,0,0.9928
6902,10,103.6,0,0.9926
6954,10,42.75,0,0.9927
6955,10,225.97,0,0.9927
6956,10,4.39,0,0.9926
7274,10,86.62,0,0.9926
7275,10,236.41,0,0.9926
7276,10,301.89,0,0.9927
7277,9,332.91,0,0.9929
7278,9,282.77,0,0.9929
7279,9,263.03,0,0.9928
7280,9,301.35,0,0.9929
7281,9,329.01,0,0.9928
7282,10,135.54,0,0.9926
