r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1771.03,2376.2,1146.85,2003.62,1775.44,1149.79,1949.97,1397.34,1601.38,1566.07,1828.93,1648.79,1119.26,1434.7,2259.57
p2,4287.38,5647.14,5255.42,4024.73,4888.92,4144.18,5055.32,4625.04,4779.28,4690.48,4723.18,3731.01,5689.06,4504.21,4863.55
p3,11315.14,9186.54,9057.55,9286.23,9039.45,9066.12,8449.69,9514.74,9191.06,8903.09,8824.76,9035.98,9043.77,9263.99,9056.54
p4,3251.97,2956.69,2841.61,2622.41,2663.14,2612.02,2807.16,2958.29,2648.25,2758.48,2435.89,2932.8,2473.03,3121.77,2917.96
p5,20087.56,19767.34,18736.06,18900.58,18678.99,19177.78,18544.86,19112.61,18899.06,18182.16,19434.24,18735.96,19110.37,18787.41,19100.51
p6,9967.31,8754.87,8003.23,8027.36,8682.92,8147.67,8119.36,8218.6,8052,8054.67,8466.7,8246.94,8045.13,8379,8241.44
p7,28959.78,28744.62,28177.08,28909.32,28301.87,28622.41,28362.6,28150.23,28839.66,28455.8,28652.9,28231.65,28450.95,28593.32,28584.22
p8,14689.07,14814.85,14390.82,14721.83,14584.28,14095.79,14849.13,14298.83,14466.12,14286.85,14608.06,14453.3,14655.59,14100.42,14814.58
p9,22021.27,20785.27,21031.36,20644.82,21095.19,21455.18,20725.34,20796.12,21353.13,20874.3,20823.8,20736.3,21378.21,21024.08,21027.08
p10,26030.4,26034.47,26365.04,25598.66,25712.45,25977.79,25807.88,25531.48,26072.17,25830.11,25775.76,25694.48,26165.83,25851.5,25844.51
p11,2289.61,2663.94,1901.51,1805.15,1917.63,2504.58,1879.03,2096.47,1954.72,1712.04,2111.34,2091.71,2025.91,2068,2273.44
p12,105591.41,104299.3,104778.66,104228.56,104634.64,104593.4,104249.74,104656.37,103604.59,104938.6,104725.89,104394.14,104506.72,104217.07,104856.85
p13,5015.54,4993.73,4184.12,4653.34,4461.32,4542.74,4800.02,4214.22,4833.6,4310.23,4777.8,4220.38,4612.85,4421.74,4909.61
p14,8453.61,8113.44,7422,7874.68,7870.97,8225.66,7692.44,7980.12,7897.28,7953.56,7742.53,7715.98,7998.18,7555.62,8340.41
