r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1270.87,1629.69,1770.43,2003.2,2042.05,2119.54,2221.97,2280.51,2358.3,2412.42,2468.65,2550.28,2628.02,2736.28,2839.24
p2,1549.21,1769.75,1923.44,1992.65,2120.9,2218.67,2267.11,2344.88,2400.15,2466.96,2525.08,2614.9,2712.35,2779.15,2894.22
p3,1692.92,1880.8,2027.81,2140.28,2225.68,2301.91,2369.33,2444.68,2509.2,2561.74,2631.17,2682.62,2748.74,2825.07,2926.72
p4,1626.51,1897.59,2007.58,2085.9,2197.4,2224.64,2287.97,2337.99,2413,2460.98,2529.74,2651.26,2749.31,2831.33,2915.01
p5,1572.51,1838.39,1950.89,2036,2123.75,2203.47,2284.65,2346.99,2429.71,2511.63,2574.31,2672.17,2763.37,2849.7,2962.7
p6,1343.06,1707.31,1810.68,1933.35,2032.8,2135.16,2198.6,2261.99,2335.34,2405.65,2497.2,2596.65,2689.94,2801.63,2903
p7,1529.82,1751.85,1889.29,1999.37,2086.51,2164.74,2221.65,2305.32,2395.13,2476.85,2547.53,2619.09,2724.02,2810.02,2910.7
p8,1459.01,1652.52,1765.24,1858.73,1947.83,2026.09,2116.69,2196.03,2275.23,2358.2,2444.15,2538.95,2646.81,2747.45,2872.11
p9,1415.31,1634.54,1754.72,1854.37,1942.76,2026.59,2111.82,2200.23,2289.43,2371.03,2449.12,2534.38,2639.41,2755.09,2884.74
p10,1367.27,1522.2,1614.98,1691.37,1761.73,1829.08,1897.8,1977.78,2063.29,2155.4,2254.68,2366.26,2493.99,2651.31,2859.27
p11,1357.04,1524.78,1619.59,1687.72,1774.99,1874.69,1938.58,2031.08,2116.35,2232.76,2323.92,2429.52,2549.71,2674.66,2855.68
p12,1426.46,1580.13,1675.8,1760.71,1843.13,1926.17,2008.88,2089.89,2176.63,2271.42,2366.99,2474.68,2593.38,2734.66,2905.14
p13,1407.55,1551.92,1657.85,1759.26,1810.98,1884.46,1947.26,2027.1,2104.62,2188.33,2280.17,2417.68,2526.42,2662.19,2854.66
p14,1589.44,1853.88,1972.34,2068.49,2144.74,2202.53,2281.28,2357.23,2426.21,2493.75,2552.24,2628.68,2705.18,2783.15,2896.79
p15,1560.2,1774.93,1888.36,1978.48,2057.96,2130.59,2205.34,2284.7,2363.79,2438.6,2518.69,2611.34,2700.45,2807.47,2935.08
p16,1400.82,1583.12,1681.59,1770.36,1872.94,1970.6,2048.29,2141.81,2229.88,2311.55,2395.72,2481.15,2593.03,2705.43,2859.23
p17,1630.04,1821.27,1916.69,2002.87,2091.65,2175.32,2251.71,2323.51,2399.36,2467.21,2545.1,2622.38,2701.78,2796.06,2894.63
p18,1538.4,1836.61,1956.22,2070.56,2162.72,2229.75,2281.64,2350.16,2407.83,2468.62,2540.41,2618.22,2698.18,2806.34,2910.45
p19,0,0,0,0,0,0,0,1907.31,0,0,0,0,0,0,0
p20,1863.7,1928.16,1947.72,2069.38,2122.87,2147.08,2220.64,2325.12,2435.79,2529.67,2599.42,2646.39,2737.72,2817.05,2912.27
p21,1587.23,1762.99,1861.18,1938.95,2021.01,2091.8,2172.21,2249.36,2318.1,2396.24,2483.01,2573.52,2671.45,2772.63,2907.48
p22,1640.94,1796.22,1874.12,1970.75,2047.37,2119.4,2159.67,2223.41,2313.37,2397.28,2479.44,2560.66,2647.33,2749,2896.59
p23,1667.53,1835.37,1860.95,1978.47,2050.35,2088.62,2198.38,2252.46,2310.49,2474.69,2629.55,2703.32,2773.06,2824.05,2896.45
p24,1588.09,1814.26,1873.18,1967.29,2082.61,2231.84,2329.45,2420.46,2509.23,2596.75,2654.87,2727.05,2794.48,2859.08,2922.04
p25,1410.59,1584.1,1694.65,1785.69,1872.76,1949.25,2028.78,2108.85,2196.39,2276.13,2372.24,2488.17,2609.89,2745.77,2913.11
p26,1437.56,1637.94,1749.51,1825.2,1920.85,2014.31,2100.99,2186.55,2276.44,2373.23,2472.88,2567.66,2657.8,2758.85,2898.33
