sc_point_gid,class,capacity,capital_adder_per_mw,cf
416,1,50.45,425164.55,0.1877
796,1,147.65,590515.75,0.1911
797,1,137.33,600123.24,0.185
798,1,178.72,460237.99,0.1809
799,1,164.3,152857.42,0.1739
1176,1,229.58,563920.73,0.1915
1177,1,169.95,1036147.35,0.1883
1178,1,178.65,371947.66,0.1792
1179,1,60.5,62157.23,0.1743
1180,1,16.24,28908.38,0.1715
1543,1,31.17,25263.12,0.1758
1557,1,45.19,2484377.56,0.1859
1558,1,75.02,137377.18,0.1769
1559,1,114.22,43582.18,0.1735
1923,1,309.83,5872.49,0.1724
1924,1,68.95,5425.39,0.1777
1937,1,53.98,194521.04,0.1816
1938,1,75.0,78058.69,0.1746
1939,1,40.31,-4532.36,0.1744
2303,1,482.19,6494.82,0.1713
2304,1,142.52,-4680.13,0.172
2305,1,238.12,19300.68,0.1827
2315,1,6.03,1480434.42,0.1933
2316,1,94.37,326301.46,0.1856
2317,1,257.97,284228.17,0.1778
2318,1,74.8,148161.18,0.1727
2319,1,38.3,-11219.19,0.172
2321,1,46.57,12560.11,0.1682
2334,1,15.22,-10105.03,0.215
2682,1,163.45,15547.47,0.1758
2683,1,661.31,24961.39,0.171
2684,1,284.41,31045.51,0.1714
2685,1,114.95,22859.72,0.18
2686,1,262.03,56383.95,0.1853
2695,1,20.7,667214.74,0.1883
2696,1,293.74,358005.38,0.1863
2697,1,91.62,1453016.14,0.1777
2698,1,70.47,277283.88,0.172
2699,1,224.83,90649.98,0.1716
2700,1,129.46,95708.73,0.1731
2701,1,21.69,218.57,0.1734
2712,1,16.27,1521.29,0.2198
2713,1,9.25,-11281.6,0.2175
2714,1,22.62,1621.35,0.2191
2715,1,30.38,59612.01,0.2173
2716,1,95.65,-4362.06,0.2207
2717,1,101.47,-10455.41,0.2135
3062,1,480.04,71066.66,0.1752
3063,1,879.19,92974.56,0.1713
3064,1,233.75,48438.26,0.1717
3065,1,126.44,53710.92,0.1769
3066,1,25.58,72864.89,0.184
3067,1,63.01,108653.12,0.1894
3068,1,176.14,231157.64,0.1917
3076,1,63.29,138051.73,0.1818
3077,1,133.54,313266.96,0.1762
3078,1,165.14,-1066.29,0.1696
3079,1,52.69,-14546.2,0.1679
3081,1,119.81,25590.45,0.1735
3082,1,69.4,21467.03,0.174
3092,1,12.8,-4063.12,0.2228
3093,1,13.85,-8371.02,0.2194
3094,1,347.28,3464.7,0.2205
3095,1,59.65,15628.93,0.2217
3096,1,150.07,-9349.15,0.2214
3097,1,112.04,-10950.38,0.2125
3098,1,18.83,-17491.12,0.2086
3099,1,18.36,-15601.34,0.2025
3100,1,43.26,-11073.37,0.2048
3102,1,9.29,-18806.66,0.198
3443,1,316.9,38165.45,0.1746
