r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1270.87,1571.97,1971.59,2193.01,2274.76,2417.81,2479.74,2520.42,2565.56,2695.92,2768,2818.25,2843.29,2845.53,2888.76
p2,1595.65,1963.67,2202.21,2343.28,2457.84,2546.55,2592.36,2630.09,2681.95,2723.83,2759.81,2792.53,2832.52,2890.46,2959.13
p3,2010.79,2346.72,2461.42,2555.59,2605.34,2651.46,2682.65,2724.86,2766.51,2799.9,2836.77,2865.47,2891.59,2922.76,2976.19
p4,1861.59,2249.21,2410.99,2496.59,2608.23,2659.22,2679.89,2696.99,2730.02,2777.22,2819.35,2837.03,2867.59,2893.09,2924.37
p5,1724.68,2209.45,2347.65,2444.01,2524.1,2582.91,2644.24,2699.12,2749.29,2788.33,2824.74,2860.4,2895.18,2924.92,2988.72
p6,1581.31,2109,2266.92,2366.54,2510.4,2596.14,2670.11,2707.38,2743.64,2786.7,2811.74,2842.14,2874.12,2896.08,2926.78
p7,1909.64,2256.32,2373.47,2456.57,2525.11,2575.94,2630.55,2681,2725.89,2774.26,2817.02,2848.18,2879.52,2914.38,2965.03
p8,1804.82,2168.02,2330,2425.72,2497.47,2562.08,2619.72,2668.3,2713.05,2750.55,2787.9,2828.6,2867.17,2905,2951.67
p9,1472.12,2025.3,2204.51,2322.43,2395.2,2474.38,2556.13,2637.31,2690.82,2739.3,2775.92,2814.53,2861.07,2891.92,2929.12
p10,1741.54,2094.32,2205.45,2314.22,2405.34,2485.32,2563.71,2623.65,2684.74,2737.96,2787.66,2834.32,2876.68,2914,2984.25
p11,1274.7,1705.04,2076.08,2274.61,2346.81,2408.3,2460.97,2500.02,2542.82,2585.39,2672.04,2741.29,2764.82,2796.05,2887.48
p12,1972.72,2209.78,2347.3,2443.11,2520.72,2584.29,2643.08,2697.84,2746.92,2791.28,2831.85,2866.98,2900.3,2932.88,3006.04
p13,1984.85,2255.47,2321.74,2401.76,2475.23,2519.57,2573.06,2623.77,2687.69,2736.21,2779.41,2849.8,2884.63,2911.79,2973.36
p14,1795.57,2121.13,2270.8,2398.7,2460.07,2524.55,2592.82,2654.77,2716.54,2744.85,2774.45,2811.89,2843.45,2896.86,2972.35
p15,1901.09,2186.88,2319.59,2415.37,2491.52,2562.32,2620.19,2680.09,2729.76,2775.9,2819.43,2856.28,2891.95,2928.52,2997
p16,1898.63,2158.47,2298.43,2409.24,2496.8,2557,2612.49,2668.98,2713.54,2750.23,2781.52,2819.04,2852.98,2885.44,2927.21
