r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3166.06,1215.53,977.56,2217.18,1649.51,1297.05,1506.38,1826.74,1658.19,1256.07,1498.6,1431.2,1708.78,1756.48,1779.11
p2,5850.6,6309.05,5744.47,5053.99,5734.06,5157.46,5856.94,5218.86,5389.38,6337.82,5161.98,5749.64,5505.1,5891.08,5578.01
p3,11586.34,9959.68,9397.5,10478.06,10119,9114.94,10455.42,10043.6,10003.72,10204.98,9613.58,10117.03,9711.86,10331.35,10162.55
p4,3517.29,3290.57,2840.05,3298.38,3037.89,3423,2759.77,3469.22,3365.28,3120.4,2919.39,3109.05,3325.68,3440.38,3179.41
p5,24473.24,21813.09,21874.43,23416.21,21759.37,22444.21,21284.74,22415.8,22236.17,21908.82,22363.95,22078,22149.26,22123.52,22201.06
p6,13243.13,12216.54,11814.22,11321.77,11458.1,12357.34,11411.45,12275.02,11083.47,12136.58,11630.96,11987.95,11994.62,11672.02,11953.64
p7,36632.35,36355.88,36234.6,36473.42,35437.5,36623.15,36185.89,35889.99,36112.16,35959.36,36517.88,36035.85,35688.45,36411.35,36172.64
p8,41621.25,40221.25,40016.04,39952.78,40460.83,40533.36,39530.75,40477.85,39380.37,40588.43,40093.83,40115.96,39521.51,40178.26,40638.03
p9,110913.99,112308.81,111670.87,111441.31,111762.5,111267.67,111475.81,111838.8,111737.8,111353.65,111468.89,111793.99,111669.53,111038.63,112098.82
p10,142761.97,143594,141791.54,143036.62,141811.85,143403.79,142169.4,143351.45,142840.56,142341.08,142574.27,142737.1,142631.09,142938.02,142687.46
p11,10877.31,11727.21,10582.08,11360.27,11007.75,10375,10873.39,10420.35,11192.7,10740.83,10269.58,11020.28,10637.56,11012.46,11012.85
p12,363006.7,363895.09,363096.1,363570.35,363779.96,363637.39,363400.35,363333.86,363589.61,362478.14,364127.43,363346.41,363142.11,363302.56,363575.32
p13,14639.11,13721.25,14707.92,14272.72,13866.88,13378.34,14457.23,14010.96,13923,14363.18,13775.38,13733.66,14257.21,13985.95,14285.29
p14,9888.78,8412.67,8932.23,9053.03,9170.85,8616.99,8716.27,9243.88,8476.9,8654.62,9353.87,8883.05,8597.28,8824.32,9185.66
p15,79793.78,78791.54,78605.13,78217.92,79041.68,78220.19,78671.28,78758.74,78871.86,78766.5,78201.56,79114.25,78576.79,78623.77,78709.26
p16,46276.34,45714.48,45494.88,45252.11,44944.75,44805.8,45009.42,45301.05,45153.88,43824.49,46036.53,45375.63,45108.99,45088.89,45309.57
p17,54595.07,53084.39,53249.5,53129.91,52706.9,53228.81,53261.24,53391.69,53135.43,52858.9,53243.31,53487.02,53097.7,53135.37,53408.46
p18,20202.34,19813.35,18713.14,20111.05,19560.83,19728.02,19439.76,19191.03,19556.98,19648.52,19472.98,19601.15,19512.55,19648.64,19730.54
p20,1828.48,1156,1858.02,1689.01,815.9,1749.92,1366.47,1816.18,810.59,1777.3,1577.76,1108.51,1644.12,1476.52,1641.97
p21,46911.37,46509.23,47212.4,46176.14,46489.64,46822.87,46598.46,46509.08,46603.68,46617.61,46145.81,46678.56,46922.08,46659.55,46548.56
p22,10246.55,10190.74,8992.28,9732.23,10625.04,9112.01,10099.95,9419.68,10065.44,9472.8,10100.31,9331.27,9907.4,9418.31,10154.88
p23,1458.08,1670.56,945.48,2154.07,1578.9,876.94,1627.54,1412.62,1515.31,1136.5,1352.16,1681.39,1484.04,1442.26,1578.95
p24,11192.16,9585.27,9717.79,10362.94,9793.54,10668.75,9073.58,10521.54,10421.05,10039.13,9722.15,9848.11,10334.54,9938.69,10363.71
