region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_cap_cost_per_mw,reinforcement_cost_per_mw,dist_km,reinforcement_dist_km,trans_adder_per_mw
p1,5,800,740.253,940992.579,152258.523,0,45.987,213.666,-636475.534
p1,5,801,370.404,1032865.622,244131.566,0,62.831,213.666,-544602.491
p1,5,802,81.193,1362257.011,499900.755,0,43.757,225.075,-362455.5
p1,5,1180,1407.155,988946.358,126590.103,0,11.075,225.075,-735766.152
p1,5,1181,1187.168,944525.171,222343.816,0,57.478,188.072,-499837.53800000006
p1,5,1182,476.999,1326706.322,464350.066,0,38.936,225.075,-398006.189
p1,5,1183,208.914,1333056.566,544322.509,0,85.126,213.666,-244411.54800000007
p1,5,1184,233.758,1316358.883,527624.826,0,96.36,213.666,-261109.23100000003
p1,5,1185,138.495,1501248.618,712514.561,0,107.88,213.666,-76219.49600000004
p1,5,1186,7.357,9740971.619,8878615.363,0,84.225,225.075,8016259.108
p1,5,1560,961.112,931082.845,208901.491,0,39.054,188.072,-513279.863
p1,5,1561,48.883,1823490.249,961133.993,0,31.955,225.075,98777.73800000001
p1,5,1562,315.461,1147447.276,425265.922,0,76.669,188.072,-296915.43200000003
p1,5,1565,25.621,2207209.269,1651441.459,0,33.299,216.806,1095673.649
p1,5,1566,192.78,1379003.784,590269.727,0,125.701,213.666,-198464.33000000007
p1,5,1567,241.742,1132153.269,576385.459,0,60.639,216.806,20617.648999999976
p1,5,1940,340.94,780272.656,227868.634,0,34.577,157.684,-324535.38800000004
p1,5,1941,159.772,1019725.63,314937.686,0,16.162,193.236,-389850.25800000003
p1,5,1942,318.815,877149.51,264201.482,0,34.744,178.2,-348746.54600000003
p1,5,2320,1135.884,649748.854,97344.832,0,17.277,157.684,-455059.19
p1,5,2321,1043.007,739919.94,35453.524,0,1.506,193.108,-669012.892
p1,5,2322,457.345,903708.933,290760.906,0,24.46,178.2,-322187.12200000003
p1,5,2323,86.569,832635.126,289466.593,0,19.247,211.039,-253701.94000000006
p1,5,2326,2.613,12250234.567,11694466.757,0,20.893,216.806,11138698.946999999
p1,5,2327,187.864,914530.386,358762.576,0,36.99,216.806,-197005.23400000005
p1,5,2700,1394.744,658354.942,45406.914,0,6.767,178.2,-567541.1140000001
p1,5,2701,1559.231,667745.124,54797.096,0,7.127,178.2,-558150.932
p1,5,2702,1106.537,754009.081,141061.053,0,19.756,178.2,-471886.97500000003
p1,5,2703,560.762,703081.625,159913.092,0,21.445,211.039,-383255.44100000005
p1,5,2705,11.716,2260024.016,1704256.206,0,8.451,216.806,1148488.396
p1,5,2706,1348.764,677127.33,121359.52,0,16.28,216.806,-434408.29000000004
p1,5,2707,1238.695,779860.137,224092.327,0,29.186,216.806,-331675.48300000007
p1,5,3081,1510.008,698057.211,85109.183,0,14.334,178.2,-527838.8450000001
p1,5,3082,1480.57,735958.986,123010.958,0,24.816,178.2,-489937.07000000007
p1,5,3083,1265.298,837486.965,224538.937,0,38.253,178.2,-388409.091
p1,5,3084,94.683,833874.659,290706.126,0,21.587,211.039,-252462.40700000006
p1,5,3085,2.257,21462234.408,20906466.598,0,32.541,216.806,20350698.788000003
p1,5,3086,1178.618,718808.504,163040.694,0,26.93,216.806,-392727.11600000004
p1,5,3461,1533.458,740837.18,127889.152,0,29.202,178.2,-485058.87600000005
p1,5,3462,1162.088,781593.141,168645.114,0,32.598,178.2,-444302.91400000005
p1,5,3463,191.654,1030995.47,418047.443,0,51.277,178.2,-194900.58500000002
p1,5,3464,236.53,1132422.615,519474.587,0,56.486,178.2,-93473.44100000005
p1,5,3466,629.407,817151.229,261383.419,0,37.861,216.806,-294384.39100000006
p1,5,3841,1540.681,787954.038,175006.011,0,41.598,178.2,-437942.01700000005
p1,5,3842,1065.856,862282.585,249334.557,0,47.379,178.2,-363613.471
p1,5,3843,18.615,4847681.692,4234733.665,0,69.576,178.2,3621785.637
p1,5,4220,407.539,716510.441,434922.008,0,68.295,89.469,153333.57499999995
p1,5,4221,1553.395,534821.931,253233.499,0,61.833,89.469,-28354.93400000001
p1,5,4222,1051.973,925363.871,312415.843,0,57.795,178.2,-300532.18500000006
p1,5,4223,297.649,1045127.492,432179.464,0,67.685,178.2,-180768.56400000007
p1,5,4601,1487.46,518802.406,276297.239,0,46.817,82.52,33792.072000000015
p1,5,4602,410.776,907912.386,665407.22,0,58.037,82.52,422902.05299999996
p1,5,4605,197.322,1078382.361,773077.658,0,93.25,124.115,467772.9550000001
p1,5,4606,695.673,851058.708,543282.065,0,85.835,141.376,235505.42199999996
p1,5,4607,36.028,2354015.235,1704050.728,0,56.354,248.237,1054086.221
p1,5,4981,523.961,617627.003,375121.836,0,41.805,82.52,132616.66900000002
p1,5,4982,445.418,964830.479,722325.312,0,66.703,82.52,479820.145
p1,5,4984,32.971,3198972.472,2629094.927,0,65.989,235.782,2059217.3820000002
p1,5,4985,293.779,889956.885,638248.07,0,89.451,117.974,386539.25499999995
p1,5,4986,781.191,652650.599,344873.956,0,70.389,141.376,37097.313000000024
p1,5,4987,617.091,668209.464,134877.05,0,4.954,187.133,-398455.364
p1,5,5360,274.02,522686.951,280181.784,0,37.673,82.52,37676.617
p1,5,5361,69.679,969006.727,685827.089,0,30.825,88.345,402647.45100000006
p1,5,5362,72.739,1321949.21,752071.665,0,35.985,235.782,182194.12
p1,5,5363,106.388,1411477.008,841599.462,0,31.797,235.782,271721.917
p1,5,5364,640.117,733054.265,481345.45,0,77.573,117.974,229636.635
p1,5,5365,1344.634,716741.331,408964.688,0,70.371,141.376,101188.04500000004
p1,5,5366,1501.676,615891.932,308115.289,0,59.169,141.376,338.6460000000079
p1,5,5367,1299.028,537773.464,229996.821,0,44.091,141.376,-77779.82199999999
p1,5,5368,1472.442,486524.815,178748.172,0,34.803,141.376,-129028.47099999999
p1,5,5741,290.56,673711.992,431206.825,0,61.214,82.52,188701.65800000002
p1,5,5742,156.933,933634.081,691128.914,0,69.712,82.52,448623.747
p1,5,5743,1293.065,820634.212,250756.666,0,16.799,235.782,-319120.8790000001
p1,5,5744,1338.935,625886.536,374177.722,0,75.558,117.974,122468.907
p1,5,5745,1512.448,569153.16,317444.345,0,59.545,117.974,65735.52999999997
p1,5,5746,1486.06,561899.614,254122.971,0,52.37,141.376,-53653.67199999999
p1,5,5747,1469.242,519192.203,211415.56,0,41.317,141.376,-96361.08299999998
