r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3166.06,1215.53,977.56,2217.18,1649.5,2047.89,1461.29,1475.22,1303.95,2126.19,1647.21,1223.28,1708.79,1756.47,1779.11
p2,7202.71,5411.19,7432.53,6005.04,6940.34,6154.54,5380.94,7077.64,6058.48,6984.14,5752.58,6983.18,6290.64,5903.94,6916.04
p3,12010.7,9795.48,10771.87,10163.61,10903.34,10378.14,9809.85,11037.5,9902.1,10705.26,10305.58,10890.64,10488.39,10338.04,10537.07
p4,3233.54,4205.77,3524.16,3045.36,3799.41,3670.33,3445.93,3241.99,3662.71,3584.43,4037.83,3058.54,3940.63,2544.08,4475.68
p5,26321.52,24410,23513.06,24270.51,23675.25,23667,24216.24,23886.22,23987.88,23653.26,23765.77,23972.67,23602.3,24284.74,23991.88
p6,14033.09,12843.89,12058.76,12276.3,12854.09,12888.23,11916.24,13413.78,11903.72,12972.05,12055.68,13098.4,12736.94,12464.57,12683.42
p7,39174.07,36055.75,39131.09,37530.02,38739.63,37652.39,37732.08,37944.17,37727.3,38106.61,37771.43,37262.82,38209.53,38070.92,38032.47
p8,43814.14,41967.24,42295.26,42297.37,42312.01,43175.36,42450.49,41914.85,42826.58,42170.9,42686.79,42100.6,42370.99,42679.86,42498.78
p9,115473.86,115500.04,115035.23,115296.69,114527.44,115163.41,115663.42,114945.56,115230.68,114799.57,115319.11,115134.29,115059.82,115111.93,115382.4
p10,150253.69,146015.64,148721.68,146752.24,146526.78,148017.27,147108.41,147104.72,146595.72,147419.66,147508.14,147169.6,147441.74,146912.02,147579.6
p11,12451.53,11559.53,11602.45,11704.43,11297.84,11409.11,11819.97,11174.68,11846.93,11177.79,11104.15,11963.98,11698.56,11557.5,11493.99
p12,376971.24,375173.12,376288.47,376370.74,375713.34,376434.54,374240.51,377296.52,375883.71,375844.51,376029.45,376088.49,376155.24,375822.17,376167.14
