r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,3575.57,3034.54,2864.72,1976.48,2819.58,1903.61,1655.61,3608.05,2284.74,2630.58,1664.96,3518.06,1651.44,3370.54,2555.4
p2,9758.19,7951.95,6826.47,7903.29,8317.86,8180.01,7219.29,7251.87,9019.69,7906.93,7383.26,8181.34,7902.63,7993.01,8164.3
p3,11618.26,13372.21,12764.92,12570.93,12041.98,12696,12173.98,12605.92,12780.85,12338.98,12823.07,12192.71,11898.65,12479.68,13410.92
p4,3163.26,2397.7,2973.44,2290.81,2563.67,2662.4,3080.46,2697.03,1984.69,3312.37,2569.92,2651.47,2210.65,3172.91,2791.12
p5,37809.88,28714.16,29341.97,28757.57,30387.8,29275.69,28942.33,29294.13,29776.01,28696.17,29726.4,29056.21,29535.75,28874.16,29895.81
p6,14209.3,13252.09,12592.19,12193.89,11880.51,12613.52,12922.1,12493.07,12210.75,12066.92,12566.91,11865.01,13376.02,11962.01,13020.38
p7,48144.04,41194.62,41132.33,40759.54,40407.99,40680.47,39307.5,42552.35,40343.38,40867.99,41520.61,39954.08,40595.26,40925.9,41602.99
p8,50412.07,48689.63,48461.23,48329.11,49095.26,46740.58,49894.9,48706.92,47844.36,48253.32,49377.08,48258.92,47786.04,49039.15,48663.71
p9,135307.45,133627.56,132466.61,133540.35,132629.46,133181.46,132601.27,131297.65,133278.32,133224.96,133143.84,133107.63,132568.86,132526.6,133253.68
p10,197950.94,196741.8,196431.91,194569.71,197279.15,194321.33,196186.44,195498,196569.84,196472.93,195773.71,195684.35,195667.89,195958.87,196012.47
p11,14974.15,11165.28,12685.67,12614.4,12550.68,11628.92,12545.69,11904.36,12940.71,11364,12994.77,12103.01,12546.81,11716.79,13046.25
p12,483313.75,443610.33,444445.05,442887.59,444954.9,445020.91,443902.59,443478.21,445399.59,444422.54,443370.14,444244.87,444812.22,443963.78,444918.85
p13,17631.91,18131.07,16940.96,15735.11,19318.78,16515.05,18199.73,16457.77,17278.98,17586.1,17393.97,16848.06,17456.88,16946.15,17552.42
p14,14342.22,14086.88,14858.37,14050.68,14003.14,13568.18,15507.7,13417.32,14985.82,14038.55,14226.52,14551.56,14250.31,14049.52,14443.71
p15,114509.6,111246.28,113420.46,113126.48,113259.67,112357.16,112963.63,112144.75,112261.65,113820.06,112257.66,112868.75,111581.61,113638.68,113040.94
p16,54990.55,59303.04,55719.23,56074.53,56863.9,56518.69,56321.04,55733.09,56646.84,55988.79,56396,55707.68,56031.1,56719.61,56346.27
p17,76948.45,73636.74,74376.01,72953.2,74655.6,73023.6,74460.07,73073.36,73493.54,74635.64,73051.19,74237.44,73610.74,74202.34,74070.65
p18,23552.92,24462.24,23995.72,23326.69,23631.57,23340.83,23476.28,22628.21,24767.65,22487.07,24041.1,23890.59,23182.93,22948.27,24557.28
p20,3055.42,1870.94,2414.32,1350.29,1826.43,2682.82,1097.75,2588.19,2365.68,2176.87,1469.87,2489.01,1798.45,1923.36,2270.57
p21,67154.99,65261.89,65673.03,65466.1,65970.89,65380.85,65931.15,65842.62,66183.27,66020,65639.19,65261.34,66202.56,65766.37,65882.89
p22,16009.51,15713.55,15639.14,15416.62,15382.32,15256.64,15310.35,15218.99,14476.04,15820.03,14771.89,15604.33,15437.83,14495.09,16167.54
