r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1378.79,1516.59,1725.82,1769.25,1808.87,1885.42,1955.75,2061.34,2139.83,2186.28,2214.46,2272.62,2354.01,2420.88,2512.72
p2,1441.4,1577.66,1621.8,1647.4,1686.01,1773.74,1876.91,1922.38,1983.18,2028.1,2098.73,2168.54,2221.6,2310.27,2433.59
p3,1496.54,1696.29,1790.6,1881.27,1963.12,2017.74,2058.17,2122.37,2172.88,2222.7,2272.11,2337.55,2400.23,2452.85,2514.9
p4,1679,1750.28,1810.66,1886.11,1937.81,1999.87,2056.18,2121.06,2178.14,2206.04,2243.27,2276.7,2349.37,2383.51,2466.21
p5,1416.96,1609.72,1705.63,1797.57,1857.5,1912.75,1979.24,2052.23,2106.41,2157.94,2223.13,2309.68,2384.76,2446.58,2527.73
p6,1321.81,1477.81,1578.32,1707.3,1793.32,1865.55,1936.86,2004.14,2059.4,2116.24,2187.64,2309.19,2368.7,2425.05,2487.24
p7,1321.29,1499.11,1600.39,1674.87,1757.12,1836.8,1896.71,1970.57,2044.74,2119.99,2194.06,2279.71,2350.53,2414.46,2518.71
p8,1100.87,1323.59,1476.44,1568.85,1638.35,1707.46,1779.71,1856.64,1936.38,2004.44,2071.82,2153.87,2256.95,2361.85,2491.38
p9,1258.16,1427.58,1536.88,1620.01,1691.14,1767.48,1832.59,1902.78,1974.92,2045.25,2121.51,2196.73,2281.45,2385.37,2496.94
p10,1073.67,1218.45,1315.25,1395.22,1469.31,1539.04,1601.85,1663.42,1728.2,1805.3,1896.36,1999.25,2130.25,2285.74,2466.15
p11,1196.37,1313.54,1445.01,1529.28,1587.39,1642.42,1718.02,1793.77,1870.32,1962.8,2038.31,2113.43,2244.02,2348.05,2479.01
p12,1154.72,1293.29,1384.98,1474.76,1550.99,1624.57,1698.15,1778.5,1860.63,1941.5,2038.29,2138.13,2247.59,2360.6,2500.6
p13,1208.16,1366.49,1456.3,1520.01,1582.62,1644.08,1712.98,1774.94,1848.8,1920.08,1999.91,2112.53,2241.46,2340.39,2477.54
p14,1477.74,1638.19,1692.1,1801.25,1851.3,1899.18,1958.85,2008.63,2059.01,2130.26,2195.98,2248.72,2306.43,2403.35,2517.82
p15,1352.47,1497.98,1589.2,1675.37,1748.65,1809.34,1862.37,1918.19,1974.02,2028.77,2100.85,2180.69,2276.75,2386.23,2506.26
p16,1096.73,1268.54,1380.96,1475.64,1573.56,1660.88,1736.87,1812.43,1888.93,1980.17,2063.18,2160.77,2269.8,2377.19,2493.84
p17,1380.34,1535.53,1644.04,1719.95,1781.55,1840.85,1902.15,1957.88,2018.7,2076.45,2137.64,2220.66,2294.39,2378.85,2495.8
p18,1359.79,1551.79,1655.15,1713.71,1786.18,1853.95,1933.33,1998.5,2059.05,2117.67,2199.12,2283.31,2358.31,2421.6,2504.32
p20,1530.82,1671.5,1768.2,1813.31,1861.92,1873.43,1913.56,1935.35,2019.9,2110.05,2166.25,2216.56,2315.41,2434.49,2502.95
