r,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p1,1936.6,2250.08,2263.98,2278.17,2431.77,2545.45,2600.22,2674.13,2740.2,2753.28,2825.85,2866.64,3017.55,3119.17,3279.12
p2,1766.57,1907.79,2095.32,2186.09,2290.68,2428.48,2511.74,2597.61,2674.63,2721.64,2794.29,2896.57,3038.12,3154.52,3304.84
p3,1942.42,2082.94,2231.08,2374.47,2486.41,2599.68,2678.17,2761.7,2830.56,2894.52,2965.83,3042.23,3116.43,3207.19,3333.67
p4,1915.99,2001.32,2143.54,2255.23,2358.62,2469.99,2541.93,2626.34,2707.16,2741.58,2815.43,2946.08,3065.59,3141.76,3270.37
p5,1738.98,2015.87,2141.25,2238.49,2344.83,2435.79,2533.5,2622.38,2712.41,2815.58,2899.46,3012.2,3122.71,3232.91,3378.35
p6,1655.4,1876.55,1995.27,2132.03,2271.94,2402.73,2465.55,2550.27,2612.17,2701.5,2789.65,2916.48,3065.62,3186.66,3301.13
p7,1706.18,1907.53,2040.61,2195.37,2299.15,2383.13,2468.27,2574.2,2683.73,2790.27,2891.65,2982.97,3090.24,3195.43,3312.62
p8,1578.39,1795.9,1934.52,2035.01,2140.43,2231.69,2321.51,2436.27,2527.5,2631.54,2739.04,2864.71,2998.18,3136.84,3285.79
p9,1591.04,1796.53,1932.31,2059.16,2162.09,2266.1,2367.07,2473.61,2575.47,2671.71,2779.13,2882.91,3003.88,3145.61,3293.82
p10,1459.56,1626.66,1728.09,1817.52,1915.28,1997.95,2085.51,2178.62,2289.34,2401.58,2526.25,2660.9,2814.95,3011.38,3258.45
p11,1519.53,1661.88,1755.29,1863.17,1956.11,2049.55,2140.71,2230.3,2339.9,2474.69,2583.76,2724.29,2869.13,3017.26,3204.49
p12,1502.16,1673.48,1785,1880.46,1984.34,2088.22,2195.7,2298.81,2407.58,2533.11,2653.29,2784.31,2933.22,3103.71,3307.14
p13,1503.73,1638.07,1724.42,1849.14,1963.16,2053.31,2119.18,2222.07,2323.83,2421.35,2511.5,2673.51,2827.88,3025.22,3245.81
p14,1844.72,2054.46,2204.73,2312.06,2416.54,2505.62,2578.21,2664.29,2756.89,2838.04,2920.99,3012.27,3100.76,3203.95,3340.01
