r,i,rscbin,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,hydUD,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18
p1,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
p1,hydUND,bin2,0,0,4.25,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
p1,hydUND,bin3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92
p1,hydUND,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.4,3,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
p1,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.202,1.204,1.459,1.714,1.92135,2.1287,2.2212,2.3137,2.6937,3.0737,3.0737,3.0737,3.0737,3.0737,3.0737,3.0737,3.0737,3.0737
p2,hydUD,bin2,0,0,0,0,32.4,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
p2,hydUD,bin3,0,0,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
p2,hydUD,bin4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,8.1,8.1,8.1,8.1,8.1,8.1,8.1
p2,hydUD,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,7,7,7,7,9.16,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32
p2,hydUND,bin1,0,0,0,0,32.4,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8
p2,hydUND,bin5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.2064,0.3728,0.6,0.8272,1.5772,2.3272,2.3272,2.3272,3.0172,3.7072,3.7072,3.7072,3.7352,3.7632,3.7632,3.7632,3.7632,3.7632
