year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,3.983536085,3.097468274,2.594480875,1.644650863,3.878203984,2.991624303,2.021429097,2.046712438,2.110032729
2011,4.105263399,3.103755949,2.833032795,1.790344555,4.027041595,3.015010547,2.136441345,2.1150721,2.19837127
2012,4.819197374,3.117752393,2.750949865,1.871238656,3.964678851,2.874993577,2.30893815,2.249120939,2.174815081
2013,4.44121312,2.811212891,2.648866681,1.917643224,3.705998824,2.745020337,2.3607005,2.082479348,2.28251293
2014,3.119057071,2.987123291,2.583147772,2.089447694,3.279787963,2.813074864,2.48147702,2.112223869,2.412079571
2015,3.064017386,2.891100563,2.428134996,2.014876284,3.007729481,2.605551922,2.391794889,1.996764932,2.293068367
2016,2.826795078,2.673821222,2.253985224,1.838219189,2.893096021,2.403477774,2.305786001,1.966398762,2.09093246
2017,2.749073704,2.276208681,2.145742127,1.701394512,2.771497385,2.277718977,2.067463224,1.887435039,2.084598807
2018,2.946683556,2.346180951,2.144383272,1.76400692,2.715021974,2.280002966,2.137230482,1.896474154,2.179045919
2019,2.752798884,2.721421824,1.999531864,1.840656972,2.49185772,1.972652132,1.932998936,1.912208408,2.044369536
2020,2.667587,2.667587,1.990255,1.613509,2.355586,1.918768,1.880114,2.075212,2.116782
2021,2.402746,2.320431,1.955443,1.634288,2.402746,1.915373,1.847244,2.031424,2.120938
2022,2.475838,2.32392,1.98911,1.635888,2.475838,1.947359,1.903596,2.0073,2.137889
2023,2.402121,2.352602,1.881261,1.596258,2.402121,1.901435,1.799281,1.976937,2.105288
2024,2.397922,2.322477,1.861352,1.596851,2.397922,1.90174,1.769756,1.956483,2.098269
2025,2.437232,2.267264,1.857452,1.595178,2.437232,1.887468,1.755681,1.69944,2.078732
2026,2.430108,2.259256,1.853858,1.577943,2.430108,1.872398,1.745407,1.671715,2.064809
2027,2.404746,2.251636,1.869752,1.548873,2.404746,1.852322,1.724665,1.671543,2.042776
2028,2.388213,2.235167,1.862732,1.546571,2.388213,1.838292,1.716542,1.539947,2.02489
2029,2.385356,2.230887,1.836971,1.547849,2.385356,1.830578,1.715906,1.582577,2.011184
2030,2.370241,2.220988,1.820565,1.547114,2.370241,1.825208,1.70784,1.530246,1.999257
2031,2.370851,2.211222,1.811222,1.546027,2.370851,1.823515,1.704582,1.567727,1.98834
2032,2.370998,2.252376,1.802527,1.548822,2.370998,1.823183,1.704016,1.40493,1.978028
2033,2.370211,2.251025,1.794223,1.55552,2.370211,1.801241,1.705855,1.299173,1.96812
2034,2.372068,2.24332,1.783512,1.561183,2.372068,1.802941,1.707675,1.300925,1.958673
2035,2.356347,2.188294,1.776615,1.551897,2.356347,1.806157,1.707425,1.302,1.950207
2036,2.352854,2.114736,1.773955,1.556205,2.352854,1.807871,1.707534,1.303038,1.940928
2037,2.344516,2.111908,1.77256,1.562306,2.344516,1.81078,1.701644,1.305037,1.933243
2038,2.334148,2.110738,1.784295,1.568648,2.334148,1.811403,1.693629,1.367553,1.925252
2039,2.32738,1.974305,1.781244,1.571871,2.32738,1.810457,1.688818,1.368568,1.915343
2040,2.327312,1.962651,1.779715,1.577495,2.327312,1.808897,1.68522,1.371016,1.907921
2041,2.322749,1.974255,1.776647,1.583274,2.322749,1.806648,1.67881,1.373265,1.899563
2042,2.322982,1.971577,1.773212,1.588225,2.322982,1.803382,1.676026,1.366029,1.890885
2043,2.327231,1.957318,1.770483,1.593707,2.327231,1.799987,1.673671,1.367326,1.883783
2044,2.299997,1.874858,1.766539,1.598728,2.299997,1.790306,1.669957,1.368471,1.874194
2045,2.294853,1.873788,1.76204,1.599673,2.294853,1.786422,1.646675,1.365319,1.865218
2046,2.294769,1.861105,1.760833,1.602607,2.294769,1.784725,1.63859,1.365402,1.857252
2047,2.292997,1.865126,1.757155,1.604893,2.292997,1.781648,1.628303,1.364447,1.847545
2048,2.294039,1.861376,1.753785,1.604257,2.294039,1.778391,1.622905,1.364926,1.837242
2049,2.294548,1.854125,1.752596,1.608259,2.294548,1.776754,1.620243,1.367178,1.827894
2050,2.301844,1.865687,1.750236,1.614227,2.301844,1.776238,1.618833,1.368536,1.820047
