year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.35827,1.354117,2.64274,4.756302,0.85818,2.707125,2.864664,1.549812,5.379282
2011,3.525401,1.416257,2.719853,4.79351,0.915348,2.54856,2.934925,1.555518,5.529355
2012,3.547677,1.540446,2.770951,4.903691,0.879083,2.803605,3.280124,1.491081,5.730931
2013,3.818099,1.455897,2.891799,4.972179,0.859505,2.896845,3.261053,1.645916,5.577358
2014,4.045156,1.544663,3.120449,5.000559,0.857731,2.784841,3.326574,1.68047,5.646739
2015,3.886718,1.696394,3.099138,5.255469,0.905922,2.76397,3.663951,1.574979,5.951674
2016,3.920965,1.74669,3.156144,1.581652,0.856641,2.775395,3.73514,1.638642,5.803449
2017,3.997107,1.767733,3.11356,1.576464,0.879541,2.827698,3.888779,1.7296,5.922212
2018,4.395236,1.912479,3.316355,1.676031,0.930977,2.952353,4.067651,1.846236,6.697608
2019,4.664316,1.960484,3.505027,1.984559,0.885024,2.949458,4.323184,1.971775,7.143601
2020,4.57387,1.967167,3.610102,1.889096,0.84774,2.848881,4.212272,1.904959,7.050152
2021,4.414782,1.847816,3.666977,1.920606,0.878255,2.948856,3.968929,1.893023,6.868584
2022,4.921969,1.860084,4.053087,1.924723,0.923179,2.852867,4.173984,1.998839,7.178755
2023,4.688968,1.769236,3.762858,1.713262,0.898627,2.867689,4.101022,1.882996,6.831382
2024,4.96334,2.097466,3.903117,2.15953,0.962173,2.98253,4.375371,2.048189,7.421416
2025,5.087374,2.031063,3.749795,2.058202,0.930546,2.728772,4.343349,2.005418,7.37077
2026,4.620926,1.784934,3.47533,1.781902,0.781939,2.557914,3.891988,1.842845,5.958117
2027,4.707423,1.835414,3.444869,1.754856,0.742323,2.526092,3.828328,1.880801,6.003426
2028,4.696098,1.783213,3.364414,1.71399,0.725009,2.556307,3.59118,1.881701,5.845942
2029,4.647316,1.719558,3.386134,1.696235,0.720008,2.585802,3.361863,1.897199,5.69916
2030,4.641392,1.629336,3.335698,1.677637,0.699351,2.614153,3.190711,2.038857,5.66855
2031,4.456717,1.47077,3.142804,1.608598,0.679255,2.628891,2.88527,1.944253,5.419774
2032,4.594091,1.521027,3.056186,1.763594,0.694852,2.637849,2.987373,2.025953,5.548148
2033,4.325788,1.469214,2.965106,1.746244,0.682768,2.634555,2.804255,1.940535,5.332105
2034,4.196589,1.399418,2.821101,1.690408,0.676451,2.577221,2.729338,1.874597,5.265339
2035,4.056654,1.387416,2.774165,1.656034,0.679203,2.517057,2.722006,1.840279,5.066918
2036,3.955245,1.295392,2.661531,1.584508,0.675569,2.446003,2.59898,1.820973,4.959162
2037,3.762507,1.225727,2.454186,1.567165,0.64952,2.364758,2.459701,1.83173,4.837954
2038,3.6302,1.169368,2.387821,1.473797,0.645287,2.291434,2.406118,1.815282,4.794869
2039,3.649924,1.127985,2.41441,1.487857,0.653401,2.252511,2.401801,1.826088,4.765383
2040,3.580663,1.060108,2.39373,1.457779,0.655786,2.281605,2.404084,1.829875,4.802187
2041,3.536101,1.008874,2.350435,1.39341,0.656713,2.23877,2.420143,1.785332,4.750147
2042,3.480375,1.021078,2.321419,1.361234,0.654128,2.244678,2.43365,1.763587,4.73921
2043,3.467469,1.043947,2.33203,1.362778,0.657176,2.247817,2.402768,1.775419,4.753344
2044,3.439527,1.045289,2.33087,1.392945,0.621498,2.278843,2.371214,1.802037,4.766046
2045,3.448897,1.024428,2.309155,1.404418,0.605406,2.285449,2.30251,1.802026,4.775317
2046,3.494394,1.023384,2.310539,1.375992,0.609633,2.290656,2.268174,1.805467,4.763526
2047,3.507108,1.011038,2.304937,1.401801,0.609062,2.294402,2.242798,1.829551,4.806602
2048,3.543561,1.015026,2.319615,1.456912,0.608704,2.322879,2.267759,1.830128,4.840192
2049,3.585941,1.036841,2.317298,1.501403,0.608873,2.333663,2.260479,1.837048,4.846149
2050,3.602013,1.030486,2.297522,1.540658,0.608951,2.361397,2.244589,1.850036,4.88494
