year,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC
2010,3.35827,1.354117,2.64274,4.756302,0.85818,2.707125,2.864664,1.549812,5.379282
2011,3.525401,1.416257,2.719853,4.79351,0.915348,2.54856,2.934925,1.555518,5.529355
2012,3.547677,1.540446,2.770951,4.903691,0.879083,2.803605,3.280124,1.491081,5.730931
2013,3.818099,1.455897,2.891799,4.972179,0.859505,2.896845,3.261053,1.645916,5.577358
2014,4.045156,1.544663,3.120449,5.000559,0.857731,2.784841,3.326574,1.68047,5.646739
2015,3.886718,1.696394,3.099138,5.255469,0.905922,2.76397,3.663951,1.574979,5.951674
2016,3.920965,1.74669,3.156144,1.581652,0.856641,2.775395,3.73514,1.638642,5.803449
2017,3.997107,1.767733,3.11356,1.576464,0.879541,2.827698,3.888779,1.7296,5.922212
2018,4.395236,1.912479,3.316355,1.676031,0.930977,2.952353,4.067651,1.846236,6.697608
2019,4.665439,1.962087,3.507681,1.985243,0.884965,2.949311,4.325762,1.972424,7.134515
2020,4.5785,1.967894,3.615312,1.900725,0.849804,2.847719,4.221534,1.915619,7.066121
2021,4.418462,1.844552,3.665614,1.921409,0.878472,2.947445,3.971677,1.893204,6.865973
2022,4.940085,1.892741,4.044715,1.914708,0.923152,2.857152,4.159855,1.998683,7.156394
2023,4.648726,1.861391,3.709178,1.734919,0.914369,2.86945,4.158048,1.877739,6.910273
2024,4.647129,1.801217,3.649053,1.688023,0.838359,2.730928,3.964461,1.782738,6.415869
2025,4.65672,1.719383,3.588987,1.715143,0.786282,2.806267,3.849951,1.787812,6.318212
2026,4.602509,1.689707,3.53989,1.666044,0.759484,2.884556,3.647847,1.832941,6.477628
2027,4.582214,1.637302,3.47133,1.58909,0.747313,2.877327,3.388938,1.837376,6.477735
2028,4.548455,1.592455,3.483272,1.582061,0.741364,2.926167,3.227298,1.814092,6.505511
2029,4.538335,1.572028,3.481173,1.550278,0.738459,2.915913,3.234772,1.787918,6.42459
2030,4.551402,1.542259,3.448817,1.491031,0.716561,2.880794,3.210904,1.802583,6.282935
2031,4.532803,1.526923,3.381878,1.474256,0.720571,2.841016,3.127909,1.782375,6.193381
2032,4.524544,1.51127,3.348099,1.498738,0.722352,2.795908,3.089234,1.788848,6.07965
2033,4.491499,1.442519,3.299821,1.506654,0.716909,2.802031,3.057165,1.796832,6.080627
2034,4.48173,1.453742,3.223152,1.494846,0.719403,2.801301,2.997929,1.811382,6.075301
2035,4.4979,1.461404,3.151084,1.508977,0.720952,2.786112,3.023646,1.792509,6.082915
2036,4.518255,1.464336,3.086101,1.512955,0.730625,2.797455,3.039378,1.785394,6.150412
2037,4.482513,1.493729,3.152291,1.532085,0.728114,2.796066,3.057254,1.793484,6.175611
2038,4.517887,1.499213,3.196229,1.545365,0.73764,2.802267,3.082606,1.832956,6.205789
2039,4.50979,1.50786,3.180381,1.556052,0.746798,2.815677,3.120983,1.859493,6.290382
2040,4.566906,1.522685,3.228045,1.589684,0.744844,2.828494,3.121226,1.858755,6.352501
2041,4.585896,1.516622,3.252863,1.617866,0.760325,2.844533,3.149406,1.854348,6.379959
2042,4.621827,1.513537,3.26692,1.645066,0.767767,2.856831,3.175429,1.850412,6.436357
2043,4.621121,1.517332,3.267063,1.692018,0.768026,2.858763,3.195245,1.881555,6.482502
2044,4.650357,1.585894,3.312581,1.725517,0.742717,2.864404,3.068405,1.903816,6.524942
2045,4.704872,1.570329,3.321653,1.738543,0.736814,2.88475,3.088467,1.898746,6.572933
2046,4.675886,1.553363,3.309839,1.780688,0.735574,2.7657,3.089712,1.9427,6.629407
2047,4.732585,1.549908,3.261683,1.806785,0.736256,2.792327,3.071366,1.947652,6.703919
2048,4.750326,1.575682,3.235516,1.833318,0.73714,2.840484,3.11656,1.938674,6.745504
2049,4.75781,1.578001,3.233698,1.874012,0.737919,2.858956,3.139706,1.952435,6.779729
2050,4.768852,1.569669,3.297768,1.889228,0.74333,2.881607,3.169167,1.959634,6.84743
