t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.683876245,4.71156506,4.274324972,4.662090985,5.211405877,4.1378747,3.986709024,4.348852094,4.172503321
2011,2.927163154,3.139824575,2.713908868,3.215775136,3.269097461,2.200280714,2.394996374,2.715813594,2.732003942
2012,1.605684949,1.539768007,1.171484003,1.557710892,1.872629539,0.770146231,1.005573641,1.280376125,1.538252508
2013,3.546416522,2.465455972,2.147142227,2.536507122,2.475824496,1.757503198,1.895343172,2.147623013,2.255814284
2014,3.981166979,2.771478218,2.900041807,3.264085534,2.910622138,2.192987906,2.397177205,2.451128905,2.665740094
2015,1.866609289,0.793683669,0.711922578,1.236132388,1.415156094,0.4291966,0.681535093,0.824554304,1.041525884
2016,1.511995403,0.618041657,0.538910349,0.605065277,0.92749023,0.03958865,0.273632214,0.325044504,0.635908364
2017,1.752855961,1.045269588,1.060862953,1.305793636,1.247641785,0.604537223,0.835410412,0.863670098,1.070924185
2018,1.891368595,0.908357825,0.743503087,1.046700981,0.967476207,0.366374599,0.600744147,0.729693444,0.977735257
2019,1.538998435,0.349026379,-0.050798824,0.296724644,0.427097309,-0.234165051,-0.12211007,0.012360555,0.503512031
2020,1.131327992,-0.120499163,-0.502936102,-0.060480798,0.04534619,-0.604442719,-0.456998584,-0.279584188,0.187550732
2021,3.075877487,1.398019115,1.327918267,1.782788162,2.108454636,1.535214545,1.528837853,1.791394058,2.338489683
2022,3.530959727,1.810285687,2.032214295,2.770363335,3.069669258,2.553076859,2.539895847,2.55123637,3.032822275
2023,2.630788801,1.590930997,1.498762795,1.8473453,2.163456948,1.608520852,1.616022831,1.700451687,1.972810526
2024,1.787949032,1.058016135,0.936048743,1.277819031,1.489235842,0.959368296,1.007749018,1.130333095,1.311057564
2025,1.248400541,0.73586776,0.615051229,0.977161541,1.153806664,0.674834527,0.706217936,0.845637543,1.072704977
2026,0.939900973,0.500307804,0.407008846,0.769426233,0.875720737,0.446306053,0.486952361,0.666580219,0.88613363
2027,0.719402448,0.405608889,0.313212985,0.704948519,0.803618879,0.391432084,0.444641767,0.606963582,0.807221358
2028,0.60214515,0.347187793,0.310449976,0.635903951,0.779850275,0.401404601,0.462252387,0.600546938,0.7970851
2029,0.739053772,0.364722973,0.325646369,0.666014839,0.821428448,0.452659673,0.516493705,0.634005477,0.802626426
2030,0.721601799,0.378028204,0.396996125,0.763872498,0.91410208,0.571543081,0.642902707,0.740354727,0.861333363
2031,0.712164001,0.438058518,0.476347576,0.851315494,1.031315142,0.688863509,0.787888321,0.877224444,0.960192379
2032,0.867074337,0.499267164,0.522045946,0.951222357,1.112169307,0.823567214,0.921421898,1.006385417,1.043309896
2033,0.882680859,0.571510559,0.573744257,1.056799155,1.254705962,0.973237858,1.066437274,1.144457959,1.184152296
2034,0.951059717,0.635512678,0.64468822,1.151603524,1.350473583,1.095689955,1.179959075,1.292861455,1.324347669
2035,1.020739025,0.684403534,0.699795137,1.236667995,1.444739907,1.178277698,1.279456895,1.407216696,1.430566185
2036,1.063172428,0.714417186,0.716284787,1.256519077,1.458870453,1.172772183,1.29380594,1.438229071,1.44934944
2037,1.095663924,0.74626128,0.756244765,1.279409877,1.490888575,1.192112,1.286341065,1.444216946,1.466819362
2038,1.173711248,0.798903527,0.788066318,1.328683716,1.548123804,1.272526723,1.371303078,1.541587202,1.575761006
2039,1.195328466,0.805087254,0.787747273,1.285006092,1.507742338,1.216998932,1.305419894,1.477419479,1.498464462
2040,1.221997287,0.819076847,0.825134585,1.367463275,1.569893435,1.303791925,1.40828944,1.578165566,1.580315141
2041,1.317704926,0.847501553,0.836419699,1.407428997,1.615045567,1.33743083,1.452222222,1.608700541,1.61994839
2042,1.315551986,0.814603328,0.792155473,1.4077078,1.574900128,1.323081608,1.42961391,1.586778029,1.603928454
2043,1.27096979,0.777286806,0.751233086,1.357992614,1.526839076,1.272196783,1.372820202,1.525963299,1.567433403
2044,1.189964176,0.741690928,0.730781676,1.344304925,1.437527768,1.204730596,1.350525197,1.494963803,1.521291338
2045,1.22164458,0.731263184,0.695964414,1.329090681,1.429021242,1.186345714,1.334691885,1.47517591,1.504779383
2046,1.170329544,0.705852228,0.680647508,1.288131139,1.421934601,1.208826432,1.337086097,1.446353897,1.443434263
2047,1.134646485,0.663503903,0.648765904,1.252664866,1.399669011,1.178428495,1.305693604,1.429666933,1.442586009
2048,1.079713795,0.620235244,0.618800264,1.23256016,1.381481808,1.142729594,1.2848104,1.40261478,1.418996732
2049,1.080000131,0.593222888,0.563934889,1.196506351,1.326411126,1.098902336,1.227830817,1.365933734,1.40410657
2050,1.101558511,0.594964294,0.541451841,1.17470387,1.318490502,1.101328842,1.205941228,1.360383639,1.392740356
