t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683876245,4.71156506,4.274324972,4.662090985,5.211405877,4.1378747,3.986709024,4.348852094,4.172503321
2011,2.927163154,3.139824575,2.713908868,3.215775136,3.269097461,2.200280714,2.394996374,2.715813594,2.732003942
2012,1.605684949,1.539768007,1.171484003,1.557710892,1.872629539,0.770146231,1.005573641,1.280376125,1.538252508
2013,3.546416522,2.465455972,2.147142227,2.536507122,2.475824496,1.757503198,1.895343172,2.147623013,2.255814284
2014,3.981166979,2.771478218,2.900041807,3.264085534,2.910622138,2.192987906,2.397177205,2.451128905,2.665740094
2015,1.866609289,0.793683669,0.711922578,1.236132388,1.415156094,0.4291966,0.681535093,0.824554304,1.041525884
2016,1.511995403,0.618041657,0.538910349,0.605065277,0.92749023,0.03958865,0.273632214,0.325044504,0.635908364
2017,1.752855961,1.045269588,1.060862953,1.305793636,1.247641785,0.604537223,0.835410412,0.863670098,1.070924185
2018,1.895133633,0.911394505,0.748657435,1.054078237,0.969653484,0.372757278,0.606488069,0.735525512,0.981903697
2019,1.538998435,0.349026379,-0.050798824,0.296724644,0.427097309,-0.234165051,-0.12211007,0.012360555,0.503512031
2020,1.131327992,-0.120499163,-0.502936102,-0.060480798,0.04534619,-0.604442719,-0.456998584,-0.279584188,0.187550732
2021,3.099946994,1.451435828,1.339318581,1.779968453,2.080717873,1.50718388,1.530154484,1.760697529,2.353867574
2022,3.5483212,1.782893754,2.022578711,2.799330397,3.078594876,2.571023858,2.549719316,2.545103468,3.029576834
2023,2.378373501,1.342328269,1.194028745,1.543992146,1.795413259,1.21350831,1.240247497,1.375339501,1.643354892
2024,1.415759125,0.711487689,0.544815363,0.912607162,1.081253039,0.503380546,0.580832448,0.716566802,0.926648337
2025,0.86896598,0.329908868,0.170962886,0.54914465,0.698455234,0.172915338,0.232570699,0.352137113,0.60709127
2026,0.460816439,0.108736805,-0.025044089,0.378299206,0.48196658,0.002818775,0.064363626,0.175025659,0.473505341
2027,0.295242588,0.021483752,-0.066627881,0.342151721,0.413857651,-0.056176854,0.040800551,0.15133452,0.417098106
2028,0.262804572,0.003469295,-0.025111811,0.324465557,0.436045412,-0.027426097,0.091883052,0.213712798,0.452411879
2029,0.330810532,0.047941078,0.014145689,0.374311831,0.469207476,0.024323461,0.147288646,0.259758376,0.459137798
2030,0.487999406,0.089810956,0.090009359,0.47352068,0.568945618,0.165111229,0.260363189,0.374120936,0.560577526
2031,0.531704901,0.144769905,0.189264337,0.566940564,0.670661923,0.303152329,0.387230116,0.507373136,0.651157026
2032,0.614475942,0.189059916,0.254383481,0.649718934,0.756694441,0.409273837,0.500458592,0.611808416,0.74375019
2033,0.595860037,0.231144058,0.290699029,0.721644547,0.853783273,0.515351776,0.604655316,0.709149685,0.814816621
2034,0.687671967,0.23984968,0.252719511,0.713428691,0.853355956,0.493272404,0.579143869,0.692475031,0.820217025
2035,0.688618291,0.239608067,0.193577208,0.710595821,0.853304469,0.467499768,0.564303131,0.676427021,0.799429788
2036,0.630531932,0.222782046,0.164367685,0.699986132,0.838525615,0.443571747,0.531800535,0.648784936,0.781340342
2037,0.670133927,0.22439025,0.139073547,0.684761884,0.819496569,0.412815438,0.491417911,0.617261801,0.748010018
2038,0.677501221,0.202673927,0.115306709,0.659895207,0.793321836,0.368401467,0.46653595,0.574809514,0.693242995
2039,0.685677689,0.181367314,0.089257716,0.634890973,0.754710511,0.338072814,0.437220655,0.538387827,0.628826676
2040,0.663161299,0.133757723,0.048581057,0.635222883,0.750282,0.329584063,0.438588794,0.540049385,0.671006833
2041,0.621626742,0.114612937,0.0122987,0.634976364,0.73155049,0.318077522,0.438433797,0.53143665,0.674348524
2042,0.597758548,0.074189031,-0.062732438,0.597490648,0.681640195,0.25193692,0.378071502,0.469340303,0.636869132
2043,0.554992924,0.021447521,-0.137180564,0.539438775,0.623824931,0.189041038,0.317142697,0.434409579,0.584442828
2044,0.478832608,-0.028908711,-0.183096913,0.507148422,0.596737646,0.171569504,0.29653036,0.419260507,0.573426613
2045,0.472675955,-0.065172789,-0.249513284,0.454332407,0.553144233,0.129348749,0.248599829,0.362175087,0.5311348
2046,0.459113622,-0.0873525,-0.284538069,0.425872565,0.517731206,0.087629096,0.217264439,0.349836749,0.543325144
2047,0.454512094,-0.107481749,-0.31891037,0.408522145,0.504956896,0.057126698,0.21245973,0.330709159,0.549329938
2048,0.371481364,-0.145184974,-0.356202621,0.396274684,0.495556285,0.052774366,0.208994657,0.321163871,0.537664581
2049,0.368620379,-0.144843119,-0.384449063,0.363913833,0.460959371,0.021673888,0.174287712,0.302717598,0.547422724
2050,0.219455025,-0.245117945,-0.429637538,0.302709642,0.404923042,-0.032787876,0.126034285,0.256061635,0.529273232
