year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,6.081073243,6.117021613,5.549353113,6.052789456,6.765964595,5.372199821,5.17594153,5.646111624,5.417158136
2011,5.45983348,5.620267938,5.020516655,5.625136035,5.957622242,4.723569033,4.712715346,5.289568034,5.104917372
2012,4.011320374,3.851098186,3.379540889,3.785370901,4.495317722,3.264453349,3.197858973,3.766372733,3.898842642
2013,6.314047046,4.869106923,4.417394622,4.865683349,5.07750338,4.246077283,4.156911849,4.71645606,4.669406983
2014,6.86270392,5.282324794,5.401115116,5.790094678,5.648496789,4.849042532,4.806605801,5.112865585,5.206476787
2015,4.432708256,3.013228292,2.917869955,3.465485347,4.077019423,2.998780121,2.903108337,3.352221733,3.379408921
2016,4.029015,2.865126,2.820728,2.739396,3.53285,2.62086,2.424059,2.773777,2.869784
2017,4.110083,3.25617,3.293476,3.378795,3.975826,3.255428,3.145943,3.515901,3.522189
2018,4.745058,3.980944,3.769993,3.872887,4.489305,3.744753,3.607844,3.968615,3.993859
2019,5.172715,4.674372,4.480365,4.650576,5.18659,4.496453,4.366498,4.739482,4.718064
2020,5.842553,5.445893,5.30238,5.673073,5.964683,5.214346,5.199004,5.54008,5.271099
2021,5.955995,5.579361,5.434115,5.752566,6.122903,5.406645,5.384685,5.701016,5.372637
2022,6.131454,5.739316,5.677309,5.970201,6.36669,5.650236,5.613017,5.935064,5.631557
2023,6.483839,6.032238,5.950172,6.35227,6.624062,5.931007,5.93732,6.302991,5.895867
2024,6.714672,6.356714,6.302488,6.723996,7.021622,6.341116,6.296801,6.663587,6.116251
2025,6.910943,6.559034,6.526902,6.95213,7.278123,6.596361,6.588568,6.948339,6.410038
2026,7.072076,6.594916,6.556315,6.992993,7.303762,6.506486,6.689341,7.047959,6.671141
2027,7.164898,6.699368,6.663745,7.138515,7.45399,6.583521,6.815189,7.164075,6.710002
2028,7.262504,6.786188,6.775064,7.268935,7.531404,6.686233,6.926652,7.289155,6.751356
2029,7.385892,6.900617,6.867699,7.386097,7.643748,6.804248,7.05296,7.377418,6.835719
2030,7.322318,6.87254,6.824173,7.357529,7.581475,6.749661,6.981977,7.327218,6.605317
2031,7.338028,6.882335,6.813627,7.320764,7.59408,6.751199,6.977802,7.333412,6.466274
2032,7.389498,6.912996,6.864435,7.36223,7.644792,6.802344,7.047132,7.409226,6.54782
2033,7.405196,6.923641,6.881404,7.325808,7.655509,6.803286,7.045194,7.412746,6.53639
2034,7.525096,7.034369,6.991912,7.450761,7.779987,6.92019,7.151922,7.495671,6.64521
2035,7.61203,7.12019,7.093295,7.536243,7.874198,7.02411,7.236632,7.564732,6.781523
2036,7.807413,7.296501,7.284061,7.718268,8.074358,7.23138,7.426281,7.723449,7.0005
2037,7.877374,7.354689,7.35796,7.795659,8.140622,7.28386,7.48844,7.755324,7.094723
2038,7.974952,7.441469,7.468708,7.901395,8.235665,7.376583,7.595818,7.846748,7.230736
2039,8.047335,7.520418,7.554962,7.971086,8.308881,7.412519,7.636148,7.951375,7.323678
2040,8.128971,7.595143,7.612015,8.057241,8.360575,7.497291,7.713922,8.072704,7.44288
2041,8.222286,7.666205,7.678504,8.142104,8.425904,7.615,7.794618,8.075704,7.549726
2042,8.250176,7.704557,7.720542,8.184954,8.443995,7.598742,7.813723,8.123435,7.587253
2043,8.339486,7.777227,7.791765,8.237373,8.505605,7.641959,7.887995,8.181349,7.696227
2044,8.630902,8.054575,8.068105,8.5713,8.833751,8.04321,8.208653,8.509526,8.022141
2045,8.820455,8.273613,8.299623,8.857835,9.053536,8.254772,8.421514,8.762102,8.252883
2046,8.953864,8.39577,8.429601,9.024942,9.204196,8.432866,8.563505,8.858074,8.426288
2047,9.122457,8.57576,8.642237,9.244089,9.424108,8.681893,8.77768,9.096354,8.666392
2048,9.268067,8.708105,8.79604,9.423483,9.600947,8.856001,8.96176,9.334513,8.880237
2049,9.530159,8.968942,9.089408,9.743529,9.879806,9.151021,9.238886,9.636841,9.198815
2050,9.8328,9.26325,9.37918,10.056433,10.1716,9.498689,9.515624,9.973467,9.528495
