year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,3.866699881,3.006620237,2.518385344,1.596413629,3.764457146,2.903880645,1.962141043,1.98668283,2.048145951
2011,3.984856961,3.012723496,2.74994059,1.737834158,3.908929385,2.926580976,2.073780008,2.053037519,2.133893542
2012,4.677851416,3.026309427,2.670265134,1.816355653,3.848395726,2.790670672,2.241217522,2.183154736,2.111028251
2013,4.310953354,2.728760659,2.571176027,1.861399187,3.597302725,2.664509518,2.291461694,2.021400704,2.215567347
2014,3.02757584,2.899511647,2.507384638,2.02816467,3.183592531,2.730568021,2.408695865,2.050272825,2.341333828
2015,2.974150456,2.806305244,2.356918351,1.955780422,2.919513463,2.529131679,2.321644091,1.938200272,2.225813195
2016,2.743885824,2.595398656,2.187876352,1.78430464,2.808242176,2.33298432,2.238157824,1.908724736,2.029605888
2017,2.668444,2.209448,2.082808,1.651493,2.69021,2.210914,2.006825,1.832077,2.023458
2018,2.860258,2.277368,2.081489,1.712269,2.635391,2.213131,2.074546,1.840851,2.115135
2019,2.846594,2.252402,2.090944,1.741728,2.593061,2.22323,2.066819,1.817185,2.083919
2020,2.888711,2.269456,2.135978,1.659499,2.616239,2.31612,2.072394,1.753968,2.109724
2021,2.789944,2.358644,2.172865,1.753893,2.831458,2.341697,2.233737,1.765274,2.178818
2022,2.786682,2.358024,2.176667,1.759474,2.845674,2.350023,2.247093,1.759946,2.173702
2023,2.785588,2.369395,2.165843,1.767779,2.845573,2.345478,2.2542,1.762813,2.170228
2024,2.791335771,2.374284,2.048773,1.779999,2.814139,2.265253,2.256415,1.760886,2.174613
2025,2.82810434,2.405559,2.063993,1.792779,2.819716,2.281073,2.280044,1.738451,2.182369
2026,2.840058387,2.415727,2.0647,1.800972,2.780409,2.295855,2.308705,1.718424,2.184661
2027,2.852776609,2.426545,2.069322,1.814116,2.792276,2.304495,2.312994,1.721154,2.190803
2028,2.858037659,2.43102,2.071813,1.819169,2.789245,2.306212,2.30824,1.736568,2.187574
2029,2.8651245,2.437048,2.073995,1.831222,2.808741,2.309053,2.318797,1.748721,2.198693
2030,2.874717834,2.445208,2.077821,1.847466,2.85456,2.31763,2.330125,1.761158,2.207997
2031,2.885814829,2.454647,2.077319,1.855259,2.847018,2.317242,2.332055,1.733349,2.214282
2032,2.867566333,2.439125,2.074355,1.856189,2.801254,2.317813,2.35552,1.739099,2.21488
2033,2.86756986,2.439128,2.072442,1.865392,2.803485,2.320832,2.355409,1.746454,2.220543
2034,2.8771291,2.447259,2.068192,1.876871,2.787883,2.32277,2.358837,1.75019,2.220225
2035,2.887584188,2.456152,2.06867,1.888926,2.797404,2.328646,2.361641,1.756603,2.231982
2036,2.868496275,2.439916,2.067925,1.907415,2.809571,2.33458,2.365192,1.767242,2.256062
2037,2.875527859,2.445897,2.066082,1.911457,2.816908,2.338024,2.365489,1.769915,2.268725
2038,2.881654191,2.451108,2.064718,1.923063,2.824504,2.351344,2.366921,1.77722,2.284094
2039,2.883872649,2.452995,2.063267,1.935911,2.8323,2.354886,2.373131,1.785136,2.301888
2040,2.883575209,2.452742,2.061689,1.944895,2.837116,2.356626,2.374125,1.790755,2.313434
2041,2.879155927,2.448983,2.057635,1.951185,2.839911,2.35437,2.371816,1.796073,2.320873
2042,2.871130915,2.442157,2.051684,1.958681,2.841854,2.352657,2.370927,1.799849,2.330266
2043,2.857964769,2.430958,2.044327,1.959261,2.837044,2.348,2.371081,1.801444,2.333153
2044,2.847743635,2.422264,2.039169,1.960589,2.833802,2.344041,2.373301,1.802365,2.334483
2045,2.846296406,2.421033,2.035057,1.964585,2.831689,2.341165,2.375244,1.806121,2.339143
2046,2.842998697,2.418228,2.033993,1.96636,2.835261,2.34048,2.37459,1.816772,2.341123
2047,2.838895666,2.414738,2.030453,1.9664,2.831703,2.336834,2.371369,1.818745,2.340186
2048,2.833200799,2.409894,2.030081,1.969533,2.831769,2.337282,2.37324,1.820422,2.344127
2049,2.83520764,2.411601,2.031157,1.971543,2.8346,2.338011,2.373213,1.829322,2.346153
2050,2.833800383,2.410404,2.028377,1.97464,2.835948,2.335935,2.373142,1.83291,2.349324
