t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.683876248,4.711565063,4.274324975,4.662090988,5.21140588,4.137874703,3.986709027,4.348852097,4.172503324
2011,2.927163157,3.139824578,2.71390887,3.215775139,3.269097464,2.200280717,2.394996376,2.715813596,2.732003945
2012,1.605684951,1.539768009,1.171484005,1.557710894,1.872629541,0.770146233,1.005573643,1.280376127,1.53825251
2013,3.546416525,2.465455974,2.147142229,2.536507125,2.475824499,1.7575032,1.895343174,2.147623016,2.255814286
2014,3.981166982,2.771478221,2.90004181,3.264085537,2.91062214,2.192987908,2.397177207,2.451128907,2.665740096
2015,1.866609292,0.79368367,0.71192258,1.23613239,1.415156096,0.429196602,0.681535095,0.824554306,1.041525885
2016,1.511995405,0.618041658,0.53891035,0.605065278,0.927490232,0.039588651,0.273632216,0.325044505,0.635908366
2017,1.752855963,1.045269589,1.060862955,1.305793638,1.247641787,0.604537225,0.835410414,0.863670099,1.070924187
2018,1.895133636,0.911394506,0.748657437,1.054078239,0.969653486,0.372757279,0.60648807,0.735525513,0.981903699
2019,1.538998438,0.349026381,-0.050798823,0.296724645,0.42709731,-0.23416505,-0.122110069,0.012360556,0.503512032
2020,1.131327994,-0.120499162,-0.502936101,-0.060480797,0.045346191,-0.604442718,-0.456998583,-0.279584187,0.187550734
2021,1.853865709,0.86746008,0.587015649,0.92449719,1.204488571,0.62840032,0.69554133,0.821331116,1.136423539
2022,1.833548513,0.832150384,0.532557043,0.917363985,1.050486146,0.493244494,0.586151472,0.70990902,0.973421195
2023,1.13263783,0.41742362,0.116414082,0.56683462,0.597498879,0.031949738,0.163705871,0.316176197,0.580892329
2024,0.557760109,0.066115302,-0.198324839,0.26034618,0.298321964,-0.269950914,-0.135895906,0.042096244,0.298525636
2025,0.345669294,-0.124694835,-0.49602345,0.098924314,0.089927247,-0.423030224,-0.30721742,-0.108487255,0.157294994
2026,0.24686273,-0.234239543,-0.596108264,0.077143269,0.034891053,-0.446820555,-0.343588267,-0.128258604,0.182848663
2027,0.209885116,-0.308175084,-0.629627992,0.106466019,0.030597778,-0.504924887,-0.323946368,-0.108752232,0.185648628
2028,0.191974188,-0.321142641,-0.59321425,0.157203031,0.06618572,-0.488055606,-0.273492611,-0.06283785,0.231737425
2029,0.277272421,-0.288725707,-0.598543618,0.216541275,0.078878263,-0.459137525,-0.231299243,-0.036611649,0.264747475
2030,0.342757759,-0.241739617,-0.541149474,0.311327149,0.168556512,-0.35939381,-0.137444676,-0.026800325,0.24445476
2031,0.4079773,-0.219862649,-0.598095666,0.309080831,0.167482589,-0.358883387,-0.140932919,-0.053705978,0.230877367
2032,0.417525318,-0.222841821,-0.684700226,0.320106408,0.157092468,-0.351973121,-0.143760424,-0.071386884,0.250980916
2033,0.438706414,-0.202756234,-0.729643931,0.347449417,0.172640721,-0.344759255,-0.121156739,-0.050876767,0.283340969
2034,0.381658448,-0.213595598,-0.78702023,0.317412896,0.147150534,-0.38544947,-0.143913768,-0.084889244,0.259781765
2035,0.332482663,-0.241501702,-0.820208705,0.300212753,0.140145621,-0.404710223,-0.162282777,-0.106676789,0.250848221
2036,0.353874714,-0.259731526,-0.848151288,0.290342285,0.131322839,-0.431395268,-0.184124827,-0.124020644,0.254065165
2037,0.24725468,-0.343027167,-0.91925999,0.235084949,0.080210077,-0.486441979,-0.236418589,-0.182138165,0.216640262
2038,0.172597233,-0.42348032,-0.984380102,0.198353437,0.037428544,-0.514923892,-0.275316066,-0.233433687,0.209050236
2039,0.090388232,-0.485716505,-1.037107251,0.14970518,0.001890394,-0.553258114,-0.309842154,-0.285084635,0.16288656
2040,0.056930996,-0.526649436,-1.089109207,0.12176894,-0.030826788,-0.582964204,-0.341767835,-0.311386547,0.149957455
2041,0.031333747,-0.564036742,-1.130831955,0.080199142,-0.046570768,-0.610258201,-0.366639409,-0.341187915,0.142160996
2042,0.018211336,-0.596877558,-1.187862661,0.055539971,-0.070242372,-0.669045424,-0.399647493,-0.355924429,0.152937974
2043,-0.006750251,-0.64883623,-1.288924677,0.017914931,-0.12886324,-0.724841471,-0.454711506,-0.419388158,0.102052709
2044,-0.053366848,-0.705779817,-1.392775838,-0.035015299,-0.171605991,-0.802262728,-0.507484236,-0.475406981,0.045831023
2045,-0.07896701,-0.754607069,-1.472513352,-0.095944865,-0.215155508,-0.864943496,-0.561956072,-0.515392413,0.013035358
2046,-0.089783215,-0.787178027,-1.520481863,-0.11946044,-0.238493506,-0.883345525,-0.585879498,-0.525996212,0.007516582
2047,-0.137147877,-0.839010368,-1.556104446,-0.120925199,-0.241565142,-0.881278386,-0.581131844,-0.501397208,0.036789754
2048,-0.216286875,-0.9106382,-1.61297066,-0.162544982,-0.283261463,-0.915971361,-0.624447637,-0.519710985,0.027277426
2049,-0.25025725,-0.948100521,-1.655422972,-0.175468219,-0.299365292,-0.921456409,-0.644952149,-0.53287702,0.057609329
2050,-0.251791214,-0.972217745,-1.689920895,-0.164308889,-0.301674296,-0.942026112,-0.65451407,-0.486356579,0.098305568
