t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.691395308,4.719128573,4.28118658,4.669575077,5.219771788,4.144517263,3.99310892,4.355833341,4.179201474
2011,2.933914073,3.146773867,2.720116585,3.222730447,3.276463881,2.206121265,2.400823504,2.722353985,2.738316018
2012,1.610644825,1.544529774,1.175662704,1.562391389,1.878187864,0.774182629,1.009527698,1.285033131,1.543073309
2013,3.554223651,2.471476476,2.152604203,2.542523393,2.482102676,1.762753344,1.900483068,2.153454769,2.261587865
2014,3.989652505,2.778009655,2.906720122,3.271244811,2.917606332,2.198983601,2.403120428,2.457450809,2.672177745
2015,1.8720902,0.797409435,0.715530435,1.240417356,1.420197206,0.432904502,0.685124699,0.828699224,1.045704421
2016,1.51697716,0.621584293,0.542398082,0.608452449,0.931858478,0.042829257,0.276629484,0.32847423,0.639456824
2017,1.758038008,1.049294716,1.064976758,1.310118549,1.252356733,0.608466119,0.839101363,0.867729636,1.074977828
2018,1.901854941,0.916516482,0.753597258,1.059210617,0.977036889,0.377364709,0.610855101,0.740620432,0.987085186
2019,1.544297739,0.352480235,-0.047824116,0.299968798,0.431063689,-0.230979405,-0.119351397,0.015801223,0.507139597
2020,1.25776771,0.219040916,-0.176386845,0.190207986,0.318882624,-0.319490428,-0.202073392,-0.107459987,0.267188939
2021,1.479583806,0.5603817,0.20453106,0.543411144,0.675728239,0.053601085,0.18185519,0.304682629,0.671859112
2022,1.4627558,0.745191751,0.411640874,0.752704109,0.841934196,0.25064194,0.393662116,0.485403073,0.741828661
2023,1.534793114,0.923495898,0.626991362,0.987863778,1.08690698,0.553447703,0.636436772,0.750336288,0.968786177
2024,1.755818395,1.153764582,0.90381015,1.277675211,1.38778417,0.858415579,0.928469794,1.050491336,1.226875364
2025,2.059855022,1.455961527,1.2591422,1.673807805,1.761572908,1.262403685,1.31835559,1.463638747,1.642959619
2026,2.216000082,1.68877081,1.524007352,1.962751037,2.012047228,1.565514867,1.613749173,1.776491126,1.967767259
2027,2.333463647,1.877687457,1.738228227,2.175634757,2.216130333,1.775663107,1.81675231,2.012718522,2.177669842
2028,2.473253535,2.054967328,1.956494487,2.407103652,2.412192867,1.983478752,2.024774837,2.230084039,2.392658075
2029,2.576532946,2.187408783,2.119847345,2.577268745,2.567378272,2.121600208,2.189960667,2.3972146,2.533762938
2030,2.630821474,2.292563842,2.246347001,2.701105989,2.683439276,2.2264155,2.310077252,2.524127201,2.643459498
2031,2.69,2.37,2.35,2.80,2.78,2.32,2.41,2.61,2.60
2032,2.750780315,2.445559406,2.440517781,2.90621186,2.882657509,2.43681759,2.509426216,2.708012479,2.701813774
2033,2.857603199,2.557914457,2.544691983,3.009080644,2.966962776,2.539730425,2.611382115,2.821382897,2.803485895
2034,2.925074868,2.616405422,2.60950136,3.081422008,3.043449205,2.611026594,2.682059897,2.878963516,2.86989586
2035,2.929242001,2.578224418,2.653427749,3.139485542,3.089434898,2.663175611,2.735897186,2.926831118,2.937610475
2036,2.984807071,2.619923051,2.714148346,3.205109852,3.130878927,2.742080285,2.798706466,2.99456227,3.022226471
2037,3.070333161,2.680909809,2.776419308,3.26491693,3.194908844,2.814748486,2.864531811,3.061712185,3.102299492
2038,3.18238567,2.732584747,2.827918237,3.326249282,3.241567051,2.886887955,2.932245576,3.152254323,3.189502969
2039,3.252771282,2.77164909,2.874244832,3.36981742,3.292340014,2.957664373,3.004113473,3.214548988,3.268752407
2040,3.318722598,2.824407209,2.924036728,3.420339422,3.353322223,3.008907451,3.03055671,3.289390945,3.330408431
2041,3.367624878,2.84670061,2.954711985,3.450875026,3.398167762,3.004307188,3.077536219,3.347182366,3.389803183
2042,3.442417848,2.916495069,3.017812786,3.502250813,3.438337046,3.04369615,3.132898545,3.4191418,3.441171682
2043,3.498356592,2.956719242,3.04968158,3.526519278,3.467008101,3.063635779,3.156561394,3.45233053,3.487647876
2044,3.63873982,3.086385977,3.199581936,3.674058515,3.58735801,3.243505263,3.336241666,3.650728823,3.656485824
2045,3.676694421,3.134362171,3.262574538,3.652531473,3.692598859,3.226739868,3.390167428,3.742355925,3.72684604
2046,3.778792256,3.209266401,3.366682566,3.747349051,3.805069895,3.309236802,3.497490286,3.873039084,3.823724067
2047,3.893403861,3.31229421,3.503452152,3.849902482,3.855516095,3.498843954,3.61682383,4.055851462,3.979537576
2048,3.930158567,3.355798598,3.550566438,3.907863464,3.948559579,3.462686556,3.673253617,4.162185315,4.07251875
2049,4.032797246,3.447461085,3.64435178,4.005446579,4.042110591,3.560850953,3.792752166,4.30871011,4.206490633
2050,4.168092778,3.5379984,3.743839739,4.119054989,4.18070893,3.689858706,3.960420642,4.478645282,4.356319508
