t,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,4.274323852,4.137873616,4.711563826,4.348850955,4.683875017,4.172502228,5.211404511,4.662089763,3.98670798
2011,2.713907854,2.200279761,3.13982344,2.715812526,2.927162052,2.732002912,3.269096259,3.215774001,2.394995423
2012,1.171483321,0.770145572,1.53976723,1.280375365,1.605684139,1.538251721,1.872628631,1.557710128,1.005572996
2013,2.147141336,1.757502341,2.465454989,2.147622061,3.546415247,2.255813341,2.475823471,2.53650614,1.895342333
2014,2.900040717,2.192986927,2.771477152,2.451127873,3.981165594,2.665739043,2.910620997,3.264084365,2.397176235
2015,0.711921989,0.429195995,0.79368306,0.824553628,1.866608395,1.041525202,1.415155271,1.236131689,0.681534507
2016,0.538909779,0.039588121,0.618041078,0.325043944,1.51199459,0.635907785,0.927489517,0.605064724,0.273631725
2017,1.060862282,0.604536582,1.045268931,0.863669435,1.752855115,1.070923523,1.247641015,1.30579293,0.83540981
2018,0.744844045,0.368943897,0.907581091,0.731712085,1.891319959,0.97809027,0.965839997,1.050264807,0.602674726
2019,-0.05079931,-0.234165571,0.349025816,0.012359993,1.53899757,0.503511439,0.427096661,0.296724114,-0.122110521
2020,-0.502936486,-0.604443157,-0.120499625,-0.279584681,1.131327219,0.18755021,0.045345631,-0.060481249,-0.456998958
2021,1.339013268,1.506878452,1.451130497,1.760392045,3.099641249,2.353562024,2.080412336,1.779663069,1.529849135
2022,2.022577512,2.571022473,1.782892643,2.545102098,3.548319654,3.029575429,3.078593391,2.799329057,2.549718018
2023,-0.532509151,-0.639984414,-0.127585003,-0.29602426,1.19784926,0.198578163,0.048011954,-0.064037547,-0.483870497
2024,-0.98043835,-0.970854984,-0.797897045,-0.826460764,0.24941196,-0.169578388,-0.173104378,-0.503171848,-0.835942279
2025,0.052912347,0.113159081,0.185832293,0.161823469,0.955399892,0.653191142,0.692091392,0.498099459,0.210786236
2026,0.556012968,0.624866906,0.729716837,0.663235045,1.284286039,0.981862843,1.148832942,0.930332328,0.669647066
2027,0.595668629,0.668752887,0.719462147,0.752688233,1.132383363,1.036836693,1.224917486,1.014220049,0.734990993
2028,0.796412876,0.953933139,0.896830035,1.056970476,1.232606419,1.371676599,1.479329909,1.259202804,1.02890512
2029,1.111198575,1.293318833,1.169328708,1.434981293,1.506767232,1.714382863,1.799820966,1.630624506,1.40507752
2030,1.624631315,1.914038917,1.607756941,2.051424368,1.908047696,2.312961168,2.357971365,2.197522216,2.025384349
2031,2.144015375,2.457545852,2.088333892,2.60763497,2.423713715,2.868033337,2.899154008,2.683917773,2.544368052
2032,2.518251646,2.779102749,2.497367693,3.024042215,2.762036509,3.308341303,3.216629878,3.104966108,2.911778666
2033,2.900049856,3.122204004,2.839648332,3.277357215,3.164897967,3.556434482,3.546488438,3.38646984,3.216543732
2034,3.13033574,3.336484366,3.053955501,3.528533519,3.448965882,3.756716609,3.764636038,3.532169596,3.423182165
2035,3.28923173,3.496637516,3.217568582,3.725506621,3.569688021,3.883580827,3.925258211,3.63475068,3.528751732
2036,3.50200606,3.755010381,3.302281095,4.034303793,3.679293187,4.108459204,4.172998911,3.817156067,3.805995797
2037,3.56007468,3.878931778,3.326596686,4.148920869,3.709662046,4.181199131,4.374773066,3.877242411,3.978559309
2038,3.557736822,3.790783498,3.294901605,4.234711145,3.654516998,4.213765479,4.390260918,3.869885912,4.004404973
2039,3.510828398,3.971830604,3.292919956,4.442288713,3.614536407,4.400752657,4.521430317,3.765212507,4.183593094
2040,3.59954139,4.018541581,3.282332061,4.496705794,3.61592126,4.46254287,4.502009885,3.891563236,4.206410136
2041,3.616017028,4.254986675,3.310999111,4.365744794,3.566487529,4.499110556,4.561121267,3.907281182,4.228592633
2042,3.577042894,4.16210071,3.218622838,4.284416413,3.528534439,4.365228817,4.51813159,3.867928974,4.189358822
2043,3.512391369,4.050880803,3.151557517,4.160762049,3.436118054,4.290786168,4.443401353,3.823488298,4.105407548
2044,3.530099587,4.190478951,3.16642434,4.323243132,3.278930648,4.415172024,4.447622443,3.826256132,4.25844936
2045,3.558146104,4.181646248,3.193102426,4.425419433,3.212186567,4.510703161,4.361376262,3.880564294,4.312538143
2046,3.676942375,4.218296072,3.244401657,4.470433846,3.311696366,4.550329027,4.402971167,4.018728175,4.363276133
2047,3.802600296,4.434405046,3.373934476,4.678081991,3.409348328,4.739334211,4.547975478,4.125399971,4.536786995
2048,3.939109135,4.547880878,3.498263579,4.903968007,3.521662983,4.90486377,4.720125074,4.271648533,4.754947245
2049,4.090728437,4.694276742,3.684932297,5.061472141,3.69662486,5.031985777,4.866316779,4.42996429,4.945171269
2050,4.25101812,4.870025212,3.869244455,5.254610422,3.872221233,5.191618081,5.057361725,4.583699117,5.121867358
