year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,0.85818,2.64274,3.35827,1.549812,2.864664,1.354117,5.379282,4.756302,2.707125
2011,0.915348,2.719853,3.525401,1.555518,2.934925,1.416257,5.529355,4.79351,2.54856
2012,0.879083,2.770951,3.547677,1.491081,3.280124,1.540446,5.730931,4.903691,2.803605
2013,0.859505,2.891799,3.818099,1.645916,3.261053,1.455897,5.577358,4.972179,2.896845
2014,0.857731,3.120449,4.045156,1.68047,3.326574,1.544663,5.646739,5.000559,2.784841
2015,0.905922,3.099138,3.886718,1.574979,3.663951,1.696394,5.951674,5.255469,2.76397
2016,0.856641,3.156144,3.920965,1.638642,3.73514,1.74669,5.803449,1.581652,2.775395
2017,0.764469,3.062421,3.698125,1.584687,3.431044,1.696506,5.880105,1.449689,2.825119
2018,0.777306,3.184551,4.016391,1.663275,3.628421,1.752858,6.187425,1.564213,2.924123
2019,0.824307,3.223555,4.154474,1.60427,3.924912,1.756283,6.329151,1.610014,2.929989
2020,0.81988,3.272169,4.104654,1.691888,3.816824,1.697292,6.515233,1.519187,2.763399
2021,0.835061,3.273663,4.085458,1.690555,3.874382,1.715838,6.532741,1.476765,2.802754
2022,0.823573,3.326187,4.126229,1.701014,4.012102,1.745462,6.569623,1.474525,2.76403
2023,0.828336,3.326371,4.23005,1.721945,3.979774,1.793815,6.618642,1.482203,2.763973
2024,0.832154,3.3334,4.260619,1.736431,3.9148,1.778248,6.544396,1.502286,2.667197
2025,0.829112,3.343819,4.2802,1.744301,3.906613,1.802279,6.520282,1.519092,2.708644
2026,0.827418,3.329571,4.266707,1.755936,3.90168,1.764453,6.579738,1.533733,2.733682
2027,0.828002,3.325921,4.311094,1.764118,3.898665,1.785683,6.676209,1.557827,2.740936
2028,0.834922,3.328008,4.360934,1.782755,3.926259,1.816597,6.805385,1.571846,2.745406
2029,0.832672,3.371974,4.394941,1.779245,3.948092,1.849115,6.874472,1.578552,2.718057
2030,0.863212,3.383677,4.400432,1.782781,3.962419,1.826375,6.950372,1.588989,2.685176
2031,0.881413,3.376964,4.434247,1.796847,3.981869,1.826206,7.022305,1.605026,2.660409
2032,0.887269,3.382066,4.443801,1.790232,4.019198,1.848141,7.016367,1.621258,2.660882
2033,0.876998,3.395323,4.48329,1.797901,4.027431,1.837114,7.065955,1.625965,2.664952
2034,0.87669,3.423847,4.523457,1.80876,4.070673,1.787838,7.114339,1.637572,2.744113
2035,0.878794,3.429507,4.555622,1.829109,4.106,1.809415,7.080189,1.64584,2.769544
2036,0.877143,3.479341,4.564659,1.834015,4.143921,1.823382,7.112084,1.656991,2.782676
2037,0.885202,3.468841,4.609838,1.841027,4.188877,1.839433,7.210258,1.667511,2.802262
2038,0.902923,3.482608,4.657233,1.854598,4.174717,1.85348,7.305285,1.626921,2.816156
2039,0.9045,3.493229,4.687322,1.870955,4.181961,1.848227,7.39441,1.632891,2.836528
2040,0.905021,3.513038,4.719284,1.875602,4.204115,1.86272,7.478149,1.66286,2.865526
2041,0.911449,3.525514,4.749995,1.884355,4.219766,1.895188,7.534121,1.69102,2.891342
2042,0.920776,3.541683,4.78289,1.894226,4.30302,1.918293,7.561437,1.702815,2.914642
2043,0.926112,3.535466,4.825953,1.911252,4.355291,1.945849,7.590294,1.704089,2.946501
2044,0.927242,3.565468,4.854137,1.887434,4.334575,1.956832,7.631791,1.714191,2.946002
2045,0.933938,3.574457,4.918383,1.889983,4.358191,1.966766,7.664685,1.721708,2.943316
2046,0.939747,3.600419,4.939103,1.900213,4.401902,1.959696,7.709044,1.740882,2.959037
2047,0.946111,3.611449,4.992292,1.911176,4.422204,1.979096,7.756738,1.761301,2.958472
2048,0.958131,3.647297,5.026526,1.922222,4.437088,2.012207,7.792088,1.776713,2.993366
2049,0.964795,3.647744,5.055829,1.935038,4.438435,2.012376,7.829456,1.796196,3.028695
2050,0.976505,3.664899,5.107442,1.957578,4.532712,2.006232,7.883971,1.810117,3.053094
