*cendiv,value
East_North_Central,0.262956
East_South_Central,0.608412
Mid_Atlantic,0.144978
Mountain,0.545321
New_England,0.502176
Pacific,0.196842
South_Atlantic,0.161863
West_North_Central,0.578654
West_South_Central,0.084872
