year,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC
2010,2.933735194,3.382809097,3.502493226,2.314340557,4.504423263,2.385940608,4.385317937,1.85970541,2.285751166
2011,3.203480163,3.409253326,3.509603077,2.391638928,4.642067641,2.485830298,4.553617554,2.024450009,2.415802415
2012,3.11066407,3.250927737,3.525429695,2.543215993,5.449355623,2.459193901,4.483100258,2.115921823,2.610854902
2013,2.995232488,3.103959196,3.178807089,2.354784347,5.021946148,2.580974321,4.190595231,2.168394252,2.669385698
2014,2.920920174,3.180912534,3.377719533,2.388418262,3.526904973,2.727483096,3.708653037,2.362663875,2.805954955
2015,2.745637928,2.946253891,3.269140872,2.257861915,3.464668299,2.592909986,3.401020188,2.278341507,2.704545989
2016,2.548716332,2.717756527,3.023450085,2.223525064,3.196426803,2.364342789,3.271397257,2.07858473,2.607290578
2017,2.426319368,2.575553511,2.573845728,2.134236045,3.108542581,2.357180947,3.133898383,1.923868858,2.337804716
2018,2.424782829,2.578136153,2.652967572,2.144457114,3.331991898,2.463977963,3.070038248,1.994668465,2.41669474
2019,2.260990651,2.230596125,3.077274942,2.162248779,3.112754867,2.311691296,2.817693036,2.081341278,2.185757877
2020,2.21296752,2.06861148,2.5775226,2.154141,3.016400676,2.0504124,2.86801236,1.67514696,1.93352832
2021,2.17984716,2.04817572,2.44783728,2.1961152,3.010839854,2.06690508,2.8091502,1.70676936,1.95455592
2022,2.131114,2.008735,2.08875,2.152007,3.503936544,2.271631,2.589649,1.757149,2.07165
2023,2.084341,1.95972,2.063801,2.052156,3.462083899,2.216407,2.447239,1.704537,2.006735
2024,2.094711,1.942129,2.055524,2.040424,3.448199,2.217564,2.384869,1.720433,1.971271
2025,2.147902,1.940953,2.069094,1.785091,3.470963055,2.294237,2.38643,1.758175,2.029351
2026,2.106584,1.950878,2.081482,1.78466,3.491744271,2.240102,2.310191,1.746945,2.030092
2027,2.093268,1.936479,2.084447,1.759975,3.496718141,2.215008,2.238824,1.734488,2.009337
2028,2.076573,1.914195,2.096089,1.630492,3.516247922,2.183337,2.20904,1.714732,1.988276
2029,2.019474,1.901134,2.120943,1.656592,3.557941202,2.158459,2.205446,1.707366,1.967524
2030,2.034066,1.890836,2.118054,1.585909,3.553094824,2.135439,2.220501,1.702108,1.949285
2031,2.019142,1.879298,2.100696,1.561774,3.523976293,2.113487,2.225052,1.687947,1.933424
2032,2.004324,1.867954,2.088863,1.331491,3.504126105,2.092947,2.218937,1.677946,1.918301
2033,2.004538,1.821609,2.085079,1.235665,3.497778339,2.076913,2.230854,1.663786,1.910883
2034,2.010873,1.820305,2.077316,1.245699,3.484755689,2.066158,2.243947,1.665542,1.908152
2035,2.009272,1.818837,2.071161,1.26009,3.474430505,2.055682,2.240432,1.649977,1.907058
2036,2.01058,1.816898,2.062794,1.262006,3.460394628,2.046597,2.220953,1.64956,1.908665
2037,2.014499,1.815858,1.894991,1.233206,3.178900403,2.039273,2.216686,1.651096,1.912143
2038,2.018082,1.815616,1.895638,1.297967,3.179985763,2.032225,2.212141,1.624405,1.9155
2039,2.015666,1.814015,1.895452,1.298403,3.179673743,2.023474,2.203706,1.6216,1.915044
2040,2.009565,1.809758,1.897631,1.327411,3.183329076,2.010775,2.193242,1.620807,1.90916
2041,2.007825,1.806802,1.903817,1.339005,3.193706264,1.991629,2.191758,1.615358,1.905341
2042,2.004388,1.807186,1.911305,1.342167,3.206267594,1.982403,2.194301,1.609909,1.900726
2043,2.004722,1.80927,1.919849,1.339854,3.220600393,1.976773,2.19754,1.605855,1.900378
2044,2.003707,1.807819,1.927319,1.333778,3.233131527,1.970719,2.187804,1.603431,1.900143
2045,2.000554,1.810795,1.933412,1.333587,3.243352705,1.96448,2.191054,1.600661,1.89916
2046,1.997813,1.809327,1.941033,1.344362,3.256137145,1.955443,2.196399,1.596756,1.895768
2047,1.995896,1.809096,1.949271,1.338551,3.269956621,1.945345,2.186981,1.594289,1.892605
2048,1.993917,1.80929,1.954113,1.319891,3.278079211,1.935027,2.178619,1.592399,1.890472
2049,1.992319,1.812262,1.963171,1.328315,3.29327426,1.925027,2.186695,1.591273,1.889601
2050,1.990264,1.814798,1.962928,1.32453,3.29286662,1.914853,2.187768,1.589481,1.888194
