t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.683876248,4.711565063,4.274324975,4.662090988,5.21140588,4.137874703,3.986709027,4.348852097,4.172503324
2011,2.927163157,3.139824578,2.71390887,3.215775139,3.269097464,2.200280717,2.394996376,2.715813596,2.732003945
2012,1.605684951,1.539768009,1.171484005,1.557710894,1.872629541,0.770146233,1.005573643,1.280376127,1.53825251
2013,3.546416525,2.465455974,2.147142229,2.536507125,2.475824499,1.7575032,1.895343174,2.147623016,2.255814286
2014,3.981166982,2.771478221,2.90004181,3.264085537,2.91062214,2.192987908,2.397177207,2.451128907,2.665740096
2015,1.866609292,0.79368367,0.71192258,1.23613239,1.415156096,0.429196602,0.681535095,0.824554306,1.041525885
2016,1.511995405,0.618041658,0.53891035,0.605065278,0.927490232,0.039588651,0.273632216,0.325044505,0.635908366
2017,1.752855963,1.045269589,1.060862955,1.305793638,1.247641787,0.604537225,0.835410414,0.863670099,1.070924187
2018,1.896163942,0.912424905,0.749646282,1.055016423,0.972495523,0.373468962,0.60719297,0.736448211,0.982907526
2019,1.538998438,0.349026381,-0.050798823,0.296724645,0.42709731,-0.23416505,-0.122110069,0.012360556,0.503512032
2020,1.131327994,-0.120499162,-0.502936101,-0.060480797,0.045346191,-0.604442718,-0.456998583,-0.279584187,0.187550734
2021,1.85800429,0.969253088,0.670272692,1.010920345,1.264634223,0.696209199,0.754110132,0.867182007,1.185067532
2022,2.24183477,1.361171493,1.133603368,1.492862384,1.686276218,1.180446641,1.192484751,1.287260499,1.515895233
2023,1.880416477,1.355573271,1.140742239,1.549098511,1.675165525,1.178223223,1.221834799,1.373023399,1.588828098
2024,1.796718089,1.378637181,1.200330427,1.601147914,1.739333055,1.265698001,1.304705018,1.453341018,1.597604523
2025,1.926427328,1.50431636,1.371816815,1.862826542,1.967316981,1.515887044,1.581734712,1.747404966,1.869256447
2026,2.198447754,1.770425324,1.654047636,2.149939853,2.238345083,1.84809135,1.903967463,2.101076455,2.224944381
2027,2.465607103,1.994557558,1.910559585,2.418941579,2.416380974,2.064961852,2.121010139,2.36657256,2.471872006
2028,2.735958166,2.16645638,2.094656385,2.607276058,2.58895657,2.269029742,2.302935157,2.593888685,2.712671718
2029,2.754384094,2.288277451,2.242462788,2.750794174,2.720910887,2.380538212,2.43745626,2.757140073,2.848857807
2030,2.841945058,2.401865405,2.399355006,2.912140533,2.840764612,2.553087097,2.597876155,2.937751133,3.016022443
2031,2.864499462,2.510451476,2.514709818,3.011919052,2.958231445,2.649309896,2.699463566,3.036833242,2.985919178
2032,2.963268998,2.618339898,2.650075576,3.123422572,3.066373091,2.724867639,2.794253356,3.128692118,3.078044772
2033,3.07953694,2.723542067,2.781216727,3.246855756,3.185226951,2.836002308,2.913823832,3.273333556,3.190599957
2034,3.174692806,2.798694852,2.898414455,3.326078515,3.277068085,2.932812334,3.000844382,3.39132104,3.300110396
2035,3.182663873,2.777876236,2.971787449,3.39414279,3.32331306,2.985929117,3.054912955,3.468476853,3.368498692
2036,3.207654658,2.784078055,3.022916344,3.432375091,3.375069738,3.047386959,3.112743697,3.55366931,3.448390178
2037,3.235032797,2.78365684,3.058192608,3.474934472,3.39833385,3.086363687,3.150592835,3.567668776,3.489135632
2038,3.312799846,2.826980533,3.102392163,3.534990804,3.389068302,3.106832706,3.201924484,3.638302159,3.587381413
2039,3.405886598,2.899618591,3.15554254,3.608594951,3.460853634,3.171088142,3.264348018,3.723496419,3.68239023
2040,3.448868518,2.962510869,3.19024643,3.672043374,3.520123127,3.248186127,3.318894157,3.808907975,3.760953807
2041,3.532135949,3.023501939,3.20590662,3.684176176,3.534979312,3.237234891,3.328753256,3.820221627,3.788867688
2042,3.587212558,3.071409469,3.264293583,3.744381121,3.587749949,3.288899794,3.377266925,3.908792948,3.86730639
2043,3.6128049,3.109624617,3.281271889,3.758868036,3.605694108,3.301400109,3.387502501,3.959027464,3.947856263
2044,3.650951492,3.185995634,3.384429277,3.860898622,3.685344576,3.369347899,3.499656479,4.130069852,4.081202892
2045,3.698726337,3.211274858,3.41887676,3.847788722,3.688433896,3.406671305,3.535079603,4.160810384,4.142794956
2046,3.700436614,3.228755305,3.471529158,3.845155411,3.781714468,3.416479891,3.575799245,4.22625455,4.208646207
2047,3.730795032,3.270504408,3.537055694,3.852512041,3.825729286,3.458057413,3.617241727,4.291702039,4.314085236
2048,3.763919858,3.321186425,3.591070885,3.952549387,3.897932864,3.505836184,3.68469586,4.379770426,4.38233383
2049,3.791439175,3.325633234,3.606843909,3.94933775,3.926854809,3.534796493,3.713532435,4.410744311,4.433168765
2050,3.885368882,3.420753511,3.686286977,4.056542003,4.013886833,3.596214688,3.833652109,4.538165451,4.54812006
