t,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC,MEX
2010,4.186410357,4.052766604,4.614657261,4.259404601,4.587537951,4.086682982,5.104217317,4.566200772,3.904710115,4.256134025
2011,3.787458194,3.563442066,4.239908225,3.990429507,4.118877095,3.851129767,4.494406997,4.243580698,3.555254087,3.875226955
2012,1.117944243,0.718429725,1.478757686,1.220708052,1.542136337,1.476485805,1.801413288,1.497741844,0.954912144,1.852105418
2013,2.077160459,1.690235492,2.388318033,2.072903418,3.446387383,2.181840055,2.395385075,2.459423421,1.829488055,2.805393161
2014,2.814476429,2.116167834,2.687793149,2.370129264,3.872445844,2.583257434,2.82113766,3.172357015,2.321029429,3.341173259
2015,0.665697542,0.381688973,0.745947149,0.771448129,1.796384917,0.987988214,1.350566658,1.181231069,0.635543129,1.503993191
2016,0.538918053,0.039593272,0.618045509,0.325022939,1.511994635,0.635872164,0.927499475,0.60507067,0.273636067,1.379931554
2017,1.09845309,0.684933102,1.069368696,1.112569097,1.761467658,1.28389801,1.451367337,1.280650309,0.953688668,1.850771829
2018,1.038516777,0.653365343,1.220826794,1.073957506,1.868721205,1.30464332,1.411298921,1.266164636,0.908165014,1.801151047
2019,2.075486612,1.811830617,2.246047013,2.082615244,2.641699839,2.272473226,2.493076073,2.327273415,1.961643186,2.949442254
2020,2.8828715,2.625040499,2.993821323,2.887652113,3.334822776,2.901808261,3.306767469,3.218790352,2.777734045,3.83898129
2021,3.102231591,2.902072757,3.209917269,3.147169037,3.527812422,3.098685179,3.552070783,3.396583013,3.031097618,4.115147585
2022,3.337814224,3.16853942,3.386557936,3.385981884,3.711601026,3.351169882,3.790911308,3.613648542,3.260242004,4.364914965
2023,3.511377382,3.368589924,3.597331735,3.634258687,3.964013098,3.544335443,3.971942389,3.876997078,3.497109488,4.623100523
2024,3.785029371,3.681905025,3.836413613,3.909652699,4.144566781,3.702704818,4.259647707,4.152894821,3.771465598,4.922148683
2025,3.955271265,3.879057353,3.988980928,4.120582904,4.298770225,3.917374261,4.453397265,4.327789208,3.99184165,5.162358579
2026,3.96342513,3.786756796,4.003567362,4.179254054,4.408552877,4.095194887,4.458661728,4.352680909,4.057904572,5.234367165
2027,4.060825372,3.875702522,4.100924492,4.271425343,4.495504982,4.15347931,4.594083119,4.479074917,4.172881308,5.359691806
2028,4.146310812,3.947349107,4.1766509,4.383112137,4.575399545,4.189846718,4.663328534,4.581026789,4.265693534,5.460857133
2029,4.226473983,4.044566378,4.264066874,4.441656682,4.671177035,4.266124338,4.746967947,4.671764751,4.367262864,5.571567703
2030,4.208210047,4.012562864,4.251342761,4.433572268,4.643398361,4.131746596,4.714126253,4.659062716,4.327884449,5.52864523
2031,4.199001867,4.009801408,4.254649228,4.441643585,4.648302606,4.023036336,4.717088203,4.633132413,4.320883843,5.52101457
2032,4.252049814,4.061349864,4.295880339,4.552671959,4.694914554,4.096686449,4.766804099,4.67303153,4.384315663,5.590155253
2033,4.264986508,4.065080934,4.305775033,4.562897874,4.702970988,4.087772549,4.773275795,4.652096883,4.382444532,5.58811572
2034,4.34531586,4.150526089,4.387199107,4.624564543,4.788446346,4.16787771,4.864406463,4.74206599,4.461560852,5.67435251
2035,4.417503189,4.226437315,4.452660506,4.682460747,4.850922948,4.269971129,4.93405361,4.80700201,4.524281391,5.742717897
2036,4.560238928,4.394287288,4.585529632,4.804284253,4.995584575,4.434364123,5.080592191,4.945430386,4.663993323,5.895003903
2037,4.610644291,4.446249659,4.628724403,4.838812289,5.047402957,4.503630939,5.126470957,4.992695107,4.707984513,5.9429543
2038,4.702985107,4.535108753,4.711784822,4.960018195,5.134195736,4.61895218,5.210847733,5.082818277,4.800569503,6.04387194
2039,4.763639261,4.552706929,4.774160395,5.049676624,5.191287893,4.689786639,5.269459868,5.139019579,4.831967014,6.078095226
2040,4.81071564,4.60439359,4.834996481,5.135714823,5.237034703,4.780174786,5.311925706,5.206415701,4.890329402,6.141710229
2041,4.849319633,4.708558517,4.883251109,5.133368475,5.298577965,4.854588276,5.351153646,5.263976806,4.944879504,6.20116984
2042,4.863690896,4.712513225,4.899079261,5.157765606,5.306784991,4.870529281,5.342901741,5.283348128,4.944738108,6.201015719
2043,4.903794638,4.701606738,4.945835388,5.186125901,5.360423877,4.942179158,5.3787524,5.316128208,4.987790745,6.247943093
2044,5.122383234,5.022048315,5.166769708,5.434761626,5.587693896,5.196036106,5.630809729,5.577146701,5.237857955,6.520516352
2045,5.290461991,5.185818571,5.326628403,5.623023561,5.73540765,5.368572359,5.793645758,5.783944958,5.396952835,6.693929771
2046,5.396057272,5.316162522,5.426307865,5.686935232,5.844740903,5.504235599,5.915381469,5.911893237,5.507741909,6.814689861
2047,5.567180018,5.497013106,5.567978478,5.8689833,5.989937419,5.690789417,6.086110719,6.084290688,5.674350065,6.996292752
2048,5.683453247,5.62870711,5.670592064,6.055524851,6.110161527,5.855422768,6.221461792,6.222612721,5.815123356,7.149735639
2049,5.895908982,5.836222382,5.866951767,6.278841309,6.304968959,6.091129631,6.424219995,6.437314404,6.017423464,7.370242757
2050,6.117260887,6.081455872,6.082379888,6.526862835,6.530359321,6.335150831,6.633413132,6.662708222,6.221347598,7.592520063
