year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326,0.567,0.89,0.641,0.42,0.989,1.544,0.124,2.049
2011,0.395,0.639,0.965,0.567,0.456,0.766,1.671,0.117,2.188
2012,0.656,0.797,1.154,0.663,0.448,1.045,2.043,0.171,2.337
2013,0.475,0.629,1.066,0.651,0.372,1.069,1.883,0.14,2.075
2014,0.48286,0.67191,1.13148,0.64891,0.34175,1.07373,1.89625,0.10807,2.02567
2015,0.71331,0.87542,1.23645,0.75092,0.39761,1.08443,2.3301,0.14716,2.43411
2016,0.91214,0.9619,1.3445,0.76576,0.39318,0.91791,2.46983,0.19192,2.35184
2017,0.81026,0.9109,1.19616,0.69033,0.37141,0.8409,2.47589,0.17219,2.06317
2018,1.00257,0.994602,1.300064,0.760259,0.400407,0.871735,2.535531,0.189613,2.661307
2019,1.185716,1.029824,1.451554,0.988215,0.338651,0.834003,2.790259,0.228314,2.928261
2020,1.262778,1.047204,1.684218,0.954761,0.360853,0.847681,2.768037,0.247312,2.940385
2021,1.082247,0.913914,1.654776,0.947247,0.344592,0.887034,2.468727,0.195056,2.73224
2022,1.477695,0.90048,1.998293,0.947744,0.366773,0.850175,2.605338,0.257507,2.797009
2023,1.337029346,1.108779595,1.783250018,1.010900947,0.382071156,0.897524643,2.930797576,0.261853946,3.113279638
2024,1.803768,1.120752,1.947869,1.202134,0.451624,1.026979,2.771119,0.328229,3.278091
2025,1.721987,1.101454,1.590906,1.094271,0.400232,0.854088,2.802444,0.31658,3.123186
2026,2.042994,1.240576,1.697816,1.131739,0.311662,0.761514,2.951403,0.339554,3.375084
2027,2.206338,1.345413,1.701938,1.092678,0.26856,0.750901,3.033981,0.389654,3.394222
2028,2.334784,1.306726,1.644293,1.079716,0.244934,0.78061,3.01577,0.37641,3.293242
2029,2.512054,1.324362,1.630497,1.073624,0.241361,0.828471,2.969723,0.398223,3.188257
2030,2.602928,1.24977,1.778863,1.176084,0.196057,0.901304,2.868471,0.427727,3.24422
2031,2.751464,1.181122,1.787377,1.214582,0.174589,0.966842,2.69715,0.491814,3.251625
2032,3.253971,1.202948,1.845946,1.326644,0.193283,1.003485,2.864202,0.599109,3.415374
2033,3.23993,1.22631,1.84822,1.274809,0.18547,1.094409,2.768513,0.497179,3.408022
2034,3.205562,1.228781,1.843454,1.246807,0.187396,1.119302,2.743542,0.490385,3.36646
2035,3.212188,1.185304,1.710656,1.19792,0.192078,1.137609,2.655394,0.484944,3.317858
2036,3.132051,1.137773,1.642419,1.329532,0.1997,1.008565,2.550056,0.420684,2.939176
2037,3.140409,1.144755,1.6444,1.32666,0.206521,1.047966,2.471244,0.416561,2.535467
2038,2.716094,1.158549,1.590891,1.171483,0.197384,1.034278,2.439109,0.376668,2.472733
2039,2.581804,1.105213,1.437783,1.016782,0.185696,1.041979,2.377795,0.354041,2.369297
2040,2.550396,1.084304,1.440836,1.072407,0.1913,1.048653,2.49518,0.359027,2.332093
2041,2.603838,1.106517,1.471445,1.044572,0.196422,1.087787,2.572892,0.366828,2.428086
2042,2.774909,1.088461,1.400841,1.070091,0.208031,1.072913,2.560002,0.382864,2.434259
2043,2.887747,1.150788,1.453301,1.107367,0.215927,1.04736,2.60474,0.405494,2.535568
2044,2.989638,1.153446,1.539554,1.171576,0.195102,1.045559,2.585567,0.4108,2.570477
2045,3.06196,1.184258,1.580606,1.259128,0.159384,1.036926,2.56146,0.439917,2.601221
2046,3.099662,1.255747,1.648451,1.248391,0.161159,1.04817,2.573675,0.463651,2.629858
2047,2.97911,1.305926,1.739527,1.285874,0.167061,1.030689,2.549114,0.46623,2.650514
2048,2.855375,1.313169,1.745558,1.325776,0.168816,1.004289,2.529676,0.474269,2.607504
2049,2.984837,1.298944,1.680766,1.364214,0.16795,1.004726,2.625262,0.425213,2.676126
2050,2.927017,1.317363,1.685399,1.45559,0.15661,0.990377,2.632061,0.381755,2.65857
