year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,0.85818,2.64274,3.35827,1.549812,2.864664,1.354117,5.379282,4.756302,2.707125
2011,0.915348,2.719853,3.525401,1.555518,2.934925,1.416257,5.529355,4.79351,2.54856
2012,0.879083,2.770951,3.547677,1.491081,3.280124,1.540446,5.730931,4.903691,2.803605
2013,0.859505,2.891799,3.818099,1.645916,3.261053,1.455897,5.577358,4.972179,2.896845
2014,0.857731,3.120449,4.045156,1.68047,3.326574,1.544663,5.646739,5.000559,2.784841
2015,0.905922,3.099138,3.886718,1.574979,3.663951,1.696394,5.951674,5.255469,2.76397
2016,0.856641,3.156144,3.920965,1.638642,3.73514,1.74669,5.803449,1.581652,2.775395
2017,0.879541,3.11356,3.997107,1.7296,3.888779,1.767733,5.922212,1.576464,2.827698
2018,0.930977,3.316355,4.395236,1.846236,4.067651,1.912479,6.697608,1.676031,2.952353
2019,0.884488,3.505682,4.660842,1.971532,4.330067,1.958889,7.141617,1.985658,2.948652
2020,0.84926,3.616957,4.56676,1.906665,4.201263,1.974559,7.048672,1.882971,2.845356
2021,0.879326,3.668216,4.409971,1.893417,3.976987,1.841467,6.866061,1.922016,2.946812
2022,0.90104,3.698702,4.556696,1.883036,4.103266,1.799466,6.926857,1.757468,2.954903
2023,0.88052,3.755859,4.86309,1.879862,4.161429,1.944959,6.990527,1.823149,2.92931
2024,0.862329,3.740246,5.145397,1.914921,4.351918,2.030377,7.222235,1.817037,2.970178
2025,0.781587,3.700341,5.247688,2.017301,4.377783,2.00068,7.333342,1.845495,3.068446
2026,0.768322,3.62948,5.310527,2.045827,4.333424,2.025203,7.544014,1.878871,3.120092
2027,0.766151,3.615576,5.502223,2.034529,4.302686,2.008341,7.741717,1.882123,3.119451
2028,0.766413,3.609296,5.725901,2.06367,4.463197,2.194814,7.864528,1.903765,3.13473
2029,0.755394,3.544993,5.832842,2.034563,4.307484,2.228064,7.907824,1.929618,3.081324
2030,0.740053,3.53038,5.859005,2.03706,4.225384,2.224576,7.950974,1.948316,3.089477
2031,0.742776,3.471901,5.952004,2.048911,4.229167,2.22972,8.036294,2.123017,2.831295
2032,0.747539,3.451255,6.087227,2.060233,4.203396,2.293487,8.035779,2.208529,2.823135
2033,0.750664,3.678361,6.393673,2.088251,4.29006,2.383084,8.324415,2.23992,2.827567
2034,0.752883,3.624462,6.512916,2.104875,4.261925,2.419786,8.341354,2.269487,2.857092
2035,0.756389,3.540163,6.589335,2.115762,4.227019,2.388839,8.363414,2.306654,2.864803
2036,0.76116,3.502221,6.665844,2.130761,4.191737,2.410358,8.370697,2.334878,2.899265
2037,0.765297,3.484046,6.729573,2.148707,4.221434,2.432322,8.472153,2.364945,2.900652
2038,0.771494,3.492804,6.807817,2.181904,4.289771,2.45978,8.562746,2.410249,2.891592
2039,0.795767,3.540244,6.910637,2.194495,4.357934,2.483182,8.653169,2.444715,2.909341
2040,0.802238,3.576776,6.997577,2.211424,4.393657,2.534969,8.802673,2.451617,2.938188
2041,0.8146,3.590703,7.080255,2.242695,4.450784,2.559501,8.922832,2.46835,2.955271
2042,0.819981,3.614361,7.153168,2.275576,4.486493,2.589074,9.033112,2.475248,2.990715
2043,0.822465,3.653533,7.263205,2.294256,4.577357,2.626797,9.189615,2.436584,3.0303
2044,0.812006,3.70858,7.361364,2.299036,4.546261,2.681836,9.303051,2.45048,3.030019
2045,0.811198,3.720609,7.450891,2.332853,4.5363,2.727692,9.409112,2.39979,3.075863
2046,0.822825,3.852975,7.550648,2.350378,4.551878,2.784527,9.511321,2.41139,3.126602
2047,0.8274,3.890327,7.647831,2.36262,4.583962,2.825125,9.64477,2.467659,3.152786
2048,0.835953,3.979982,7.710931,2.422513,4.678284,2.858034,9.753057,2.500009,3.185626
2049,0.851558,4.026575,7.794944,2.43359,4.712185,2.890383,9.824904,2.538509,3.199432
2050,0.869027,4.074288,7.884821,2.467935,4.723527,2.931575,10.006982,2.527252,3.258297
