year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,0.42,0.89,0.326,0.124,1.544,0.567,2.049,0.641,0.989
2011,0.456,0.965,0.395,0.117,1.671,0.639,2.188,0.567,0.766
2012,0.44768,1.15412,0.6556,0.17066,2.04285,0.7973,2.33724,0.66283,1.04455
2013,0.37155,1.06634,0.4753,0.13982,1.88271,0.62896,2.07546,0.65072,1.06898
2014,0.34175,1.13148,0.48286,0.10807,1.89625,0.67191,2.02567,0.64891,1.07373
2015,0.39761,1.23645,0.71331,0.14716,2.3301,0.87542,2.43411,0.75092,1.08443
2016,0.39318,1.3445,0.91214,0.19192,2.46983,0.9619,2.35184,0.76576,0.91791
2017,0.37141,1.19616,0.81026,0.17219,2.47589,0.9109,2.06317,0.69033,0.8409
2018,0.400312,1.294711,1.007672,0.195773,2.525427,0.998826,2.684061,0.763962,0.873542
2019,0.338695,1.448849,1.184577,0.227656,2.787696,1.028235,2.937419,0.987528,0.834144
2020,0.255681,1.589167,1.197217,0.201429,2.761682,1.011968,2.833459,0.958761,0.740374
2021,0.314603,1.497088,1.128049,0.170259,2.735365,0.995992,2.62101,0.935427,0.757114
2022,0.272146,1.439642,1.091072,0.177353,2.713847,0.994997,2.388807,0.814461,0.745817
2023,0.238261,1.349393,1.193556,0.144245,2.578837,0.859852,2.344054,0.70966,0.671736
2024,0.241471,1.224497,1.145806,0.136827,2.384197,0.827518,2.286992,0.696548,0.602477
2025,0.229663,1.167347,1.150673,0.135402,2.19319,0.766432,2.355797,0.659516,0.655582
2026,0.199275,1.120353,1.078307,0.134986,1.955201,0.67359,2.246074,0.680997,0.687536
2027,0.196864,1.074825,1.071481,0.130578,1.807048,0.611046,2.066046,0.634446,0.675635
2028,0.179303,1.014583,1.029569,0.127568,1.651087,0.538392,1.904412,0.645887,0.618602
2029,0.174031,0.955176,1.063205,0.127378,1.537364,0.535253,1.839314,0.622107,0.608553
2030,0.151103,0.899572,1.001741,0.128448,1.489955,0.514132,1.810068,0.563057,0.604503
2031,0.142626,0.865276,1.005842,0.133003,1.380674,0.480993,1.820277,0.627995,0.483837
2032,0.139598,0.877634,0.960579,0.132327,1.389899,0.461341,1.791894,0.618323,0.483525
2033,0.140269,0.915864,0.943392,0.13361,1.386797,0.440337,1.816673,0.598448,0.479386
2034,0.145127,0.949082,0.956408,0.132916,1.423898,0.446539,1.802793,0.599902,0.481044
2035,0.139508,0.837691,0.978706,0.130732,1.425211,0.453823,1.810309,0.596629,0.488359
2036,0.14247,0.826708,0.987303,0.130532,1.450845,0.442851,1.756711,0.601262,0.497524
2037,0.144497,0.841953,0.967414,0.131534,1.453371,0.446745,1.734924,0.598474,0.506065
2038,0.15079,0.83633,0.919699,0.125958,1.486662,0.44174,1.727063,0.613673,0.511752
2039,0.154418,0.806185,0.907329,0.132381,1.513989,0.428785,1.703623,0.61423,0.521034
2040,0.155695,0.843518,0.900539,0.132762,1.496518,0.434802,1.665566,0.58368,0.527239
2041,0.161409,0.79739,0.900764,0.119596,1.449021,0.443532,1.615883,0.5836,0.532847
2042,0.166082,0.78278,0.885562,0.116017,1.346444,0.448684,1.596969,0.595036,0.532266
2043,0.169,0.760104,0.881655,0.107574,1.334861,0.443413,1.586556,0.596897,0.538759
2044,0.17428,0.77305,0.871388,0.107375,1.317908,0.409028,1.568417,0.618726,0.539677
2045,0.179529,0.76517,0.83838,0.125029,1.344446,0.407817,1.574034,0.628544,0.536382
2046,0.182492,0.763348,0.79646,0.141242,1.374728,0.405666,1.602438,0.631871,0.530117
2047,0.182571,0.73326,0.764852,0.120368,1.400045,0.396351,1.612712,0.64376,0.531011
2048,0.183001,0.742308,0.752645,0.095585,1.389169,0.398172,1.599383,0.656091,0.537002
2049,0.183666,0.751208,0.753132,0.093442,1.360893,0.385817,1.593208,0.661721,0.540879
2050,0.184594,0.72794,0.716805,0.120544,1.365931,0.395902,1.57424,0.649998,0.541909
