year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,0.85818,2.64274,3.35827,1.549812,2.864664,1.354117,5.379282,4.756302,2.707125
2011,0.915348,2.719853,3.525401,1.555518,2.934925,1.416257,5.529355,4.79351,2.54856
2012,0.879083,2.770951,3.547677,1.491081,3.280124,1.540446,5.730931,4.903691,2.803605
2013,0.859505,2.891799,3.818099,1.645916,3.261053,1.455897,5.577358,4.972179,2.896845
2014,0.857731,3.120449,4.045156,1.68047,3.326574,1.544663,5.646739,5.000559,2.784841
2015,0.905922,3.099138,3.886718,1.574979,3.663951,1.696394,5.951674,5.255469,2.76397
2016,0.856641,3.156144,3.920965,1.638642,3.73514,1.74669,5.803449,1.581652,2.775395
2017,0.879541,3.11356,3.997107,1.7296,3.888779,1.767733,5.922212,1.576464,2.827698
2018,0.930977,3.316355,4.395236,1.846236,4.067651,1.912479,6.697608,1.676031,2.952353
2019,0.885024,3.505027,4.664316,1.971775,4.323184,1.960484,7.143601,1.984559,2.949458
2020,0.84774,3.610102,4.57387,1.904959,4.212272,1.967167,7.050152,1.889096,2.848881
2021,0.878255,3.666977,4.414782,1.893023,3.968929,1.847816,6.868584,1.920606,2.948856
2022,0.886498,3.662668,4.523389,1.877772,4.048668,1.752441,6.767573,1.764487,2.929107
2023,0.849736,3.5586,4.655293,1.776347,3.777607,1.693268,6.307072,1.710056,2.812594
2024,0.784418,3.501966,4.606225,1.762694,3.64927,1.71583,5.989355,1.565536,2.742997
2025,0.754889,3.391207,4.516746,1.748155,3.419523,1.583693,5.734647,1.48702,2.762192
2026,0.740744,3.28248,4.459019,1.726377,3.085561,1.565751,5.615387,1.461595,2.788375
2027,0.738561,3.172568,4.403214,1.715001,2.946142,1.502686,5.583823,1.455553,2.763839
2028,0.70946,3.132067,4.348853,1.695862,2.821477,1.463868,5.52658,1.441543,2.752621
2029,0.698046,3.114672,4.271569,1.672204,2.778729,1.433436,5.42401,1.419163,2.740861
2030,0.694338,2.984531,4.198002,1.659779,2.630671,1.347355,5.339178,1.41953,2.70938
2031,0.690779,2.902835,4.153253,1.658974,2.581754,1.331538,5.254703,1.406218,2.671494
2032,0.69442,2.87114,4.107848,1.656972,2.586673,1.298618,5.276783,1.408728,2.682721
2033,0.696365,2.861579,4.11155,1.642316,2.578164,1.284433,5.295206,1.465872,2.598405
2034,0.698472,2.827751,4.074818,1.639611,2.544101,1.276612,5.307213,1.49219,2.600496
2035,0.701806,2.735945,4.037307,1.650857,2.517657,1.294977,5.304742,1.502253,2.602024
2036,0.704127,2.700952,4.033181,1.650748,2.544595,1.287911,5.308472,1.50864,2.608716
2037,0.706995,2.681549,4.035801,1.652725,2.534397,1.28684,5.314235,1.520753,2.625883
2038,0.710233,2.693789,4.049239,1.660488,2.547063,1.29326,5.35575,1.526605,2.646705
2039,0.711618,2.703631,4.052649,1.664614,2.5563,1.294451,5.384126,1.539638,2.655166
2040,0.714973,2.689204,4.034669,1.687852,2.597396,1.284264,5.391679,1.5623,2.682793
2041,0.728775,2.689954,4.049073,1.668414,2.58614,1.296038,5.42701,1.579769,2.711413
2042,0.733856,2.706231,4.051045,1.677108,2.629965,1.313798,5.462042,1.600327,2.727594
2043,0.737816,2.711709,4.064627,1.684552,2.670077,1.343286,5.51876,1.619844,2.742554
2044,0.719662,2.721399,4.088698,1.704363,2.668236,1.360318,5.571846,1.627364,2.779968
2045,0.722079,2.724731,4.069792,1.708279,2.691489,1.375265,5.655191,1.653187,2.786079
2046,0.723796,2.727338,4.082049,1.698271,2.645773,1.398711,5.687125,1.657502,2.813221
2047,0.725352,2.723466,4.042662,1.698819,2.650318,1.394134,5.700559,1.65117,2.839767
2048,0.724496,2.726128,4.059053,1.69955,2.667349,1.391555,5.72599,1.664829,2.848656
2049,0.725693,2.731874,4.024613,1.718365,2.665288,1.415746,5.758194,1.661287,2.861833
2050,0.728581,2.736277,4.012815,1.727892,2.71946,1.408709,5.806758,1.706693,2.890672
