Scenario,Dollar.Year
AEO_2018_reference,2017
AEO_2018_HOG,2017
AEO_2018_LOG,2017
AEO_2019_reference,2018
AEO_2019_HOG,2018
AEO_2019_LOG,2018
AEO_2020_reference,2019
AEO_2020_HOG,2019
AEO_2020_LOG,2019
reference,2019
