r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central,MEX
p1,0,0,0,0.07836396,0,0.92163604,0,0,0,0
p2,0,0,0,0.101362463,0,0.898637537,0,0,0,0
p3,0,0,0,0.273461637,0,0.726538363,0,0,0,0
p4,0,0,0,0.122057078,0,0.877942922,0,0,0,0
p5,0,0,0,0.134107033,0,0.865892967,0,0,0,0
p6,0,0,0,0.172702384,0,0.827297616,0,0,0,0
p7,0,0,0,0.247823934,0,0.752176066,0,0,0,0
p8,0,0,0,0.272803208,0,0.727196792,0,0,0,0
p9,0,0,0,0.174772799,0,0.825227201,0,0,0,0
p10,0,0,0,0.197818753,0,0.802181247,0,0,0,0
p11,0,0,0,0.286475248,0,0.713524752,0,0,0,0
p12,0,0,0,0.714994181,0,0.285005819,0,0,0,0
p13,0,0,0,0.436257059,0,0.563742941,0,0,0,0
p14,0,0,0,0.583537376,0,0.416462624,0,0,0,0
p15,0,0,0,0.592387768,0,0.407612232,0,0,0,0
p16,0,0,0,0.831858692,0,0.168141308,0,0,0,0
p17,0,0,0,0.847206086,0,0.152793914,0,0,0,0
p18,0,0,0,1,0,0,0,0,0,0
p19,0,0,0,1,0,0,0,0,0,0
p20,0,0,0,1,0,0,0,0,0,0
p21,0,0,0,1,0,0,0,0,0,0
p22,0,0,0,1,0,0,0,0,0,0
p23,0,0,0,1,0,0,0,0,0,0
p24,0,0,0,1,0,0,0,0,0,0
p25,0,0,0,1,0,0,0,0,0,0
p26,0,0,0,1,0,0,0,0,0,0
p27,0,0,0,0.543055783,0,0.456944217,0,0,0,0
p28,0,0,0,0.781579667,0,0.218420333,0,0,0,0
p29,0,0,0,1,0,0,0,0,0,0
p30,0,0,0,0.688343621,0,0.311656379,0,0,0,0
p31,0,0,0,1,0,0,0,0,0,0
p32,0,0,0,1,0,0,0,0,0,0
p33,0,0,0,1,0,0,0,0,0,0
p34,0,0,0,1,0,0,0,0,0,0
p35,0,0,0,0,0,0,0,1,0,0
p36,0,0,0,0,0,0,0,1,0,0
p37,0,0,0,0,0,0,0,1,0,0
p38,0,0,0,0,0,0,0,1,0,0
p39,0,0,0,0,0,0,0,1,0,0
p40,0,0,0,0,0,0,0,1,0,0
p41,0,0,0,0,0,0,0,1,0,0
p42,0.271929178,0,0,0,0,0,0,0.728070822,0,0
p43,0.247463309,0,0,0,0,0,0,0.752536691,0,0
p44,0.230829726,0,0,0,0,0,0,0.769170274,0,0
p45,0.154381035,0,0,0,0,0,0,0.845618965,0,0
p46,0.734916168,0,0,0,0,0,0,0.265083832,0,0
p47,0,0,0,0,0,0,0,0,1,0
p48,0,0,0,0,0,0,0,0.200324257,0.799675743,0
p49,0,0,0,0,0,0,0,0.398220093,0.601779907,0
p50,0,0,0,0,0,0,0,0.322625883,0.677374117,0
p51,0,0,0,0,0,0,0,0.468706279,0.531293721,0
p52,0,0,0,0,0,0,0,0.81559347,0.18440653,0
p53,0,0,0,0,0,0,0,0.729610499,0.270389501,0
p54,0.091420221,0,0,0,0,0,0,0.832642173,0.075937606,0
p55,0.15176953,0,0,0,0,0,0,0.576625911,0.271604559,0
p56,0,0.151367295,0,0,0,0,0,0.235315205,0.613317499,0
p57,0,0.062158822,0,0,0,0,0,0,0.937841178,0
p58,0,0.267222811,0,0,0,0,0,0,0.732777189,0
p59,0,0,0,1,0,0,0,0,0,0
p60,0,0,0,0,0,0,0,0,1,0
p61,0,0,0,0,0,0,0,0,1,0
p62,0,0,0,0,0,0,0,0,1,0
p63,0,0,0,0,0,0,0,0,1,0
p64,0,0,0,0,0,0,0,0,1,0
p65,0,0,0,0,0,0,0,0,1,0
p66,0,0.244799019,0,0,0,0,0,0,0.755200981,0
p67,0,0,0,0,0,0,0,0,1,0
p68,0.427216407,0,0,0,0,0,0,0.572783593,0,0
p69,0.32243677,0,0,0,0,0,0,0.67756323,0,0
p70,0.165301933,0,0,0,0,0,0,0.834698067,0,0
