t,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC,MEX
2010,4.186410357,4.052766604,4.614657261,4.259404601,4.587537951,4.086682982,5.104217317,4.566200772,3.904710115,4.256134025
2011,3.787458194,3.563442066,4.239908225,3.990429507,4.118877095,3.851129767,4.494406997,4.243580698,3.555254087,3.875226955
2012,1.117944243,0.718429725,1.478757686,1.220708052,1.542136337,1.476485805,1.801413288,1.497741844,0.954912144,1.852105418
2013,2.077160459,1.690235492,2.388318033,2.072903418,3.446387383,2.181840055,2.395385075,2.459423421,1.829488055,2.805393161
2014,2.814475643,2.116167834,2.687793935,2.370129264,3.872445844,2.583257434,2.821136874,3.172357015,2.321029429,3.341173259
2015,0.665696772,0.381688973,0.745947149,0.771447359,1.796384917,0.987988214,1.350566658,1.181231069,0.635543129,1.503993191
2016,0.53891035,0.039588651,0.618041658,0.325044505,1.511995405,0.635908366,0.927490232,0.605065278,0.273632216,1.379927356
2017,1.09845309,0.684933102,1.069368696,1.112569097,1.761467658,1.28389801,1.451367337,1.280650309,0.953688668,1.850771829
2018,1.038516777,0.653365343,1.220826794,1.073957506,1.868721205,1.30464332,1.411298921,1.266164636,0.908165014,1.801151047
2019,1.193627921,0.84549293,1.37207623,1.232312905,1.784652247,1.481226829,1.540974386,1.490325067,1.090393816,1.99978044
2020,1.454544966,1.189113804,1.580759597,1.524785233,1.998050323,1.668234632,1.789096209,1.83422523,1.377103373,2.312293858
2021,1.417697067,1.142910381,1.517335804,1.540609085,1.9366054,1.66882151,1.740517318,1.795428427,1.352626765,2.285614354
2022,1.428622037,1.150096703,1.498656027,1.55002157,1.923111977,1.665319477,1.736807602,1.811511863,1.369993791,2.304544413
2023,1.501750968,1.192664721,1.552587264,1.642074562,1.986166567,1.733832437,1.830300522,1.866165302,1.454779167,2.396960473
2024,1.595016696,1.325156339,1.618897417,1.755176571,2.085308711,1.847325467,1.927145939,1.994949435,1.579570767,2.532983317
2025,1.656987551,1.399343258,1.675260401,1.855120351,2.133432705,1.976464045,2.013172803,2.066145526,1.676558242,2.638699665
2026,1.676962453,1.451918376,1.682346536,1.892998469,2.155150506,2.02905039,2.042823031,2.111572377,1.710579058,2.675782354
2027,1.672303156,1.463253415,1.690121793,1.918601648,2.163982428,2.055757998,2.065778249,2.122686892,1.740910719,2.708843865
2028,1.636697618,1.429066476,1.655169641,1.910272443,2.137085742,2.034404405,2.037267182,2.11823899,1.732433116,2.699603278
2029,1.659888737,1.440091957,1.705243306,1.943796833,2.192409484,2.062414112,2.075192926,2.130972713,1.771274473,2.741940356
2030,1.656904276,1.457996418,1.699336236,1.943885642,2.204921691,2.048244313,2.064501715,2.141106649,1.769914811,2.740458325
2031,1.633656445,1.438744847,1.694550444,1.930874146,2.202668643,2.021857651,2.046655444,2.128573058,1.759429976,2.729029855
2032,1.64728424,1.43629803,1.712079879,1.950240009,2.226473871,2.039195701,2.057979833,2.139703171,1.774068688,2.744986051
2033,1.628182478,1.426834828,1.703076106,1.946055692,2.216382358,2.036065092,2.049592593,2.126314773,1.763109431,2.733040461
2034,1.610606517,1.434248752,1.696296764,1.946284471,2.214175063,2.037087143,2.032183054,2.121733187,1.74792423,2.716488591
2035,1.600352743,1.413358864,1.691533952,1.946428347,2.209210969,2.040093335,2.019675852,2.119787305,1.740486987,2.708381997
2036,1.663975325,1.466671142,1.758658552,2.02169469,2.298102435,2.120153392,2.078270889,2.193738328,1.811041247,2.78528614
2037,1.641636461,1.44790635,1.74488158,2.013091461,2.288946736,2.114881749,2.057497254,2.178385529,1.796489786,2.769425048
2038,1.680406528,1.494242065,1.789939221,2.08264349,2.335479044,2.164021631,2.109397828,2.243023499,1.849418679,2.827117541
2039,1.705893529,1.529781221,1.81115218,2.118241445,2.35917092,2.205278877,2.134575702,2.284049486,1.880172901,2.860639643
2040,1.700716397,1.523929087,1.80962544,2.128576041,2.365436241,2.228488085,2.138214567,2.293651932,1.882872098,2.863581767
2041,1.69912505,1.517218538,1.816272384,2.143696583,2.376822488,2.265131408,2.143790418,2.297804333,1.89016718,2.871533407
2042,1.709205777,1.52537551,1.839692302,2.174211989,2.402499943,2.31126008,2.15594695,2.321461374,1.908643224,2.891672295
2043,1.722522269,1.536326392,1.848625339,2.212635242,2.41228046,2.344503652,2.165150568,2.360165946,1.92838803,2.913194134
2044,1.763173616,1.577998843,1.889634326,2.272046956,2.46226206,2.42768671,2.216032687,2.413370122,1.981509755,2.971096814
2045,1.778859249,1.59446705,1.917320403,2.3105012,2.491923292,2.483738242,2.235262233,2.420469614,2.004541432,2.996201342
2046,1.806864664,1.612077717,1.942262904,2.335630887,2.524098674,2.465615861,2.255263924,2.466096029,2.024624369,3.018091743
2047,1.826913693,1.629332117,1.972155425,2.367549468,2.562000069,2.507259156,2.276676589,2.4971579,2.047682994,3.043225644
2048,1.874641212,1.664925888,2.021493058,2.451244843,2.621970577,2.576495017,2.321667724,2.575137795,2.105212514,3.105932822
2049,1.912014739,1.709368245,2.070949432,2.493118648,2.670271762,2.621533028,2.366097401,2.625423834,2.144565791,3.148827893
2050,1.940578595,1.758827987,2.113272099,2.554482828,2.721381294,2.694273612,2.399099489,2.70133439,2.186263693,3.194278606
