year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,0.85818,2.64274,3.35827,1.549812,2.864664,1.354117,5.379282,4.756302,2.707125
2011,0.915348,2.719853,3.525401,1.555518,2.934925,1.416257,5.529355,4.79351,2.54856
2012,0.879083,2.770951,3.547677,1.491081,3.280124,1.540446,5.730931,4.903691,2.803605
2013,0.859505,2.891799,3.818099,1.645916,3.261053,1.455897,5.577358,4.972179,2.896845
2014,0.857731,3.120449,4.045156,1.68047,3.326574,1.544663,5.646739,5.000559,2.784841
2015,0.905922,3.099138,3.886718,1.574979,3.663951,1.696394,5.951674,5.255469,2.76397
2016,0.856641,3.156144,3.920965,1.638642,3.73514,1.74669,5.803449,1.581652,2.775395
2017,0.879541,3.11356,3.997107,1.7296,3.888779,1.767733,5.922212,1.576464,2.827698
2018,0.930977,3.316355,4.395236,1.846236,4.067651,1.912479,6.697608,1.676031,2.952353
2019,0.885024,3.505027,4.664316,1.971775,4.323184,1.960484,7.143601,1.984559,2.949458
2020,0.84774,3.610102,4.57387,1.904959,4.212272,1.967167,7.050152,1.889096,2.848881
2021,0.788853,3.510477,4.174324,1.767421,3.869848,1.778461,6.518353,1.689491,2.760805
2022,0.812624,3.411098,4.443623,1.723301,3.677885,1.681608,6.295885,1.648443,2.753619
2023,0.763287,3.468335,4.5615,1.771102,3.668638,1.691548,6.360206,1.568879,2.762705
2024,0.751268,3.461371,4.541898,1.753566,3.665783,1.687279,6.192395,1.434278,2.681866
2025,0.746007,3.451163,4.558244,1.784754,3.739253,1.738296,6.145002,1.450462,2.69524
2026,0.741838,3.353179,4.48291,1.768934,3.481362,1.614318,6.157372,1.463035,2.74706
2027,0.736631,3.293436,4.459043,1.755144,3.316625,1.558091,6.036276,1.458421,2.7264
2028,0.739004,3.196558,4.369366,1.747912,3.111017,1.439629,5.915158,1.459563,2.718611
2029,0.719369,3.149017,4.336447,1.742892,3.036234,1.419871,5.84608,1.464816,2.700078
2030,0.700933,3.014638,4.294816,1.744415,2.976534,1.388904,5.87528,1.456705,2.692726
2031,0.694488,2.987962,4.294244,1.746029,2.949866,1.383925,5.901211,1.545529,2.530918
2032,0.695174,2.973673,4.283862,1.741955,2.945594,1.399724,5.89247,1.588803,2.510781
2033,0.695404,2.968483,4.279289,1.745528,2.947423,1.389841,5.909971,1.614585,2.493268
2034,0.698457,2.938793,4.220091,1.757869,2.971397,1.347013,5.880148,1.6149,2.501263
2035,0.698124,2.828987,4.213072,1.748217,2.994529,1.350805,5.86972,1.623076,2.508482
2036,0.696489,2.824477,4.200212,1.754467,3.009455,1.342679,5.89629,1.620424,2.519731
2037,0.697996,2.847672,4.202823,1.760735,3.025056,1.347548,5.943949,1.620464,2.53862
2038,0.708023,2.87235,4.208373,1.787178,2.985349,1.373564,6.034799,1.658905,2.552413
2039,0.714076,2.874819,4.223083,1.791503,3.000646,1.392092,6.040287,1.655324,2.556936
2040,0.716483,2.856225,4.225834,1.797577,2.988383,1.362819,6.044952,1.657733,2.558139
2041,0.723404,2.852322,4.238801,1.80809,2.984049,1.357894,6.061563,1.675107,2.55706
2042,0.725358,2.812835,4.271334,1.811971,3.012232,1.35962,6.078266,1.686618,2.569178
2043,0.730175,2.799581,4.267185,1.823326,2.95445,1.376944,6.164027,1.683067,2.588927
2044,0.726706,2.761583,4.254241,1.842486,2.927068,1.387799,6.150735,1.691136,2.596045
2045,0.731041,2.756656,4.186804,1.84883,2.957443,1.386471,6.246334,1.671122,2.61963
2046,0.731884,2.747629,4.205571,1.851511,2.966494,1.387318,6.294976,1.695051,2.63508
2047,0.733175,2.772828,4.16231,1.854939,2.983336,1.402349,6.284323,1.723566,2.656409
2048,0.734353,2.787056,4.187091,1.839682,3.006456,1.40676,6.284161,1.723034,2.660933
2049,0.737894,2.803014,4.199007,1.864003,2.980977,1.392934,6.311009,1.716655,2.675643
2050,0.740614,2.802577,4.211276,1.876075,2.916566,1.356269,6.343519,1.725616,2.674091
