year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,0.420,0.890,0.326,0.124,1.544,0.567,2.049,0.641,0.989
2011,0.456,0.965,0.395,0.117,1.671,0.639,2.188,0.567,0.766
2012,0.448,1.154,0.656,0.171,2.043,0.797,2.337,0.663,1.045
2013,0.372,1.066,0.475,0.140,1.883,0.629,2.075,0.651,1.069
2014,0.34175,1.13148,0.48286,0.10807,1.89625,0.67191,2.02567,0.64891,1.07373
2015,0.39761,1.23645,0.71331,0.14716,2.3301,0.87542,2.43411,0.75092,1.08443
2016,0.39318,1.3445,0.91214,0.19192,2.46983,0.9619,2.35184,0.76576,0.91791
2017,0.37141,1.19616,0.81026,0.17219,2.47589,0.9109,2.06317,0.69033,0.8409
2018,0.400348,1.299859,1.002615,0.189721,2.524155,0.995077,2.664792,0.760402,0.871719
2019,0.338651,1.451554,1.185716,0.228314,2.790259,1.029824,2.928261,0.988215,0.834003
2020,0.360853,1.684218,1.262778,0.247312,2.768037,1.047204,2.940385,0.954761,0.847681
2021,0.343424,1.653161,1.087098,0.19469,2.46062,0.920302,2.73498,0.945748,0.888837
2022,0.366764,1.998683,1.476179,0.259339,2.604225,0.89925,2.799392,0.946573,0.850609
2023,0.313367,1.706365,1.435218,0.221068,2.498634,0.873777,2.494542,0.795222,0.791027
2024,0.274728,1.487367,1.214665,0.159076,2.220431,0.762225,1.955377,0.672705,0.65544
2025,0.21798,1.407215,1.093565,0.152813,1.913679,0.693366,1.713207,0.612969,0.687514
2026,0.194359,1.255334,1.008865,0.145144,1.57265,0.569105,1.471294,0.568226,0.709196
2027,0.183899,1.15992,0.910513,0.108513,1.249104,0.43369,1.190893,0.428542,0.58844
2028,0.187193,0.971313,0.825028,0.103875,1.071958,0.342827,0.98871,0.366187,0.538171
2029,0.169133,0.87372,0.717105,0.080915,1.047165,0.308779,0.923672,0.325623,0.488475
2030,0.137313,0.714795,0.551857,0.081094,0.848231,0.272013,0.890599,0.27539,0.455044
2031,0.142133,0.633757,0.515065,0.075465,0.854823,0.24642,0.877888,0.254972,0.437347
2032,0.142112,0.640003,0.498261,0.067516,0.75244,0.227977,0.875225,0.289757,0.434607
2033,0.146954,0.657162,0.472905,0.063862,0.767643,0.242897,0.872529,0.28636,0.406404
2034,0.146517,0.678565,0.474105,0.063729,0.755473,0.243442,0.870152,0.290248,0.414829
2035,0.147969,0.631319,0.46575,0.081808,0.765922,0.248656,0.882823,0.282448,0.425103
2036,0.144341,0.634269,0.470402,0.070642,0.751545,0.249641,0.874106,0.283426,0.394065
2037,0.143115,0.621559,0.482583,0.076316,0.74149,0.260894,0.87507,0.283145,0.398235
2038,0.144143,0.630968,0.49932,0.095366,0.71384,0.274271,0.897745,0.301872,0.400138
2039,0.142168,0.642237,0.528256,0.081072,0.68483,0.27546,0.911073,0.289295,0.414802
2040,0.147299,0.640714,0.540039,0.079157,0.710274,0.268246,0.90013,0.285096,0.420615
2041,0.143352,0.637488,0.55401,0.081058,0.750263,0.274525,0.886399,0.286311,0.430134
2042,0.15028,0.63242,0.550314,0.082974,0.711455,0.286559,0.895801,0.295421,0.433715
2043,0.163098,0.634682,0.556694,0.081753,0.756129,0.280809,0.882713,0.331632,0.420291
2044,0.139842,0.662481,0.566833,0.086115,0.749902,0.27576,0.874783,0.341387,0.42876
2045,0.133843,0.616813,0.571097,0.087435,0.75281,0.268873,0.883645,0.351458,0.427164
2046,0.133835,0.560047,0.577287,0.091524,0.743599,0.286621,0.888866,0.361269,0.422791
2047,0.137147,0.552402,0.55921,0.105817,0.734651,0.279831,0.885683,0.365715,0.398795
2048,0.126953,0.559868,0.540231,0.102954,0.72761,0.278259,0.892699,0.34466,0.420057
2049,0.137295,0.575885,0.580194,0.092118,0.757378,0.272706,0.926844,0.349355,0.395341
2050,0.122734,0.607477,0.586883,0.103555,0.734051,0.289134,0.948964,0.346366,0.420447
