year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.090994509,6.864627039,7.816364499,7.214633076,7.770429471,6.922075026,8.645587478,7.734288289,6.613847095
2011,6.415244319,6.035802983,7.18160987,6.759039679,6.97660582,6.523092028,7.61268309,7.187830351,6.02193408
2012,4.318396288,4.171336784,4.920954844,4.812692187,5.125687655,4.981962978,5.744142178,4.836968152,4.086242117
2013,5.644571605,5.425661349,6.221772114,6.026713986,8.068124701,5.966594412,6.488062275,6.217397452,5.311725257
2014,6.901573833,6.196133723,6.749785557,6.533248299,8.76920153,6.652865218,7.217679522,7.398615429,6.14190783
2015,3.728469276,3.831858045,3.850319999,4.283486413,5.664139452,4.318227659,5.209638268,4.428216598,3.709608103
2016,3.604329269,3.348941929,3.661067671,3.544383574,5.148299225,3.667086135,4.514280196,3.500406617,3.097469786
2017,4.251331621,4.060241034,4.159690249,4.195250431,5.355284536,4.189158392,4.872571007,4.469496963,3.814340823
2018,4.083060596,4.025984863,4.228362317,4.311701697,5.88125378,4.317322045,4.693187815,4.334410199,3.784559467
2019,3.074154645,3.292143502,3.569319762,3.555691398,5.476462081,3.748837112,4.098978687,3.352608181,2.850897331
2020,2.433600778,2.771317586,2.922260883,3.117010526,4.894556598,3.305044956,3.535609065,2.854163977,2.372945838
2021,5.212049868,5.940867196,5.323929817,6.295938071,7.947848278,6.712710202,6.632815785,5.658208013,5.441225141
2022,6.736810455,7.910931077,6.175171066,7.816437211,8.928908764,8.040398193,8.54369206,7.627994713,7.360516678
2023,2.576696503,2.93427106,3.094089823,3.300290745,5.182356526,3.499381599,3.743502878,3.021988819,2.512475054
2024,2.28508,2.645327,2.26953,2.841191,3.914745,3.178771,3.581676,2.605072,2.19948
2025,2.837277,3.142428,2.724665,3.296411,3.945919,3.449765,3.846201,3.162053,2.702884
2026,2.763278,3.055122,2.780215,3.156343,3.819109,3.232441,3.765639,3.076137,2.602545
2027,2.703812,2.988694,2.636923,3.122164,3.43536,3.154894,3.837702,3.054238,2.549224
2028,2.762565,3.127218,2.576812,3.269873,3.240752,3.344125,3.78544,3.195382,2.701754
2029,2.91825,3.306478,2.643674,3.513918,3.229812,3.63497,4.085795,3.398271,2.910596
2030,3.049576,3.512392,2.773706,3.861304,3.129285,4.01986,4.087484,3.646155,3.163967
2031,3.170081,3.613755,2.866469,4.079747,3.326129,4.274564,4.101537,3.762861,3.303848
2032,3.635774,4.085257,3.222987,4.733683,3.779099,4.89114,4.559186,4.423059,3.843493
2033,3.881344,4.388517,3.483385,5.040173,4.071227,5.191451,4.842482,4.704285,4.214373
2034,3.987692,4.544195,3.598001,5.230925,4.168971,5.384827,4.962396,4.772688,4.409548
2035,4.04547,4.609845,3.631619,5.303466,4.199443,5.41206,5.016607,4.784186,4.425838
2036,4.036805,4.556694,3.610814,5.251937,4.265835,5.28292,5.044314,4.780307,4.374448
2037,3.899876,4.464017,3.518157,5.176685,4.120316,5.104523,4.979167,4.672058,4.317363
2038,3.733063,4.376263,3.376865,5.154803,3.99361,5.010477,4.909653,4.56643,4.273121
2039,3.681409,4.286094,3.256926,5.160571,3.816716,4.923649,4.850672,4.408439,4.233821
2040,3.662889,4.299133,3.215503,5.306404,3.872509,5.055543,4.854046,4.491251,4.305593
2041,3.723782,4.361627,3.252421,5.505489,3.966687,5.287903,4.880734,4.649086,4.432408
2042,3.77397,4.390012,3.298153,5.683669,4.091134,5.408764,4.925858,4.751801,4.548378
2043,3.805754,4.522407,3.344024,5.836872,4.169929,5.563621,5.008918,4.807343,4.704851
2044,3.800041,4.578125,3.347215,5.905303,4.087124,5.645613,5.012309,4.817755,4.813431
2045,3.79805,4.596054,3.329523,5.9452,3.891919,5.636967,4.970164,4.839172,4.858135
2046,3.810532,4.665256,3.393556,6.013248,3.902629,5.758965,4.994895,4.945189,4.923351
2047,3.770669,4.652761,3.383668,6.069484,3.945969,5.808951,4.917217,4.90954,5.001916
2048,3.740844,4.571362,3.349662,6.010077,3.787596,5.813332,4.80245,4.859097,5.000763
2049,3.685088,4.388964,3.274235,5.912456,3.870886,5.796697,4.690213,4.774216,4.946911
2050,3.642668,4.235358,3.161351,5.97212,3.788044,5.74582,4.578797,4.791852,4.904408
