t,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,4.683876245,4.71156506,4.274324972,4.662090985,5.211405877,4.1378747,3.986709024,4.348852094,4.172503321
2011,2.927163154,3.139824575,2.713908868,3.215775136,3.269097461,2.200280714,2.394996374,2.715813594,2.732003942
2012,1.605684949,1.539768007,1.171484003,1.557710892,1.872629539,0.770146231,1.005573641,1.280376125,1.538252508
2013,3.546416522,2.465455972,2.147142227,2.536507122,2.475824496,1.757503198,1.895343172,2.147623013,2.255814284
2014,3.981166979,2.771478218,2.900041807,3.264085534,2.910622138,2.192987906,2.397177205,2.451128905,2.665740094
2015,1.866609289,0.793683669,0.711922578,1.236132388,1.415156094,0.4291966,0.681535093,0.824554304,1.041525884
2016,1.511995403,0.618041657,0.538910349,0.605065277,0.92749023,0.03958865,0.273632214,0.325044504,0.635908364
2017,1.752855961,1.045269588,1.060862953,1.305793636,1.247641785,0.604537223,0.835410412,0.863670098,1.070924185
2018,1.89616394,0.912424903,0.749646281,1.055016421,0.972495521,0.37346896,0.607192968,0.736448209,0.982907525
2019,1.538998435,0.349026379,-0.050798824,0.296724644,0.427097309,-0.234165051,-0.12211007,0.012360555,0.503512031
2020,1.131327992,-0.120499163,-0.502936102,-0.060480798,0.04534619,-0.604442719,-0.456998584,-0.279584188,0.187550732
2021,3.068159868,1.381751721,1.319745304,1.800063823,2.109641706,1.539344083,1.536209999,1.787792541,2.342268678
2022,3.548349475,1.782713104,2.023076655,2.802518831,3.078450757,2.571856656,2.549358736,2.546820857,3.028562116
2023,3.086104413,2.085727809,2.049896549,2.414475599,2.774066954,2.27101223,2.212939948,2.206933439,2.490271355
2024,2.754738099,2.108790427,2.060027034,2.309078114,2.75219749,2.225476672,2.167142465,2.148960252,2.278834587
2025,2.451340284,2.00300384,1.988511913,2.268955465,2.613947056,2.143772933,2.144175139,2.145789546,2.302323968
2026,2.171663195,1.904923625,1.921823309,2.210327057,2.448999976,2.034432134,2.094175797,2.159365139,2.32203846
2027,2.118090524,1.907323723,1.909618565,2.136759654,2.406883172,1.962842212,2.064369629,2.1338014,2.213967909
2028,2.163440361,1.944105735,2.004738011,2.173018966,2.437919324,2.006019648,2.120842444,2.238628502,2.283045415
2029,2.23281392,1.981375255,2.070601854,2.209752297,2.528833436,2.097831256,2.229207489,2.31830443,2.355914258
2030,2.191276887,2.027825648,2.169291551,2.302797954,2.592872922,2.206804627,2.344928377,2.391860273,2.446421047
2031,2.299497715,2.042086526,2.260425433,2.394584091,2.784348949,2.383140942,2.520588956,2.533436138,2.55724639
2032,2.390894689,2.156006747,2.415581446,2.542815251,2.889148714,2.626326149,2.737317451,2.801520712,2.752312683
2033,2.559871116,2.260907806,2.526585505,2.637727647,3.033742885,2.797877751,2.900660939,2.962957832,2.927582414
2034,2.646952609,2.377546254,2.605189968,2.763973248,3.131908952,2.919599156,3.02030061,3.128588935,3.071178068
2035,2.674438612,2.412418618,2.680710286,2.865947965,3.192847627,3.016645935,3.114190229,3.226548364,3.193433939
2036,2.687030442,2.446319647,2.725959932,2.937436791,3.225334854,3.108504576,3.191167515,3.316761879,3.219216942
2037,2.699296674,2.445544341,2.7349285,2.977164118,3.262065839,3.140853966,3.218491187,3.348696469,3.260436243
2038,2.718025943,2.453089488,2.760804582,2.978303645,3.257961996,3.183101899,3.261026558,3.400837555,3.287686969
2039,2.741540064,2.45762393,2.762436729,2.995086349,3.28082865,3.185535824,3.292126358,3.401142146,3.334387043
2040,2.763483775,2.482259857,2.787719291,3.008139317,3.285546672,3.236405324,3.325071988,3.435097567,3.382535853
2041,2.761927758,2.492487511,2.772918586,3.0020529,3.250059321,3.196117916,3.289848952,3.397510663,3.369051543
2042,2.818363532,2.477579976,2.761201593,2.96925191,3.195286359,3.155217923,3.23512101,3.389106058,3.342264148
2043,2.830154745,2.440889972,2.712444645,2.924951837,3.121219696,3.095141472,3.15643394,3.363554197,3.233819667
2044,2.724631947,2.438438198,2.726260248,2.961510031,3.138287053,3.130380252,3.201376762,3.473062553,3.312614814
2045,2.680811727,2.360969748,2.685956408,2.911371985,3.120010738,3.108945422,3.183170914,3.488570554,3.312267815
2046,2.659688787,2.283724708,2.678004922,2.916684594,3.107402435,3.145058391,3.210138275,3.534638427,3.331679523
2047,2.680296554,2.283565275,2.688894764,2.9234292,3.117304564,3.132474148,3.228325483,3.583398418,3.353270118
2048,2.666998502,2.306314664,2.700002602,2.944712278,3.133728991,3.181695412,3.263771235,3.598109144,3.442880132
2049,2.73738344,2.336432205,2.713812193,2.980074951,3.183663523,3.226118088,3.322981907,3.614685933,3.387974081
2050,2.685812706,2.386382653,2.753951513,3.007949656,3.18681604,3.256809359,3.334284905,3.654682187,3.465140959
