t,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC,MEX
2010,4.186410357,4.052766604,4.614657261,4.259404601,4.587537951,4.086682982,5.104217317,4.566200772,3.904710115,4.256134025
2011,3.787458194,3.563442066,4.239908225,3.990429507,4.118877095,3.851129767,4.494406997,4.243580698,3.555254087,3.875226955
2012,1.117944243,0.718429725,1.478757686,1.220708052,1.542136337,1.476485805,1.801413288,1.497741844,0.954912144,1.852105418
2013,2.077160459,1.690235492,2.388318033,2.072903418,3.446387383,2.181840055,2.395385075,2.459423421,1.829488055,2.805393161
2014,2.814476429,2.116167047,2.687793149,2.370129264,3.872445057,2.583258221,2.82113766,3.172357015,2.321029429,3.341173259
2015,0.665696772,0.381688973,0.745947149,0.771448129,1.796384917,0.987988984,1.350566658,1.181231069,0.635543129,1.503993191
2016,0.538917282,0.039593272,0.61804705,0.325024479,1.511995405,0.635874475,0.927497935,0.6050699,0.273635296,1.379930714
2017,1.09845309,0.684933102,1.069368696,1.112569097,1.761467658,1.28389801,1.451367337,1.280650309,0.953688668,1.850771829
2018,1.038516777,0.653365343,1.220826794,1.073957506,1.868721205,1.30464332,1.411298921,1.266164636,0.908165014,1.801151047
2019,0.87652036,0.453870141,1.053185975,0.924679579,1.464051649,1.201854514,1.195892336,1.164851895,0.761349437,1.641122068
2020,1.050911777,0.68349884,1.19766793,1.125600007,1.635257989,1.286485882,1.367200334,1.412768335,0.959560421,1.857172039
2021,0.746298529,0.345600071,0.855736441,0.887466535,1.299456016,1.075136501,1.047217604,1.107518499,0.665462817,1.536605651
2022,0.543680947,0.144526323,0.629601426,0.706211129,1.09311909,0.880640242,0.837175468,0.903227546,0.473834717,1.327731022
2023,0.408749884,0.064612874,0.511535178,0.626575037,0.988564559,0.799884375,0.741139095,0.824637786,0.38649378,1.232529401
2024,0.344860666,0.064538509,0.463285205,0.600392646,0.948832106,0.778813801,0.720519566,0.825068342,0.377575244,1.222808197
2025,0.301796454,0.05727243,0.435493168,0.591894074,0.918217451,0.796217555,0.700442689,0.804322788,0.371978994,1.216708285
2026,0.291392075,0.087361325,0.445858992,0.620313563,0.929719607,0.865410887,0.72521882,0.834182914,0.406091513,1.25389093
2027,0.288754425,0.130973811,0.47337737,0.663697726,0.960109018,0.899977844,0.76258125,0.865801672,0.456971794,1.309350437
2028,0.265425514,0.139511501,0.468962979,0.670130343,0.958372943,0.901603704,0.771398535,0.871061287,0.467995677,1.321366469
2029,0.214345743,0.104498094,0.44051439,0.648539212,0.931181318,0.878071206,0.743402646,0.826637986,0.448266699,1.299861883
2030,0.152858877,0.060895842,0.40721011,0.610949882,0.90463065,0.840929943,0.708663614,0.786738749,0.411418023,1.259696826
2031,0.052258306,-0.007119251,0.370744432,0.57370065,0.877520078,0.795390014,0.668926461,0.743673726,0.359997519,1.203648476
2032,-0.002436876,-0.059885503,0.334219208,0.529793591,0.841605283,0.741758679,0.627596486,0.716260539,0.320160009,1.160225591
2033,-0.074589896,-0.147188666,0.279314115,0.459647273,0.792738154,0.678766407,0.553601025,0.646076643,0.241430877,1.074410837
2034,-0.147243213,-0.231158695,0.234376497,0.405359342,0.749110444,0.629277158,0.504941686,0.596288738,0.18166613,1.009267263
2035,-0.223302766,-0.300468798,0.18771317,0.35842226,0.706563307,0.590306533,0.457241125,0.553626329,0.119607516,0.941623374
2036,-0.266639558,-0.35399523,0.163236363,0.334780748,0.690560483,0.579599219,0.439065024,0.545351471,0.092363083,0.911926942
2037,-0.356777976,-0.412145006,0.109848166,0.285874435,0.64050629,0.542662009,0.386938307,0.491900848,0.039487129,0.854292151
2038,-0.406884638,-0.445062146,0.082656925,0.266038802,0.623375184,0.531595067,0.37370417,0.481266993,0.024331641,0.83777267
2039,-0.450268294,-0.4648429,0.076206559,0.266989747,0.62461267,0.541871785,0.361629012,0.481314861,0.01835974,0.831263298
2040,-0.499059789,-0.512580533,0.045343274,0.242977497,0.59553931,0.530411557,0.309121056,0.466298309,-0.002981201,0.808001671
2041,-0.558543397,-0.564650997,0.017172455,0.210299203,0.577441759,0.499613715,0.266606725,0.432941434,-0.03355649,0.774674607
2042,-0.599527714,-0.630336817,-0.013966731,0.181459987,0.550972541,0.473726655,0.178536762,0.404897745,-0.065349909,0.740019781
2043,-0.639643437,-0.671870847,-0.048319315,0.12745734,0.524530628,0.463569391,0.142990866,0.381061628,-0.096730692,0.705814727
2044,-0.670817363,-0.706159222,-0.059262776,0.128600829,0.518183606,0.452796864,0.123550855,0.376747944,-0.11738849,0.683297727
2045,-0.727526887,-0.768739635,-0.093758848,0.069940372,0.488418491,0.456324419,0.093606062,0.342132144,-0.156578677,0.640580423
2046,-0.771495143,-0.821087113,-0.118918677,0.06196801,0.468932969,0.455142227,0.076322501,0.324739389,-0.185903544,0.608616318
2047,-0.806385031,-0.867293183,-0.144566503,0.056630517,0.454651984,0.455695696,0.056916844,0.304280902,-0.218133603,0.573485554
2048,-0.854208735,-0.921989793,-0.175917936,0.045756553,0.428687338,0.470435916,0.037738619,0.291824999,-0.245417513,0.543746091
2049,-0.887177204,-0.959979266,-0.19945534,0.017128465,0.414322012,0.442439077,0.011086457,0.262248273,-0.276371307,0.510006456
2050,-0.943264426,-1.000072118,-0.220547153,-0.029678683,0.396704735,0.439341824,-0.023101797,0.240897458,-0.305247586,0.478531312
