t,ENC,ESC,MA,MTN,NE,PA,SA,WNC,WSC
2010,4.28118658,4.144517263,4.719128573,4.355833341,4.691395308,4.179201474,5.219771788,4.669575077,3.99310892
2011,3.873202532,3.644114898,4.335895587,4.080768915,4.212124431,3.938315565,4.596155961,4.339651201,3.63574155
2012,1.220025654,0.834002412,1.689826408,1.447607492,1.732565852,1.721993034,1.962340484,1.633576639,1.081647422
2013,2.197059246,1.817688356,2.603851902,2.307074989,3.660232381,2.435742841,2.55795433,2.606424194,1.965213679
2014,2.951024781,2.253465277,2.914726936,2.610980384,4.092442903,2.846981548,2.993702848,3.335304527,2.467990046
2015,0.762551839,0.496630208,0.953012379,1.008438702,1.99335629,1.233756871,1.511192719,1.316622126,0.762302673
2016,0.583879668,0.10791703,0.786720462,0.51285464,1.640336031,0.812929302,1.026335788,0.687252053,0.356369399
2017,1.104681415,0.66833579,1.198960183,1.035764867,1.87298457,1.234562421,1.340927405,1.382973048,0.912780758
2018,0.793502118,0.444386479,1.080880657,0.926431527,2.02811439,1.15790321,1.072201056,1.140183883,0.693125693
2019,-0.142183081,-0.30302349,0.409338477,0.079224005,1.538390317,0.565513499,0.412763051,0.13804702,-0.183881571
2020,-0.339796234,-0.464773643,0.232189623,-0.086055785,1.186373814,0.27266752,0.253582076,0.03255116,-0.316649871
2021,-0.461533737,-0.567601218,0.1408948,-0.106690005,1.14879996,0.301604419,0.187042128,-0.040847876,-0.398019738
2022,-0.483973135,-0.629589696,0.137304174,-0.206608812,0.956558913,0.08681404,0.084359013,-0.037819986,-0.414482734
2023,-0.498960987,-0.610847859,0.098633644,-0.198336172,0.658208555,0.099938859,0.103579766,-0.032910035,-0.423309376
2024,-0.491155558,-0.583873341,0.081631969,-0.130721886,0.591509314,0.149748184,0.155357916,0.016493501,-0.380920563
2025,-0.485785575,-0.405293191,0.119069227,0.003151721,0.623746313,0.280249494,0.250621007,0.135910408,-0.254183237
2026,-0.437139656,-0.332076248,0.092148242,0.09784811,0.467350703,0.417920246,0.303238179,0.234173715,-0.16006448
2027,-0.415242622,-0.328878125,0.055537048,0.146712749,0.435006401,0.487409281,0.320054336,0.275916039,-0.12398339
2028,-0.447597034,-0.332729512,0.028818988,0.159374945,0.398984643,0.514583499,0.314367103,0.28919383,-0.131592707
2029,-0.526831349,-0.409393488,-0.04246716,0.108689149,0.358911129,0.43740698,0.257892235,0.227308951,-0.195054026
2030,-0.566402087,-0.425265994,-0.039103285,0.044442856,0.308577415,0.341705937,0.25025652,0.191627032,-0.21831148
2031,-0.647496669,-0.478047879,-0.080054939,-0.005149038,0.256323761,0.274510556,0.209462407,0.143262469,-0.268359566
2032,-0.693314507,-0.526512058,-0.12089911,-0.017067276,0.217481326,0.280162519,0.184208924,0.11559014,-0.284247941
2033,-0.749380706,-0.586062192,-0.151298496,-0.026741674,0.204772433,0.274518858,0.149864745,0.089416648,-0.317153969
2034,-0.823416441,-0.658650838,-0.184315773,-0.048143789,0.202411699,0.26484252,0.094923626,0.054069936,-0.356853649
2035,-0.876519368,-0.703471737,-0.261755219,-0.055868739,0.136655205,0.288131777,0.05887416,0.037653968,-0.384694778
2036,-0.99178666,-0.817217523,-0.315123033,-0.122101994,0.118542987,0.238417731,-0.044776091,-0.038531769,-0.474086147
2037,-1.052114491,-0.852615188,-0.356796296,-0.134665679,0.114601253,0.247105006,-0.076041439,-0.062637898,-0.495586486
2038,-1.145823545,-0.98060963,-0.405727705,-0.19190608,0.101520734,0.199034522,-0.162373759,-0.143466136,-0.562930682
2039,-1.244288986,-1.118368483,-0.490784338,-0.251154536,0.042336489,0.161187457,-0.24174822,-0.21738672,-0.626790104
2040,-1.340466942,-1.227695473,-0.573320203,-0.29704117,-0.043618466,0.102527342,-0.312982477,-0.28219715,-0.680204262
2041,-1.426676303,-1.308879671,-0.627162586,-0.334918525,-0.09828781,0.065439622,-0.366715229,-0.320872226,-0.735628234
2042,-1.526596737,-1.386049208,-0.710763948,-0.397884564,-0.153422002,0.023821068,-0.468429693,-0.384690753,-0.807318647
2043,-1.611717483,-1.483205411,-0.777923243,-0.456411495,-0.199199634,-0.044221418,-0.556985992,-0.449294847,-0.878472397
2044,-1.713713372,-1.615848296,-0.840288195,-0.504303721,-0.247703964,-0.153454052,-0.639076474,-0.515833699,-0.966426411
2045,-1.80718052,-1.728415306,-0.903226789,-0.570990465,-0.31177301,-0.217726759,-0.725658037,-0.592294411,-1.051365116
2046,-1.916787971,-1.846202652,-0.970632851,-0.626776246,-0.370422769,-0.269894836,-0.82108824,-0.679789805,-1.134130142
2047,-1.990503502,-1.940160407,-1.024887355,-0.665592757,-0.397461232,-0.306934734,-0.895184256,-0.765722075,-1.203273449
2048,-2.088969304,-2.047111804,-1.085253203,-0.716971834,-0.45267797,-0.327819279,-0.976348182,-0.835873726,-1.280172723
2049,-2.198560591,-2.146157202,-1.151392959,-0.766691241,-0.504507423,-0.348517441,-1.059600689,-0.91824471,-1.370225947
2050,-2.307198941,-2.27256178,-1.215384032,-0.829651623,-0.559372107,-0.401887721,-1.151496233,-0.999490009,-1.461855996
