t,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,4.683876249,4.711565065,4.274324976,4.662090989,5.211405882,4.137874704,3.986709028,4.348852098,4.172503325
2011,2.927163158,3.139824579,2.713908871,3.21577514,3.269097465,2.200280718,2.394996377,2.715813597,2.732003946
2012,1.605684952,1.53976801,1.171484006,1.557710895,1.872629542,0.770146234,1.005573644,1.280376128,1.538252511
2013,3.546416526,2.465455975,2.14714223,2.536507126,2.4758245,1.757503201,1.895343175,2.147623017,2.255814287
2014,3.981166984,2.771478222,2.900041811,3.264085538,2.910622142,2.192987909,2.397177208,2.451128908,2.665740097
2015,1.866609293,0.793683671,0.71192258,1.236132391,1.415156097,0.429196603,0.681535095,0.824554307,1.041525886
2016,1.511995406,0.618041659,0.538910351,0.605065279,0.927490233,0.039588651,0.273632216,0.325044506,0.635908366
2017,1.752855964,1.04526959,1.060862956,1.305793638,1.247641787,0.604537225,0.835410414,0.8636701,1.070924187
2018,1.896163943,0.912424906,0.749646283,1.055016423,0.972495524,0.373468963,0.60719297,0.736448212,0.982907527
2019,1.538998438,0.349026381,-0.050798823,0.296724645,0.427097311,-0.234165049,-0.122110069,0.012360557,0.503512033
2020,1.131327995,-0.120499162,-0.5029361,-0.060480797,0.045346192,-0.604442717,-0.456998582,-0.279584187,0.187550734
2021,3.068159872,1.381751724,1.319745307,1.800063826,2.10964171,1.539344086,1.536210003,1.787792545,2.342268681
2022,2.130656227,1.212331078,1.127668351,1.549610812,1.779259296,1.268191198,1.276753483,1.435177691,1.797649802
2023,2.075709126,1.36443131,1.19185093,1.615432235,1.8017107,1.278842969,1.332917748,1.495917478,1.813060992
2024,1.807828506,1.38903912,1.25729397,1.665466814,1.84178146,1.311067031,1.384498,1.591124011,1.827623813
2025,1.89039483,1.50861314,1.372664533,1.771858255,1.967364397,1.478386494,1.529549392,1.761997187,1.970467126
2026,2.049171662,1.654381235,1.581301794,1.973824577,2.14150407,1.645700692,1.737871053,1.990388302,2.19489431
2027,2.289894834,1.77619299,1.739831364,2.148878073,2.279879557,1.793093698,1.916101378,2.174936434,2.373104205
2028,2.270522144,1.982969199,1.993453003,2.434212031,2.506263218,2.069409628,2.204945844,2.489484741,2.655685351
2029,2.466928953,2.207924443,2.239120667,2.664869698,2.744126661,2.264157829,2.438655243,2.774214477,2.915588035
2030,2.695974299,2.348592429,2.453474579,2.898739511,2.930405535,2.456478934,2.626739692,3.016376685,3.152801208
2031,2.875729009,2.474159745,2.646434084,3.103834718,3.058825356,2.644256812,2.813918085,3.221603011,3.30213861
2032,2.975459064,2.572550793,2.794238863,3.229472013,3.181299658,2.764394192,2.951770213,3.383211714,3.465394959
2033,3.071082725,2.646279837,2.886709801,3.308253181,3.265979834,2.901838904,3.057246083,3.500380064,3.4459326
2034,3.101272602,2.733261322,2.975712308,3.40460668,3.370408611,2.913082476,3.160019347,3.642106874,3.561657634
2035,3.164027004,2.737571107,3.03619196,3.466923666,3.437257219,3.001059072,3.233048301,3.690187475,3.593420228
2036,3.311138605,2.824981788,3.136450142,3.591156554,3.573769124,3.165632967,3.382434625,3.860995819,3.754341762
2037,3.405752388,2.894511036,3.153652869,3.617227392,3.585722203,3.199342717,3.417276207,3.914380695,3.835051471
2038,3.448506887,2.926381775,3.172613099,3.670126963,3.620192639,3.240157463,3.478417528,3.999132102,3.912215701
2039,3.511026979,2.977488964,3.229614007,3.75434198,3.69059078,3.327625285,3.573022235,4.109421383,4.014776099
2040,3.571732726,3.050102462,3.315659117,3.833741958,3.774869988,3.406132124,3.676045663,4.257612225,4.153685324
2041,3.621333056,3.080656498,3.343150907,3.847745793,3.760714272,3.377377248,3.654018596,4.269735101,4.202422321
2042,3.619775901,3.059471205,3.317278473,3.824836353,3.722181615,3.320780681,3.599942693,4.243507483,4.16045794
2043,3.579582183,3.028881169,3.275865352,3.763729749,3.676765571,3.303056753,3.562358277,4.253922083,4.135523238
2044,3.504392666,3.056430089,3.329194842,3.881672264,3.755367649,3.403250807,3.660649592,4.370467406,4.307194502
2045,3.537693306,3.073473244,3.355953716,3.862902731,3.753586125,3.430542359,3.68430401,4.415566932,4.287115974
2046,3.580568744,3.114585896,3.368946591,3.889627047,3.77413554,3.47405014,3.710217611,4.458119508,4.327353259
2047,3.616054103,3.141683777,3.459322664,3.909848587,3.805859216,3.514702239,3.7425865,4.476037498,4.398401599
2048,3.626938909,3.177983864,3.469952626,3.945183323,3.844943312,3.551985029,3.765168881,4.508598518,4.382096978
2049,3.70036118,3.231676309,3.547162205,3.985114598,3.908295582,3.593446256,3.794888458,4.529241676,4.448299991
2050,3.76527367,3.293953124,3.561279209,4.037685176,3.980094027,3.639875902,3.827199572,4.61910703,4.487346338
