year,NE,MA,ENC,WNC,SA,ESC,WSC,MTN,PA
2010,6.227019001,6.263830132,5.682537588,6.198056403,6.928347745,5.501132617,5.300164127,5.781618303,5.547169931
2011,5.590869484,5.755154369,5.141009055,5.7601393,6.100605176,4.83693469,4.825820514,5.416517667,5.227435389
2012,4.107592063,3.943524542,3.46064987,3.876219803,4.603205347,3.342800229,3.274607588,3.856765679,3.992414865
2013,6.465584175,4.985965489,4.523412093,4.982459749,5.199363461,4.347983138,4.256677733,4.829651005,4.781472751
2014,7.027408814,5.409101656,5.530740811,5.92905695,5.784059645,4.965419553,4.92196434,5.235574359,5.33143223
2015,4.539093254,3.085545771,2.987897788,3.548656995,4.174867889,3.070750844,2.972782937,3.432674009,3.460514735
2016,4.125712384,2.933883904,2.888415232,2.805134336,3.617626112,2.683754496,2.482231296,2.84037632,2.938706944
2017,4.291585,3.333467,3.406906,3.581738,3.904751,3.253771,3.056713,3.361964,3.357082
2018,4.713083,3.388499,3.272058,3.473483,3.760998,3.226319,3.032847,3.455285,3.459789
2019,3.970781,3.090443,2.929234,3.107042,3.390434,2.902034,2.740868,3.189282,3.18302
2020,3.892064,3.071957,2.951846,3.132789,3.447697,2.923927,2.750994,3.260626,3.275305
2021,3.631804,2.933402,2.844023,2.986633,3.2817,2.795671,2.653556,3.157724,3.181123
2022,3.648976,2.92095,2.859973,3.026192,3.276752,2.800015,2.655023,3.172101,3.193559
2023,3.726298,2.992721,2.979831,3.197694,3.385752,2.920614,2.774334,3.311963,3.326546
2024,3.855411,3.11128,3.158309,3.39667,3.553782,3.094722,2.958378,3.503328,3.3529
2025,3.943679,3.214597,3.336549,3.541375,3.717896,3.264707,3.131775,3.681618,3.510394
2026,3.998919,3.250275,3.440573,3.636756,3.792946,3.356253,3.240733,3.783536,3.62906
2027,4.033412,3.261662,3.470758,3.646111,3.820685,3.397456,3.280136,3.817404,3.614892
2028,3.969014,3.235904,3.457868,3.636427,3.813832,3.411477,3.284966,3.833001,3.630829
2029,4.008226,3.24885,3.459095,3.610525,3.799603,3.422299,3.277271,3.797137,3.614382
2030,4.00461,3.232172,3.466413,3.619792,3.79051,3.427679,3.276818,3.779614,3.561381
2031,4.011219,3.261225,3.48227,3.629178,3.803014,3.439133,3.284949,3.787665,3.57063
2032,4.030346,3.294593,3.508085,3.67431,3.840566,3.475354,3.322904,3.833275,3.636571
2033,4.080615,3.320368,3.54465,3.721439,3.873715,3.525083,3.376643,3.892368,3.691139
2034,4.084736,3.340277,3.538219,3.734257,3.877168,3.531289,3.381026,3.910255,3.718505
2035,4.126838,3.37919,3.578383,3.800186,3.917536,3.573758,3.413501,3.975336,3.751409
2036,4.114244,3.370891,3.592416,3.820122,3.928151,3.586073,3.4267,3.979725,3.731868
2037,4.15488,3.383937,3.592843,3.823082,3.929214,3.591555,3.42736,3.981718,3.746359
2038,4.179247,3.404508,3.6036,3.819707,3.944138,3.610254,3.425452,3.993347,3.773524
2039,4.194822,3.401909,3.610391,3.836217,3.943483,3.618149,3.437474,4.016796,3.815479
2040,4.15815,3.391295,3.612774,3.848565,3.947113,3.624231,3.446317,4.025994,3.848345
2041,4.185088,3.39847,3.600068,3.826774,3.930583,3.626452,3.435507,4.035839,3.839761
2042,4.218622,3.407017,3.603058,3.838067,3.930463,3.638814,3.440271,4.044966,3.87989
2043,4.240931,3.403232,3.616124,3.859835,3.941981,3.65091,3.452446,4.082103,3.906002
2044,4.313746,3.473245,3.652337,3.924003,3.98953,3.691532,3.503893,4.135715,3.973172
2045,4.355949,3.485567,3.667953,3.95072,4.006461,3.705938,3.528856,4.173502,4.013037
2046,4.39001,3.488518,3.690567,3.989177,4.030919,3.713332,3.551922,4.218245,4.054896
2047,4.421685,3.510324,3.725793,4.040312,4.074421,3.74557,3.594702,4.274457,4.120433
2048,4.472428,3.543542,3.759586,4.10452,4.105461,3.784215,3.634617,4.327776,4.184166
2049,4.520737,3.551111,3.767694,4.110581,4.101312,3.791487,3.645299,4.354145,4.223336
2050,4.587427,3.596432,3.810438,4.163473,4.148549,3.839179,3.696,4.421298,4.308158
