year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.142584869,3.623627894,3.751832216,2.479096147,4.825088651,2.555793334,4.697504336,1.992095978,2.448471506
2011,3.431532712,3.651954661,3.75944821,2.561897312,4.972531794,2.662794071,4.877785034,2.168568581,2.587780973
2012,3.332109134,3.482358032,3.77640151,2.724264996,5.8372898,2.634261456,4.802247682,2.266552182,2.796719052
2013,3.208460094,3.324926947,3.405103187,2.52241909,5.379453472,2.764711302,4.488919515,2.32276007,2.859416596
2014,3.12885756,3.407358516,3.618176009,2.55844737,3.777981811,2.92164989,3.972668338,2.530859554,3.005708082
2015,2.941097146,3.155994759,3.501867742,2.418596847,3.711314571,2.777496655,3.643135414,2.440534361,2.897079913
2016,2.730156899,2.911230896,3.238686473,2.38181559,3.423977231,2.532657988,3.504284756,2.226557098,2.792900987
2017,2.599046617,2.75890459,2.757075232,2.286170175,3.329836619,2.524986301,3.356997475,2.060827158,2.504230696
2018,2.597400694,2.761671088,2.84182968,2.297118871,3.569193069,2.63938609,3.288591201,2.136666918,2.588736822
2019,2.421948314,2.389390033,3.296343068,2.316177107,3.334348773,2.476258288,3.018281786,2.229509882,2.341359795
2020,2.370506465,2.215873863,2.761013856,2.307492144,3.231135224,2.196379208,3.072183292,1.794398997,2.071174268
2021,2.335028299,2.193983301,2.622096368,2.352454445,3.225178532,2.214045986,3.009130794,1.828272564,2.093698801
2022,2.282825875,2.151734836,2.237446024,2.305206226,3.753378283,2.433346139,2.774003523,1.88223868,2.219128692
2023,2.232723151,2.099230507,2.210720929,2.198246933,3.70854619,2.374190798,2.621455497,1.825881284,2.149592458
2024,2.672029,2.34172,2.199986,2.044373,3.626276,2.128269,3.626276,2.023616,2.162991
2025,2.51083,2.273645,2.257767,2.022023,3.497525,2.094299,3.497525,2.018175,2.164296
2026,2.404738,2.272543,2.373421,1.875984,3.577381,1.815779,3.577381,2.044572,2.179269
2027,2.38398,2.228008,2.344409,1.846838,3.344703,1.739532,3.344703,2.082126,2.149857
2028,2.347271,2.217578,2.252918,1.720388,2.977483,1.692591,2.977483,2.044299,2.132605
2029,2.315819,2.19468,2.177481,1.762343,2.922472,1.893015,2.922472,2.036143,2.111442
2030,2.303485,2.177104,2.130625,1.83224,2.874275,1.871998,2.874275,2.092648,2.066023
2031,2.248457,2.134148,2.010124,1.858058,2.808945,1.937969,2.808945,2.080735,2.047057
2032,2.168614,2.08001,2.617944,1.417821,2.688162,1.693048,2.688162,1.768644,2.127768
2033,2.170849,2.071548,2.61617,1.396899,2.686626,1.654678,2.686626,1.75952,2.115684
2034,2.163109,2.068566,2.621112,1.416499,2.680939,1.661102,2.680939,1.757049,2.111532
2035,2.154797,2.065665,2.546007,1.44168,2.678495,1.668318,2.678495,1.754683,2.107917
2036,2.153651,2.071898,2.531428,1.442747,2.681813,1.705551,2.681813,1.760215,2.115228
2037,2.155142,2.076893,2.368044,1.445183,2.743545,1.708283,2.743545,1.765627,2.122494
2038,2.138644,2.075383,2.381224,1.420763,2.708931,1.630534,2.708931,1.763404,2.121473
2039,2.116618,2.087559,2.381224,1.420763,2.708931,1.628153,2.708931,1.768158,2.126446
2040,2.111389,2.086649,2.381224,1.420763,2.708931,1.638934,2.708931,1.767649,2.125487
2041,2.107791,2.087062,2.381224,1.420763,2.708931,1.654906,2.708931,1.768156,2.12588
2042,2.115028,2.084757,2.381224,1.420763,2.708931,1.679952,2.708931,1.766336,2.123515
2043,2.115033,2.089805,2.381224,1.420763,2.708931,1.717404,2.708931,1.770186,2.128709
2044,2.070943,2.092992,2.381224,1.420763,2.708931,1.733515,2.708931,1.772715,2.131643
2045,2.117182,2.094356,2.381224,1.420763,2.708931,1.748241,2.708931,1.773515,2.133063
2046,1.967094,2.094356,2.381224,1.420763,2.708931,1.766638,2.708931,1.783327,2.133063
2047,1.967162,2.094356,2.381224,1.420763,2.708931,2.605698,2.708931,1.787012,2.133063
2048,1.964417,2.094356,2.381224,1.420763,2.708931,2.607058,2.708931,1.787412,2.133063
2049,1.960501,2.094356,2.381224,1.420763,2.708931,2.604806,2.708931,1.785282,2.133063
2050,1.956904,2.094356,2.381224,1.420763,2.708931,2.61263,2.708931,1.789196,2.133063
